"K1","K2","K3","K4","K5","K6","K7","K8","K9","Output36","K10","K11"
29,35.393,73.099,41,16.681,45.984,96.55,"V",73,"Class1","D",72.284
17,99.969,96.693,51,22.164,14.724,27.682,"P",63,"Class3","E",13.078
68,48.217,53.276,15,20.072,15.711,52.868,"U",20,"Class4","Q",86.67
66,-0.388,NA,59,16.183,67.972,45.082,"M",64,"Class2","I",40.715
13,83.133,63.414,30,43.755,22.416,13.098,"S",66,"Class3","Q",14.299
69,0.821,38.117,57,32.555,56.472,16.519,"D",47,"Class2","C",61.097
73,1.114,38.814,39,62.929,63.483,18.114,"E",61,"Class2","I",44.633
17,93.249,36.907,45,84.448,10.076,7.772,"P",55,"Class3","U",11.066
37,21.657,70.396,60,24.352,50.46,64.577,"C",80,"Class1","R",63.32
11,93.253,73.18,23,70.212,11.569,28.455,"S",26,"Class3","E",9.335
79,64.906,50.423,34,32.492,17.645,10.178,"P",35,"Class4","Q",85.993
31,13.977,67.354,79,22.63,51.585,79.792,"C",73,"Class1","F",48.468
69,0.603,34.207,76,29.693,59.357,10.884,"M",47,"Class2","A",47.853
16,83.488,77.125,22,40.233,13.817,32.667,"S",34,"Class3","Q",12.877
73,0.929,41.47,76,54.24,63.117,18.669,"Z",37,"Class2","L",30.455
60,48.302,65.923,22,12.574,19.91,46.626,"U",28,"Class4","J",87.187
65,52.25,66.443,51,22.774,20.333,24.412,"B",36,"Class4","G",85.615
58,65.764,67.718,57,33.63,19.85,8.778,"P",31,"Class4","S",83.985
9,94.582,95.973,57,25.534,8.942,0.724,"B",50,"Class3","U",16.122
18,69.976,71.956,21,18.205,11.31,14.94,"V",72,"Class3","E",14.567
9,88.58,62.323,66,20.312,7.777,19.134,"X",25,"Class3","R",8.549
70,60.658,56.765,53,23.723,17.774,43.82,"T",23,"Class4","S",83.297
53,50.025,60.503,11,10.753,15.148,44.273,"F",38,"Class4","V",84.979
17,97.286,43.888,44,92.812,11.389,13.344,"X",47,"Class3","U",8.733
77,75.376,64.814,9,12.238,22.787,26.677,"B",32,"Class4","G",86.404
68,0.342,62.348,81,18.682,56.803,24.512,"D",60,"Class2","L",56.02
42,20.119,72.094,91,16.665,49.219,74.303,"C",64,"Class1","F",45.625
72,0.767,85.011,83,3.319,69.307,6.295,"Z",64,"Class2","I",50.441
14,82.885,36.234,62,25.539,6.776,42.949,"V",30,"Class3","E",9.955
36,9.89,67.535,45,23.455,47.568,76.618,"K",65,"Class1","R",60.486
7,80.866,89.15,28,93.96,8.178,22.819,"V",56,"Class3","R",16.549
70,0.91,22.456,81,78.403,67.394,45.55,"E",40,"Class2","A",32.492
67,0.388,NA,49,19.491,64.227,20.495,"N",57,"Class2","S",39.823
82,56.589,59.331,56,21.649,22.109,5.25,"B",40,"Class4","G",85.31
46,34.383,68.31,92,23.192,47.407,77.025,"J",60,"Class1","U",47.086
38,33.142,71.364,83,21.841,47.975,68.663,"C",62,"Class1","R",44.445
59,51.473,73.77,38,16.376,22.433,47.604,"P",32,"Class4","J",87.064
15,72.094,61.419,18,59.041,21.579,29.964,"P",39,"Class3","E",16.312
36,40.5,NA,61,22.121,47.89,92.107,"J",58,"Class1","D",41.967
68,-0.074,92.078,81,71.587,61.787,48.482,"Z",51,"Class2","I",10.937
13,79.535,81.93,30,47.637,9.329,24.472,"S",33,"Class3","E",7.344
66,0.213,54.412,59,2.819,72.617,3.235,"D",38,"Class2","S",25.579
15,92.071,72.9,43,64.338,6.418,36.718,"V",36,"Class3","E",15.715
39,26.401,72.476,28,23.174,49.367,80.326,"J",76,"Class1","A",67.809
8,94.503,59.382,31,65.56,5.85,17.533,"X",75,"Class3","C",8.586
60,54.446,52.499,57,32.279,12.895,46.183,"P",19,"Class4","J",85.878
67,0.341,74.659,72,56.378,67.685,24.444,"E",63,"Class2","C",51.933
68,0.689,62.153,32,94.561,71.429,20.363,"N",47,"Class2","I",28.965
81,70.958,77.611,31,13.528,19.648,9.133,"T",19,"Class4","J",87.361
69,0.044,89.443,35,53.462,62.655,31.286,"E",61,"Class2","I",31.176
38,26.919,73.128,73,20.21,56.896,83.142,"C",57,"Class1","R",55.757
47,54.299,71.06,8,24.673,56.792,83.603,"Q",57,"Class1","D",44.631
66,0.904,83.588,74,48.075,67.431,48.801,"D",66,"Class2","A",53.288
45,16.969,73.105,8,24.143,54.711,51.598,"V",58,"Class1","A",44.265
81,48.96,54.388,9,25.11,18.264,59.597,"F",43,"Class4","J",87.395
77,79.781,55.798,7,18.847,21.133,42.311,"B",27,"Class4","S",87.624
68,0.434,68.206,51,36.981,67.756,22.884,"N",42,"Class2","L",52.501
71,0.438,82.851,75,40.623,67.255,40.777,"N",66,"Class2","A",68.24
17,85.608,43.118,55,28.557,20.275,32.289,"V",33,"Class3","U",8.271
39,43.971,67.845,32,16.598,56.544,75.124,"K",59,"Class1","A",56.647
6,83.834,60.736,28,24.755,14.198,35.134,"V",69,"Class3","E",14.633
71,49.261,62.042,35,28.548,16.604,40.15,"T",47,"Class4","V",84.187
80,48.511,69.063,40,26.573,20.91,23.837,"P",28,"Class4","S",87.278
68,0.583,40.918,51,27.251,62.02,26.38,"E",63,"Class2","S",9.306
45,0.545,68.282,38,22.351,47.844,57.335,"Q",53,"Class1","F",61.183
66,56.84,53.213,57,26.288,28.049,78.752,"F",44,"Class4","Q",84.867
72,0.289,90.06,42,14.45,66.642,19.634,"E",44,"Class2","C",60.274
73,0.633,89.27,67,56.307,56.872,30.415,"M",69,"Class2","I",51.497
14,83.172,54.055,30,17.091,15.348,26.444,"S",69,"Class3","E",11.789
5,85.444,NA,67,20.27,18.007,19.744,"V",15,"Class3","U",9.273
73,1.075,21.475,39,34.834,68.545,2.956,"M",57,"Class2","C",26.031
31,56.92,67.319,54,23.799,56.112,90.294,"J",79,"Class1","R",40.321
68,0.694,77.118,64,40.646,63.738,62.854,"Z",39,"Class2","C",62.873
38,52.805,71.018,6,24.914,53.497,86.243,"J",54,"Class1","R",69.975
80,42.974,50.144,22,20.412,21.081,26.828,"T",19,"Class4","G",85.524
67,0.721,85.762,45,86.688,71.09,-2.096,"E",44,"Class2","I",50.546
77,63.117,60.478,44,30.381,24.646,18.257,"B",48,"Class4","J",87.874
73,0.551,NA,62,90.11,60.299,47.09,"D",65,"Class2","I",16.594
69,0.511,NA,34,85.494,NA,27.517,"E",65,"Class2","C",47.226
44,16.413,68.761,91,23.319,47.69,77.859,"K",53,"Class1","U",69.432
9,89.63,NA,32,72.577,15.287,29.428,"X",15,"Class3","C",8.353
70,0.21,78.77,36,71.852,63.24,39.575,"N",66,"Class2","A",33.883
6,99.727,65.283,55,76.54,3.511,5.14,"V",63,"Class3","U",13.959
18,83.787,81.561,27,25.956,17.454,38.581,"B",38,"Class3","Q",16.409
47,8.4,73.363,46,18.185,NA,64.055,"C",70,"Class1","D",69.241
6,93.525,60.896,29,72.66,14.948,13.372,"X",61,"Class3","C",13.02
17,85.989,73.681,57,22.177,15.318,35.2,"P",23,"Class3","C",16.432
8,87.382,84.958,39,84.576,19.582,13.065,"S",45,"Class3","C",14.686
16,93.504,70.73,62,19.879,14.195,45.917,"B",71,"Class3","R",10.133
69,0.373,35.02,59,80.072,63.214,33.926,"M",54,"Class2","L",13.961
72,67.609,67.96,18,13.949,16.347,35.646,"F",26,"Class4","G",84.241
30,-0.86,70.933,48,22.002,52.689,83.179,"K",79,"Class1","R",46.275
66,0.274,27.21,82,27.771,58.5,46.555,"D",60,"Class2","S",21.33
64,57.302,76.672,55,16.191,20.95,50.874,"F",19,"Class4","J",83.556
69,0.491,25.673,78,9.312,NA,26.257,"E",51,"Class2","C",28.115
18,91.389,74.297,56,78.856,8.864,14.7,"S",22,"Class3","R",11.307
81,60.69,64.155,39,19.565,14.422,48.724,"U",25,"Class4","J",83.922
18,88.738,77.937,25,61.226,8.718,19.054,"P",37,"Class3","U",12.513
78,56.405,73.538,50,17.93,14.998,55.345,"U",31,"Class4","J",87.003
80,51.35,64.182,58,9.071,21.109,54.577,"U",49,"Class4","S",87.032
14,98.592,38.003,22,52.58,21.386,21.275,"P",23,"Class3","Q",8.734
12,101.887,48.602,26,59.498,0.307,18.328,"B",15,"Class3","U",17.566
57,59.927,52.347,48,29.098,20.086,54.835,"F",24,"Class4","G",83.777
15,88.13,46.671,33,17.76,15.116,9.081,"S",29,"Class3","Q",7.973
67,0.931,60.467,51,22.581,60.822,42.904,"E",66,"Class2","A",23.18
14,83.637,82.825,46,45.906,18.581,19.539,"B",59,"Class3","E",13.574
73,-0.104,39.896,79,39.122,NA,34.091,"Z",39,"Class2","I",23.912
66,54.331,63.771,24,29.893,17.684,33.032,"F",23,"Class4","G",83.867
77,46.726,64.874,35,14.444,16.427,54.15,"U",44,"Class4","S",83.579
33,19.629,68.298,73,24.261,51.065,62.912,"V",68,"Class1","D",65.158
43,51.619,68.947,34,17.833,54.702,60.272,"C",73,"Class1","D",54.973
69,62.294,NA,10,11.991,16.866,32.724,"T",24,"Class4","J",85.659
8,78.317,54.098,63,77.068,22.399,21.002,"X",33,"Class3","Q",17.354
68,0.919,47.07,58,14.894,69.591,37.271,"N",57,"Class2","S",63.348
67,0.348,39.166,44,77.214,63.739,25.974,"E",46,"Class2","A",17.549
67,0.643,78.933,78,36.907,61.921,36.956,"E",63,"Class2","A",11.999
76,66.401,53.542,17,12.452,18.51,46.795,"U",26,"Class4","V",83.838
40,53.688,72.175,79,16.025,NA,88.642,"J",66,"Class1","F",68.316
73,0.666,33.392,80,12.175,61.577,39.587,"M",64,"Class2","C",48.775
81,70.391,63.509,51,37.357,19.684,31.154,"B",41,"Class4","G",83.43
77,56.111,56.9,17,34.77,NA,66.206,"P",22,"Class4","Q",84.042
61,45.526,60.189,22,20.756,17.043,21.989,"F",18,"Class4","G",86.555
64,73.59,75.556,15,30.7,19.66,8.602,"P",27,"Class4","J",85.319
72,0.48,30.491,65,41.289,NA,12.027,"Z",38,"Class2","I",21.834
67,0.093,24.195,44,25.183,65.651,24.347,"Z",53,"Class2","C",27.783
14,84.525,69.23,29,85.737,12.149,27.767,"B",50,"Class3","R",17.821
29,58.345,70.03,78,21.125,48.428,55.27,"Q",73,"Class1","A",58.47
70,0.204,56.554,82,16.041,64.847,45.596,"E",51,"Class2","C",23.892
55,54.727,53.91,6,12.524,13.409,44.391,"P",45,"Class4","G",83.581
15,87.727,73.533,62,71.741,16.612,28.126,"P",51,"Class3","C",14.816
64,75.639,52.421,34,12.225,16.542,62.493,"P",28,"Class4","S",83.376
8,96.39,47.57,19,57.792,8.903,35.664,"B",22,"Class3","U",10.321
7,89.827,36.127,70,26.808,NA,23.378,"P",69,"Class3","C",7.331
7,96.748,NA,41,60.659,7.809,23.301,"S",44,"Class3","Q",16.93
71,0.759,63.816,52,5.887,68.213,30.599,"Z",48,"Class2","S",58.846
6,85.453,65.821,32,73.379,17.945,18.33,"S",75,"Class3","Q",13.819
35,33.993,72.981,72,18.414,51.343,82.724,"Q",70,"Class1","U",71.882
52,67.011,59.497,24,27.233,19.558,63.142,"F",45,"Class4","S",84.736
36,30.879,72.367,66,16.465,51.792,69.857,"J",61,"Class1","R",44.32
35,10.739,67.146,10,21.879,48.484,72.309,"Q",65,"Class1","R",60.717
8,87.149,84.754,19,21.694,5.886,31.57,"P",73,"Class3","Q",8.046
70,55.649,50.251,36,23.31,20.926,36.03,"F",29,"Class4","J",86.412
15,86.091,75.857,43,73.042,13.031,27.59,"S",41,"Class3","Q",15.497
46,-6.966,73.382,14,16.589,50.998,77.839,"C",53,"Class1","F",68.185
16,82.787,86.538,65,76.687,13.444,27.833,"V",36,"Class3","Q",17.827
28,49.859,72.232,85,19.515,55.339,65.506,"Q",64,"Class1","D",57.568
7,93.767,NA,49,27.264,6.361,13.807,"S",66,"Class3","U",13.515
68,0.769,82.083,46,79.607,70.634,51.733,"E",47,"Class2","I",60.003
72,0.197,68.879,66,13.144,65.969,17.952,"M",54,"Class2","I",65.385
32,16.648,72.519,52,22.537,51.167,83.142,"K",55,"Class1","D",62.937
73,0.801,91.541,66,40.396,69.057,34.901,"M",37,"Class2","A",8.189
54,63.145,71.224,21,27.747,19.903,39.115,"T",28,"Class4","G",86.66
16,86.852,74.614,62,56.965,14.279,32.207,"V",60,"Class3","E",13.89
73,0.355,31.095,61,68.907,61.402,25.354,"N",38,"Class2","C",25.321
73,63.76,57.437,31,33.904,17.688,56.426,"T",23,"Class4","S",86.842
39,14.581,69.636,71,22.903,57.084,89.938,"K",76,"Class1","A",46.273
66,0.493,25.52,73,85.369,57.29,28.987,"Z",51,"Class2","A",41.76
17,79.189,75.691,42,49.544,15.242,10.191,"S",35,"Class3","Q",13.658
82,60.943,50.549,18,35.701,NA,36.519,"U",22,"Class4","S",85.095
78,53.171,73.573,22,38.789,21.298,55.368,"U",21,"Class4","Q",85.071
7,95.444,82.611,22,40.828,11.815,25.198,"X",11,"Class3","E",9.777
36,21.027,67.862,20,20.229,50.852,62.23,"K",61,"Class1","U",48.126
73,55.449,57.703,16,25.59,16.167,38.027,"F",33,"Class4","J",85.351
10,86.803,48.197,18,80.639,17.946,29.225,"S",61,"Class3","C",13.27
71,-0.045,81.146,77,89.119,67.94,53.229,"D",63,"Class2","C",19.983
67,0.784,63.642,70,52.461,67.332,46.459,"E",53,"Class2","I",38.483
69,0.227,36.278,40,40.011,68.255,26.8,"E",65,"Class2","L",23.92
69,0.569,68.895,43,9.845,63.623,22.816,"D",49,"Class2","A",20.688
81,57.779,61.963,12,26.759,19.535,39.92,"B",31,"Class4","V",86.349
77,81.217,54.754,32,15.571,15.589,55.7,"U",20,"Class4","G",84.504
15,88.835,81.217,34,92.173,12.491,10.207,"B",13,"Class3","C",17.385
69,53.712,64.416,30,24.065,19.88,89.535,"B",29,"Class4","G",87.121
5,83.216,74.456,38,50.315,3.058,32.507,"V",28,"Class3","E",13.992
18,81.392,60.111,29,61.286,NA,31.552,"V",21,"Class3","R",9.154
49,35.921,72.213,53,18.547,53.589,74.033,"K",71,"Class1","D",56.672
70,0.103,69.367,79,58.205,63.295,37.252,"D",37,"Class2","C",8.324
37,39.958,72.492,77,23.27,52.777,81.974,"Q",62,"Class1","R",57.848
67,68.975,59.034,31,18.332,17.755,62.036,"U",37,"Class4","Q",83.07
17,82.431,62.271,51,56.105,14.804,12.427,"X",66,"Class3","C",15.775
48,30.093,67.734,32,16.385,54.51,92.821,"K",75,"Class1","A",69.209
38,47.308,67.789,78,16.831,51.872,81.304,"Q",77,"Class1","R",72.693
12,78.214,90.099,65,91.106,11.14,13.642,"X",46,"Class3","U",17.555
38,23.609,67.793,29,16.766,47.924,60.64,"J",55,"Class1","D",53.642
66,0.945,58.438,55,2.697,69.372,20.016,"Z",58,"Class2","C",13.458
71,0.406,52.692,48,41.144,76.037,26.211,"M",38,"Class2","L",34.718
30,-4.081,73.735,79,23.019,48.662,82.246,"V",72,"Class1","A",41.479
45,37.542,70.581,36,21.352,49.508,98.665,"C",81,"Class1","U",46.189
71,0.139,35.749,70,85.971,61.556,27.129,"M",69,"Class2","L",64.602
66,0.345,49.625,57,81.797,59.429,3.518,"M",49,"Class2","L",45.781
62,38.158,NA,57,30.811,23.255,10.955,"U",44,"Class4","Q",84.591
5,86.826,43.128,44,92.883,17.951,12.776,"S",72,"Class3","R",11.903
78,71.49,54.303,36,20.24,17.223,24.756,"T",31,"Class4","V",86.532
32,51.587,67.092,59,18.702,48.307,64.728,"J",73,"Class1","A",62.018
18,80.765,50.261,63,53.664,15.895,12.431,"X",36,"Class3","E",9.674
52,40.669,54.868,36,9.227,25.092,51.924,"P",29,"Class4","V",87.549
71,0.492,78.901,66,60.1,76.177,39.077,"N",50,"Class2","A",51.655
68,0.668,56.525,58,35.239,61.979,13.79,"M",58,"Class2","I",28.043
7,87.642,96.154,62,88.102,-6.368,34.638,"S",10,"Class3","Q",11.75
64,44.032,49.012,61,31.202,17.961,17.116,"F",24,"Class4","J",85.768
38,26.067,72.425,35,24.143,47.616,75.949,"Q",63,"Class1","D",42.031
58,75.662,57.075,57,28.145,18.318,77.461,"U",34,"Class4","G",87.369
53,53.113,74.776,52,8.572,16.481,18.36,"P",34,"Class4","G",86.19
69,0.008,30.588,69,6.642,56.627,8.429,"N",52,"Class2","C",64.155
79,52.086,69.659,26,36.703,20.813,34.523,"B",21,"Class4","S",87.865
60,77.378,59.959,49,37.49,17.314,57.096,"B",29,"Class4","G",84.913
34,21.821,71.057,80,24.39,54.744,88.077,"J",79,"Class1","F",43.944
9,82.944,50.907,67,94.822,7.674,35.6,"X",11,"Class3","E",9.14
75,71.77,72.19,20,30.515,22.503,-3.372,"F",46,"Class4","G",84.323
17,80.428,53.184,53,20.564,7.495,13.89,"B",75,"Class3","R",8.445
13,99.316,NA,38,65.09,13.868,30.384,"B",56,"Class3","U",11.93
35,39.912,73.135,81,18.303,56.123,71.845,"K",76,"Class1","D",50.679
71,0.817,54.177,63,70.824,66.814,27.718,"Z",63,"Class2","L",24.473
60,48.74,NA,18,38.001,20.702,70.46,"T",38,"Class4","J",84.715
70,0.825,36.796,35,87.728,NA,19.32,"M",37,"Class2","I",40.199
28,24.907,71.001,68,20.72,54.599,56.291,"J",58,"Class1","D",46.376
71,34.185,70.087,36,11.399,16.901,21.633,"F",39,"Class4","Q",85.775
73,0.378,37.918,45,49.377,59.49,23.473,"D",43,"Class2","I",31.455
73,0.277,35.795,76,48.888,69.458,55.713,"E",52,"Class2","A",64.101
6,84.987,39.705,23,42.813,1.845,15.717,"S",55,"Class3","Q",7.879
61,51.348,58.198,31,15.243,15.877,33.804,"F",29,"Class4","G",87.845
5,83.655,58.438,37,34.315,10.908,40.441,"P",21,"Class3","E",17.225
71,1.186,29.46,66,58.424,58.932,30.076,"Z",50,"Class2","I",59.254
55,56.205,54.532,18,19.436,24.07,55.303,"B",45,"Class4","V",84.62
9,73.977,68.437,37,60.799,14.881,18.009,"S",39,"Class3","U",15.135
15,73.223,42.312,69,42.454,11.158,17.45,"X",24,"Class3","E",17.796
78,73.51,64.969,38,13.083,22.78,13.518,"B",29,"Class4","S",83
68,0.797,47.872,46,51.682,62.542,25.309,"D",57,"Class2","L",59.692
69,0.632,85.926,68,80.776,61.675,51.094,"E",44,"Class2","I",35.592
36,-0.517,69.226,10,20.375,53.177,79.823,"Q",65,"Class1","U",62.858
82,90.149,60.214,40,30.355,19.19,-31.123,"F",35,"Class4","V",84.756
71,0.609,38.88,49,15.615,NA,28.003,"D",43,"Class2","C",28.323
5,90.945,95.147,32,33.325,9.546,32.29,"B",53,"Class3","R",16.356
70,0.616,77.993,65,42.641,64.442,25.111,"Z",46,"Class2","I",50.981
68,0.3,66.231,45,49.295,67.615,36.059,"N",46,"Class2","I",41.685
81,77.632,57.614,61,21.876,18.353,39.909,"F",34,"Class4","G",87.252
16,89.075,57.495,62,30.348,14.427,27.728,"S",41,"Class3","C",14.677
16,79.539,75.553,47,75.713,21.833,6.921,"V",59,"Class3","Q",10.665
47,49.183,67.216,24,18.366,49.89,70.263,"K",65,"Class1","U",65.377
18,82.138,36.755,71,66.252,5.548,25.679,"X",68,"Class3","U",12.817
72,0.626,58.066,55,41.325,65.009,46.666,"M",52,"Class2","C",46.522
59,59.279,66.492,50,18.724,15.777,44.858,"U",28,"Class4","V",87.757
14,76.636,65.69,31,90.131,16.475,27.411,"X",29,"Class3","R",15.352
42,38.934,68.746,60,19.267,51.614,76.967,"V",62,"Class1","R",65.292
32,14.813,73.295,67,16.669,48.963,73.38,"C",71,"Class1","A",61.504
69,-0.36,72.381,53,70.34,70.475,23.699,"D",40,"Class2","C",9.09
49,50.084,67.787,53,22.931,54.409,86.63,"Q",54,"Class1","A",59.542
11,96.482,73.131,60,20.949,15.403,24.663,"X",73,"Class3","Q",8.137
16,71.563,62.911,44,78.179,15.229,30.353,"S",35,"Class3","U",12.365
45,14.285,68.173,32,21.024,NA,87.347,"C",70,"Class1","R",70.061
68,0.439,38.995,41,36.162,60.254,44.84,"D",60,"Class2","I",67.286
55,48.308,66.034,22,21.544,19.668,39.346,"P",25,"Class4","Q",85.083
67,0.099,57.146,79,87.836,61.349,-0.333,"N",46,"Class2","I",54.869
7,85.487,71.16,57,85.261,9.169,50.941,"P",20,"Class3","U",8.129
29,52.373,70.159,72,21.195,55.003,69.156,"K",75,"Class1","A",60.566
76,61.139,75.246,47,17.533,16.958,2.133,"T",23,"Class4","J",87.844
70,0.385,58.29,36,26.13,60.01,34.126,"N",49,"Class2","S",36.402
14,93.347,65.667,71,78.054,7.558,36.926,"P",69,"Class3","E",13.918
73,53.116,54.986,54,15.73,18.028,36.106,"B",49,"Class4","Q",87.62
57,56.128,49.404,57,24.042,22.357,-16.999,"F",43,"Class4","S",85.032
16,102.562,93.875,51,50.515,10.392,22.27,"V",60,"Class3","C",11.638
48,39.783,70.247,5,18.677,51.325,75.703,"V",52,"Class1","A",47.838
66,0.214,25.708,57,93.765,71.28,8.96,"Z",51,"Class2","A",63.395
67,63.379,63.025,9,36.377,13.067,41.336,"B",35,"Class4","J",86.45
70,0.703,88.906,50,87.03,61.4,42.783,"N",66,"Class2","A",24.426
42,17.221,70.943,12,19.297,57.719,68.012,"C",63,"Class1","U",45.993
31,48.891,71.637,29,21.022,50.706,78.06,"Q",59,"Class1","A",46.911
68,66.902,77.471,60,29.853,24.171,44.295,"F",33,"Class4","S",83.874
70,62.541,48.011,9,24.055,12.922,7.674,"T",36,"Class4","Q",85.067
8,93.464,83.83,29,79.986,19.165,16.484,"B",27,"Class3","E",15.072
48,53.763,71.158,10,18.911,45.673,88.784,"V",62,"Class1","D",52.981
69,0.707,57.683,45,67.257,74.74,17.393,"Z",42,"Class2","I",42.701
10,86.105,79.852,57,36.433,15.619,28.275,"X",72,"Class3","Q",11.843
44,18.399,71.856,71,19.062,53.916,80.177,"J",74,"Class1","A",62.359
81,63.304,60.501,56,29.108,15.842,52.113,"U",29,"Class4","J",86.89
70,0.649,49.73,75,93.896,NA,21.739,"E",50,"Class2","I",23.333
70,0.37,21.7,57,92.225,62.2,29.453,"Z",64,"Class2","C",61.157
42,59.276,73.402,31,17.688,54.253,74.278,"Q",83,"Class1","D",48.395
12,72.168,84.428,29,48.392,10.577,33.252,"X",61,"Class3","E",13.104
52,57.803,62.177,28,29.183,23.55,19.124,"P",46,"Class4","J",86.577
60,71.615,60.202,53,31.11,19.743,0.189,"U",23,"Class4","S",83.553
64,34.339,50.604,16,25.797,21.661,51.265,"F",32,"Class4","V",84.119
28,33.191,71.588,9,24.584,46.157,63.053,"Q",67,"Class1","A",67.259
5,87.269,47.84,30,92.246,11.293,13.507,"V",25,"Class3","C",17.707
43,14.372,69.006,44,22.285,48.835,79.52,"C",81,"Class1","R",70.852
8,88.665,39.204,64,29.979,7.993,39.206,"S",29,"Class3","U",7.868
61,53.102,77.971,6,12.862,20.125,34.172,"B",26,"Class4","J",84.634
69,61.439,52.946,54,10.171,21.94,12.412,"U",32,"Class4","S",86.171
16,74.87,40.578,64,66.365,23.174,4.521,"V",57,"Class3","E",8.451
13,83.216,53.984,59,19.86,14.945,36.489,"P",56,"Class3","Q",16.225
65,62.797,68.973,35,24.977,21.484,58.581,"B",31,"Class4","S",87.646
5,70.635,71.643,65,77.714,12.746,57.08,"X",31,"Class3","C",15.117
40,28.147,68.024,62,21.452,NA,68.142,"Q",74,"Class1","F",72.584
73,0.617,43.406,80,23.404,78.561,28.355,"D",41,"Class2","L",23.153
66,58.334,62.769,22,34.9,18.694,35.17,"B",36,"Class4","V",84.966
75,54.336,62.217,45,8.843,26.282,92.133,"U",46,"Class4","V",83.241
62,89.051,63.809,17,31.825,18.146,58.116,"B",33,"Class4","S",83.728
60,31.384,69.274,21,29.837,16.493,30.505,"U",47,"Class4","G",85.756
80,66.734,51.852,33,31.875,16.791,-4.842,"P",29,"Class4","G",83.175
58,69.873,73.309,31,13.664,17.507,60.289,"P",24,"Class4","V",86.938
71,0.022,40.627,82,46.218,60.806,31.414,"D",64,"Class2","L",58.356
13,67.86,50.6,29,86.005,18.841,22.792,"V",16,"Class3","C",11.889
54,103.662,NA,56,17.281,19.967,23.894,"U",43,"Class4","S",84.289
75,45.618,57.383,18,15.487,19.465,48.154,"B",19,"Class4","G",87.604
75,63.619,NA,27,33.301,NA,62.222,"P",23,"Class4","Q",84.643
14,85.427,89.451,64,45.422,14.491,37.389,"X",36,"Class3","Q",17.143
39,45.705,71.064,37,23.61,55.895,57.67,"J",76,"Class1","F",59.679
