"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","Output21"
"Q",90,41,4.072,20.997,68.484,79.303,82.286,41.947,"H",39,"Class1"
"E",87,24,65.906,19.53,18.076,80.683,48.369,19.559,"K",36,"Class4"
"Y",68,47,36.158,24.449,5.784,36.72,90.365,41.391,"M",58,"Class3"
"E",90,45,47.133,21.722,9.685,40.543,82.943,59.217,"X",75,"Class3"
"X",65,54,50.116,23.213,7.104,34.644,79.196,57.4,"X",90,"Class3"
"T",82,75,43.835,19.921,20.394,35.966,75.457,50.566,"C",84,"Class3"
"E",98,25,39.81,24.386,6.428,84.976,90.488,18.93,"K",75,"Class4"
"F",87,62,39.132,33.07,22.854,37.823,90.899,49.49,"C",86,"Class3"
"J",32,27,70.741,30.716,35.654,67.397,89.288,20.192,"L",59,"Class4"
"G",90,54,3.416,25.777,84.824,81.338,85.089,66.87,"K",43,"Class1"
"K",82,23,3.501,34.686,51.255,77.257,81.538,39.555,"K",43,"Class1"
"K",81,48,4.723,18.719,84.959,71.647,82.299,47.423,"H",40,"Class1"
"G",38,32,70.82,23.304,46.434,54.11,91.53,20.021,"V",83,"Class4"
"R",21,NA,48.798,13.91,25.11,88.491,53.598,20.679,"K",50,"Class4"
"X",88,NA,35.282,20.577,12.629,45.926,91.291,31.133,"X",95,"Class3"
"X",90,64,48.616,27.797,7.079,38.778,81.641,51.613,"E",91,"Class3"
"W",31,58,63.125,60.303,47.886,40.145,58.229,94.828,"R",64,"Class2"
"K",87,44,5.093,23.158,72.635,66.384,81.403,65.558,"F",NA,"Class1"
"F",71,81,47.791,36.284,21.222,33.61,79.995,23.082,"M",59,"Class3"
"K",92,22,4.527,15.504,48.769,50.246,84.675,24.014,"H",43,"Class1"
"D",29,64,57.132,61.003,21.353,41.897,47.732,89.842,"I",61,"Class2"
"E",68,31,67.91,14.678,28.482,56.751,35.768,20.235,"G",NA,"Class4"
"K",79,51,5.883,27.217,74.343,65.377,83.574,41.397,"F",44,"Class1"
"P",30,59,73.843,59.924,37.059,39.852,56.326,93.777,"R",69,"Class2"
"G",86,85,3.935,17.687,48.233,62.463,85.542,43.335,"F",44,"Class1"
"T",83,43,5.475,19.749,43.633,36.158,85.617,47.577,"F",41,"Class1"
"Z",38,67,78.49,60.411,47.711,44.921,49.725,91.709,"P",NA,"Class2"
"Q",86,60,6.139,13.571,49.232,73.489,85.768,57.287,"X",45,"Class1"
"X",68,80,37.128,19.777,11.957,45.761,77.804,58.403,"M",NA,"Class3"
"X",90,44,43.028,32.486,4.261,35.886,70.422,48.537,"T",87,"Class3"
"I",91,80,3.262,16.27,24.948,79.001,85.858,57.698,"K",44,"Class1"
"R",41,33,65.546,14.03,6.468,48.001,63.184,20.741,"G",64,"Class4"
"X",68,78,46.009,13.977,15.458,42.012,85.753,15.542,"X",62,"Class3"
"T",66,63,45.68,12.866,10.513,40.037,68.028,27.637,"C",72,"Class3"
"T",86,85,27.285,39.277,23.435,39.517,87.959,40.111,"C",NA,"Class3"
"T",90,91,1.509,21.274,46.438,44.467,83.179,72.014,"K",40,"Class1"
"I",83,79,1.045,20.584,45.724,53.674,84.516,29.433,"N",44,"Class1"
"R",46,33,62.919,15.935,15.663,85.109,41.991,20.196,"G",NA,"Class4"
"G",98,29,89.722,17.211,38.397,48.536,16.046,21.318,"K",39,"Class4"
"T",92,52,2.504,13.351,5.861,78.367,84.387,62.343,"H",40,"Class1"
"M",30,NA,47.672,60.547,57.611,44.084,55.269,91.402,"R",71,"Class2"
"E",32,30,68.62,13.553,31.3,77.359,60.477,19.362,"L",49,"Class4"
"P",45,NA,47.219,60.412,16.74,43.779,50.259,88.738,"P",63,"Class2"
"Y",89,60,39.893,14.087,8.779,42.981,73.668,49.502,"M",58,"Class3"
"T",63,83,37.718,37.939,17.979,35.209,71.238,29.417,"M",82,"Class3"
"F",58,60,44.974,27.621,23.771,40.084,74.026,38.945,"C",81,"Class3"
"T",65,59,45.421,25.301,12.065,44.434,89.986,78.257,"M",80,"Class3"
"W",30,56,75.791,60.833,34.515,42.747,57.795,97.14,"P",64,"Class2"
"R",90,31,67.832,22.922,47.837,58.171,84.088,20.261,"V",25,"Class4"
"M",32,68,76.626,60.16,25.773,38.836,56.103,89.269,"H",60,"Class2"
"J",30,26,62.851,27.89,6.735,79.58,25.416,20.455,"L",81,"Class4"
"Z",38,64,40.403,60.156,38.717,42.555,52.247,96.651,"P",73,"Class2"
"Y",68,70,40.164,24.53,12.972,32.115,72.372,41.094,"E",71,"Class3"
"P",47,57,59.122,59.96,20.039,39.36,58.055,93.347,"I",61,"Class2"
"H",54,29,78.937,13.755,31.406,54.601,11.781,19.999,"L",27,"Class4"
"Y",94,NA,30.889,20.358,20.847,32.919,91.907,32.672,"T",90,"Class3"
"F",72,43,46.394,26.559,21.194,40.156,67.673,48.128,"X",60,"Class3"
"K",77,49,3.554,22.119,80.75,66.114,85.386,43.352,"F",42,"Class1"
"M",42,64,65.877,60.542,58.934,42.216,51.613,91.648,"H",73,"Class2"
"X",67,64,47.144,21.769,17.142,38.155,69.325,49.804,"X",66,"Class3"
"F",93,73,34.607,26.861,5.176,38.56,71.887,45.914,"X",92,"Class3"
"E",34,31,53.485,16.46,21.699,77.058,33.882,20.528,"K",29,"Class4"
"P",44,59,74.48,61.328,31.218,39.876,46.503,94.449,"I",59,"Class2"
"Z",29,57,65.548,60.612,28.11,39.768,46.94,89.402,"I",57,"Class2"
"M",38,59,41.148,59.737,38.724,42.714,47.244,93.712,"R",68,"Class2"
"W",30,57,67.877,60.264,26.441,43.19,46.169,85.963,"H",58,"Class2"
"Q",84,23,2.767,12.542,33.739,37.532,85.36,28.768,"K",42,"Class1"
"R",47,26,105.222,16.528,24.483,71.367,68.931,20.225,"L",30,"Class4"
"T",83,38,5.397,16.302,52.437,69.488,85.189,23.999,"X",39,"Class1"
"K",81,31,4.365,23.872,46.423,45.919,83.285,39.935,"F",42,"Class1"
"X",61,56,41.974,16.821,23.99,40.037,86.568,49.567,"T",71,"Class3"
"X",62,77,61.078,22.643,6.26,39.321,70.809,33.43,"X",68,"Class3"
"J",94,28,42.541,22.997,43.486,67.526,34.255,20.848,"G",57,"Class4"
"F",73,53,33.425,17.934,11.137,38.331,70.185,66.814,"X",65,"Class3"
"Q",81,55,2.617,14.399,62.269,81.679,83.734,55.477,"K",41,"Class1"
"Z",42,58,46.251,60.886,18.054,44.777,54.665,93.964,"H",65,"Class2"
"H",41,32,66.541,15.458,50.615,75.929,89.48,20.498,"L",11,"Class4"
"M",37,63,67.277,60.473,53.68,40.372,54.959,97.603,"P",57,"Class2"
"I",89,79,4.398,27.592,54.319,70.407,84.894,62.727,"X",40,"Class1"
"E",62,65,44.423,24.498,11.384,41.612,73.04,26.442,"C",94,"Class3"
"I",85,25,6.377,7.102,5.804,68.205,82.505,38.858,"K",44,"Class1"
"W",44,59,76.183,60.732,42.436,41.409,45.255,89.434,"R",63,"Class2"
"Q",85,72,3.135,20.014,54.694,59.534,85.132,19.174,"F",41,"Class1"
"F",69,50,54.815,20.186,17.488,33.613,75.221,37.056,"C",69,"Class3"
"K",83,45,3.338,24.055,17.355,42.829,82.742,40.37,"N",45,"Class1"
"Y",73,52,48.264,28.88,4.223,33.983,90.187,35.945,"T",60,"Class3"
"R",54,31,46.749,16.444,40.843,79.641,52.589,18.44,"V",31,"Class4"
"Q",91,27,4.577,24.495,45.562,81.912,83.812,36.725,"K",45,"Class1"
"T",79,92,2.64,31.833,13.086,53.611,83.79,51.891,"H",44,"Class1"
"E",41,28,62.928,23.67,34.056,66.627,78.134,20.291,"A",77,"Class4"
"K",86,41,4.566,26.606,54.322,74.184,83.809,32.856,"F",39,"Class1"
"T",82,74,46.639,28.84,17.777,37.487,85.153,47.466,"M",90,"Class3"
"Q",81,86,4.127,22.488,31.395,62.545,83.811,42.575,"K",42,"Class1"
"E",79,29,55.663,17.158,31.573,55.143,28.256,19.101,"G",57,"Class4"
"G",33,31,58.173,14.84,34.868,48.288,59.434,19.419,"L",65,"Class4"
"E",32,31,55.085,29.262,29.443,57.685,29.743,21.036,"A",78,"Class4"
"Y",70,50,29.716,26.308,21.386,44.927,76.131,47.864,"M",66,"Class3"
"G",79,73,1.142,5.998,35.213,60.299,83.367,43.481,"K",39,"Class1"
"Y",61,75,42.594,28.883,6.548,37.765,78.112,44.884,"X",91,"Class3"
"Q",87,28,2.316,21.447,77.94,69.596,82.301,16.979,"N",44,"Class1"
"R",92,NA,72.312,26.396,31.233,80.204,25.907,19.821,"G",63,"Class4"
"F",87,56,44.485,27.035,12.454,44.957,88.492,36.661,"M",73,"Class3"
"G",85,62,3.386,19.154,15.59,53.197,81.363,43.003,"F",NA,"Class1"
"E",42,28,64.54,14.054,32.09,76.249,11.772,19.567,"K",66,"Class4"
"Q",79,82,5.347,18.888,14.686,39.151,84.795,47.206,"N",39,"Class1"
"Y",84,57,50.526,25.76,22.367,45.976,77.001,28.745,"M",80,"Class3"
"E",75,68,47.609,9.786,23.895,42.41,90.631,44.963,"M",86,"Class3"
"J",91,31,60.834,21.676,25.568,86.561,50.661,20.198,"V",25,"Class4"
"P",31,56,35.638,60.649,23.524,42.578,52.089,92.686,"R",74,"Class2"
"X",65,50,27.822,28.624,4.924,33.24,89.067,53.684,"C",86,"Class3"
"Y",88,NA,51.732,15.511,9.261,36.893,78.438,47.057,"E",81,"Class3"
"J",71,33,79.34,24.246,40.262,74.656,26.793,19.892,"L",75,"Class4"
"M",34,63,85.074,59.918,46.161,43.525,55.084,90.958,"L",57,"Class2"
"R",83,29,78.604,16.47,28.847,76.114,22.544,20.361,"V",61,"Class4"
"J",23,30,92.311,19.224,10.117,54.804,11.23,20.035,"G",41,"Class4"
"P",39,59,55.164,60.855,14.427,43.21,51.342,94.577,"R",70,"Class2"
"K",85,50,4.955,23.829,24.42,60.529,81.059,42.608,"F",44,"Class1"
"T",91,64,43.983,21.483,13.5,33.065,82.866,36.221,"M",84,"Class3"
"Q",82,42,1.123,24.207,41.813,43.379,82.735,30.706,"F",42,"Class1"
"E",84,66,60.966,16.122,14.352,38.149,78.359,43.17,"C",79,"Class3"
"Q",77,45,1.666,34.139,12.794,42.286,83.174,36.485,"N",44,"Class1"
"R",95,24,47.524,18.118,40.187,69.906,13.468,19.731,"V",26,"Class4"
"T",89,83,45.057,28.905,19.438,38.134,90.86,38.559,"T",89,"Class3"
"E",63,32,68.105,14.331,9.821,52.735,63.1,19.136,"A",56,"Class4"
"E",63,69,57.379,19.193,14.716,31.495,90.17,62.111,"C",64,"Class3"
"I",84,NA,7.378,14.684,28.818,71.632,84.251,45.954,"K",44,"Class1"
"D",31,67,64.881,60.469,30.749,43.644,58.292,93.841,"R",67,"Class2"
"H",77,31,71.266,13.272,30.946,84.605,77.128,19.905,"K",8,"Class4"
"F",78,79,34.663,32.22,22.714,41.905,71.468,48.203,"X",88,"Class3"
"I",91,94,0.675,18.813,57.555,56.824,84.792,65.329,"N",44,"Class1"
"K",79,85,3.645,30.43,39.864,63.054,83.737,30.529,"H",41,"Class1"
"Y",68,44,43.341,14.5,17.183,43.007,79.379,44.339,"T",59,"Class3"
"Z",39,67,53.221,60.132,26.429,39.652,46.229,92.478,"P",74,"Class2"
"Z",32,65,60.064,60.838,56.256,40.631,54.769,91.294,"R",56,"Class2"
"P",37,59,77.445,60.508,26.632,43.371,54.068,96.023,"P",61,"Class2"
"I",88,89,2.229,18.308,36.606,52.316,81.874,47.765,"H",42,"Class1"
"E",59,50,44.275,22.06,14.054,36.368,88.384,25.144,"C",76,"Class3"
"W",45,58,68.651,60.6,41.706,41.447,48.953,93.319,"P",62,"Class2"
"J",59,33,54.031,14.206,40.36,70.883,24.85,19.509,"A",68,"Class4"
"E",44,33,77.798,22.808,12.105,65.261,8.268,19.534,"G",80,"Class4"
"I",89,66,0.862,14.735,40.735,62.269,85.462,31.875,"K",39,"Class1"
"T",80,45,4.419,26.834,5.598,76.242,85.712,56.286,"H",44,"Class1"
"T",91,70,3.493,29.616,51.968,77.777,83.145,54.859,"H",45,"Class1"
"X",65,54,43.126,26.983,13.092,35.976,82.965,34.983,"C",79,"Class3"
"E",92,63,40.454,36.521,23.424,42.778,90.716,43.609,"E",76,"Class3"
"G",83,92,0.731,18.231,77.753,75.813,85.878,46.427,"K",39,"Class1"
"K",89,62,2.381,14.096,84.141,76.665,82.825,38.842,"H",NA,"Class1"
"T",89,53,2.217,35.448,29.073,78.939,82.193,22.786,"N",43,"Class1"
"H",42,30,42.698,23.065,44.75,65.286,36.437,19.728,"L",48,"Class4"
"G",89,75,3.48,14.406,17.427,85.056,82.778,40.816,"X",44,"Class1"
"T",62,72,43.585,22.6,12.655,33.671,68.735,57.027,"M",62,"Class3"
"X",84,51,53.013,40.291,10.048,36.989,72.657,52.578,"M",NA,"Class3"
"K",90,NA,4.834,21.138,68.974,66.829,85.604,24.175,"F",41,"Class1"
"T",84,70,3.592,33.423,58.873,40.368,83.935,30.622,"H",42,"Class1"
"Y",75,71,51.733,16.066,18.276,40.66,86.055,44.708,"T",64,"Class3"
"F",79,67,47.594,37.406,18.472,40.746,76.453,21.499,"X",60,"Class3"
"Q",89,47,4.491,22.683,55.793,77.823,85.861,40.129,"F",44,"Class1"
"Q",83,91,0.294,15.26,41.872,76.339,83.544,58.359,"F",39,"Class1"
"J",69,25,63.846,15.684,50.238,82.794,55.488,20.865,"A",31,"Class4"
"K",79,58,-0.787,18.592,78.456,46.318,84.16,35.166,"F",43,"Class1"
"E",61,66,45.014,24.959,6.478,37.254,82.148,58.801,"X",75,"Class3"
"F",82,63,29.573,14.309,18.225,35.388,71.743,63.935,"T",63,"Class3"
"Z",38,59,37.711,60.447,13.627,43.068,55.229,93.112,"I",66,"Class2"
"G",19,24,63.001,16.61,12.577,52.809,19.682,19.886,"G",69,"Class4"
"K",82,25,5.054,13.509,42.118,77.832,85.947,26.872,"X",43,"Class1"
"E",85,43,51.589,9.055,21.724,32.673,88.777,42.589,"X",77,"Class3"
"P",36,59,69.668,60.659,12.258,40.464,53.626,91.888,"P",72,"Class2"
"T",68,83,46.401,27.365,7.18,44.051,70.326,45.028,"T",74,"Class3"
"G",85,NA,5.357,29.403,78.361,45.809,83.854,36.242,"K",NA,"Class1"
"P",43,61,56.089,60.484,24.944,44.531,55.782,89.129,"L",63,"Class2"
"I",82,96,4.711,14.271,46.815,36.284,83.258,38.346,"H",39,"Class1"
"Q",92,82,5.546,29.686,18.635,58.573,82.842,74.87,"N",NA,"Class1"
"E",100,28,71.698,27.362,8.124,53.446,8.941,20.017,"G",48,"Class4"
"E",87,84,49.63,31.578,10.571,40.689,86.323,42.491,"E",66,"Class3"
"K",83,50,1.367,12.125,48.286,67.628,85.208,64.937,"H",45,"Class1"
"D",45,56,69.043,60.039,29.854,40.114,54.283,92.937,"R",69,"Class2"
"I",91,83,5.755,12.803,44.562,64.191,84.809,62.616,"N",41,"Class1"
"F",76,54,46.72,26.414,17.605,37.395,68.713,44.495,"M",64,"Class3"
"F",65,46,59.758,28.917,19.502,45.538,75.055,37.051,"C",90,"Class3"
"E",89,62,37.704,14.945,16.237,33.43,67.618,61.824,"M",NA,"Class3"
"W",47,61,54.464,60.439,58.975,39.474,56.407,94.446,"R",58,"Class2"
"K",92,40,2.608,23.971,39.706,43.205,84.88,54.172,"N",44,"Class1"
"D",42,57,58.885,60.603,12.895,39.36,56.695,94.714,"I",74,"Class2"
"G",57,26,66.63,18.025,28.274,83.329,45.567,20.169,"L",34,"Class4"
"J",75,29,52.823,25.327,47.353,75.993,41.648,19.763,"L",46,"Class4"
"K",92,24,2.162,30.099,65.199,81.905,84.387,40.621,"N",45,"Class1"
"T",84,61,5.227,17.181,67.785,45.797,82.794,51.365,"X",40,"Class1"
"Y",93,70,47.803,37.342,17.119,32.485,80.888,31.373,"M",NA,"Class3"
"H",43,28,83.049,16.194,15.309,73.886,37.793,20.894,"L",53,"Class4"
"T",92,77,38.869,26.01,5.528,39.136,85.897,45.068,"T",88,"Class3"
"T",85,73,3.541,15.227,73.556,72.368,82.967,77.281,"N",39,"Class1"
"E",72,69,43.281,20.379,15.508,31.564,78.358,53.321,"X",88,"Class3"
"H",35,27,59.274,7.968,26.029,78.497,68.558,21.14,"L",39,"Class4"
"Y",87,64,42.437,35.943,16.068,38.231,88.052,27.26,"T",65,"Class3"
"M",39,65,48.237,60.563,39.021,38.557,49.627,96.295,"H",59,"Class2"
"F",73,60,36.214,27.113,9.482,39.456,68.373,38.4,"X",95,"Class3"
"Q",86,87,4.317,27.214,60.042,85.267,81.83,53.632,"K",40,"Class1"
"I",92,69,3.488,30.064,59.503,49.701,83.567,24.479,"K",44,"Class1"
"Y",59,NA,41.277,19.428,14.618,37.648,81.041,22.741,"T",74,"Class3"
"Y",86,62,48.449,35.912,19.264,32.858,75.59,38.8,"E",61,"Class3"
"T",79,NA,4.097,26.192,40.443,63.82,81.662,37.012,"H",39,"Class1"
"T",85,83,49.186,4.307,10.406,34.037,88.261,65.218,"C",65,"Class3"
"I",90,65,4.936,28.238,73.172,48.691,84.658,53.468,"H",42,"Class1"
"Z",41,63,70.783,60.933,15.311,39.591,50.109,95.662,"R",72,"Class2"
"R",78,NA,84.589,26.537,14.654,46.575,62.666,20.556,"V",51,"Class4"
"D",35,61,61.491,61.088,24.612,43.34,46.827,91.123,"R",57,"Class2"
"E",76,46,38.724,34.276,14.07,35.088,70.192,41.452,"X",69,"Class3"
"Z",47,56,62.181,60.659,33.765,42.95,51.247,93.127,"P",58,"Class2"
"K",80,40,1.839,30.22,59.072,85.076,81.363,49.731,"F",39,"Class1"
"I",90,51,2.561,20.925,43.716,72.172,83.281,21.235,"K",43,"Class1"
"E",83,61,36.973,37.53,5.904,43.191,72.488,52.636,"M",68,"Class3"
"I",79,86,4.683,15.124,52.278,62.625,84.51,31.682,"X",45,"Class1"
"G",80,25,59.74,21.113,33.957,72.706,29.088,19.769,"K",73,"Class4"
"T",67,75,44.753,28.166,15.785,39.015,80.217,40.561,"M",67,"Class3"
"E",88,60,53.144,15.329,5.316,39.956,69.367,50.523,"M",83,"Class3"
"D",36,56,66.88,60.908,57.265,43.81,46.041,93.26,"R",69,"Class2"
"G",71,30,69.101,13.85,25.615,88.303,7.305,19.757,"A",14,"Class4"
"G",50,30,75.277,10.659,26.087,54.221,28.634,19.13,"A",36,"Class4"
"Q",86,82,2.27,7.851,16.641,54.16,82.993,41.09,"K",44,"Class1"
"K",86,NA,4.523,22.858,51.546,43.807,85.428,53.783,"X",43,"Class1"
"G",65,33,60.851,20.592,8.166,86.091,14.491,21.047,"G",83,"Class4"
"P",34,58,62.543,60.883,42.496,42.612,56.505,91.981,"H",58,"Class2"
"H",97,31,74.643,22.471,41.432,66.445,49.735,19.259,"A",NA,"Class4"
"Y",93,61,50.96,19.976,7.29,33.813,68.344,40.302,"X",88,"Class3"
"H",51,25,58.526,10.706,31.101,78.577,58.809,19.89,"L",NA,"Class4"
"M",31,68,77.268,60.524,53.733,43.444,46.797,93.945,"P",65,"Class2"
"E",29,28,86.969,20.327,32.701,79.292,34.142,20.069,"A",21,"Class4"
"M",40,68,67.026,60.99,12.347,42.941,52.692,93.069,"P",60,"Class2"
"J",59,25,89.679,16.859,50.874,77.552,86.852,20.431,"A",38,"Class4"
"R",89,25,60.872,22.886,18.342,58.867,37.835,19.06,"K",42,"Class4"
"R",30,30,43.858,19.159,5.523,62.651,51.876,19.338,"G",5,"Class4"
"G",81,61,3.048,11.996,37.618,58.296,83.408,36.606,"K",43,"Class1"
"G",89,25,82.485,22.303,41.36,55.762,47.462,19.983,"L",46,"Class4"
"M",34,66,62.154,60.418,59.522,44.797,47.325,93.534,"H",61,"Class2"
"J",78,28,85.279,18.184,47.764,72.672,16.835,20.024,"L",82,"Class4"
"W",46,64,84.84,60.396,28.46,43.339,55.077,92.418,"L",64,"Class2"
"P",46,64,86.802,60.833,13.593,38.49,50.714,91.636,"P",74,"Class2"
"P",34,65,73.756,60.029,47.322,39.688,54.239,92.5,"I",62,"Class2"
"T",82,83,50.762,26.406,20.541,32.748,81.061,58.015,"C",66,"Class3"
"H",87,26,71.089,18.428,36.345,76.094,36.698,20.458,"G",69,"Class4"
"I",91,24,4.899,22.316,51.663,42.088,85.673,50.786,"H",41,"Class1"
"X",60,49,31.285,38.721,19.823,44.938,79.827,36.925,"X",62,"Class3"
"T",78,76,2.797,25.864,26.665,66.668,83.877,56.246,"K",44,"Class1"
"M",37,67,53.909,60.352,19.978,44.512,55.136,89.469,"R",72,"Class2"
"G",85,90,2.539,17.732,82.745,49.644,81.646,67.265,"K",44,"Class1"
"E",97,24,44.842,17.195,39.32,82.887,19.767,20.413,"K",67,"Class4"
"H",86,29,66.065,22.895,31.088,55.119,63.416,19.614,"V",NA,"Class4"
"T",69,75,48.67,13.673,12.695,44.321,69.387,35.8,"T",71,"Class3"
"I",91,40,5.05,28.864,14.114,85.222,85.504,29.459,"K",43,"Class1"
"T",85,54,27.674,17.269,19.857,31.111,87.323,47.707,"E",78,"Class3"
"X",91,62,38.878,39.514,11.72,31.772,81.587,30.139,"X",59,"Class3"
"H",67,NA,47.915,23.269,22.832,80.551,43.072,20.469,"L",35,"Class4"
"P",30,58,52.501,60.288,33.906,38.956,45.008,93.374,"P",70,"Class2"
"K",83,50,1.975,22.284,69.991,40.406,85.953,44.238,"X",45,"Class1"
"M",36,60,83.787,60.555,33.207,42.776,46.862,95.466,"P",72,"Class2"
"Y",65,77,34.239,9.564,8.02,44.876,84.149,34.702,"E",66,"Class3"
"Q",83,NA,3.271,15.57,50.309,52.791,83.65,23.013,"N",39,"Class1"
"H",52,25,57.576,14.618,35.258,46.716,34.02,20.518,"G",79,"Class4"
"P",41,61,69.793,60.204,58.973,43.918,46.152,89.276,"L",63,"Class2"
"M",47,60,67.324,59.836,20.735,44.968,46.743,92.684,"L",74,"Class2"
"D",43,56,78.78,60.405,25.716,42.926,55.592,93.749,"L",68,"Class2"
"G",90,64,0.592,20.296,35.792,73.484,81.924,53.852,"X",45,"Class1"
"Z",29,60,76.239,60.805,33.007,39.947,58.63,91.369,"L",67,"Class2"
"M",38,65,73.869,60.531,11.311,41.133,49.304,93.704,"R",62,"Class2"
"I",77,88,2.1,16.261,79.677,64.014,84.327,21.948,"K",40,"Class1"
"W",40,65,84.571,60.381,48.767,42.537,50.221,90.168,"R",67,"Class2"
"H",52,NA,81.816,23.826,12.767,52.513,37.369,20.656,"G",35,"Class4"
"T",78,95,1.686,13.731,41.931,76.481,85.249,44.927,"H",44,"Class1"
"M",38,62,51.229,60.852,16.496,40.646,54.263,92.812,"R",56,"Class2"
"G",77,30,4.831,18.019,32.313,59.869,85.381,49.805,"H",44,"Class1"
"H",46,24,58.549,21.701,41.075,86.469,57.152,19.178,"A",23,"Class4"
"X",94,81,53.017,37.783,18.886,31.774,88.159,40.411,"T",NA,"Class3"
"D",45,66,65.131,60.537,20.408,38.008,57.509,94.235,"H",66,"Class2"
"H",83,30,75.638,18.062,41.743,70.414,56.171,18.532,"K",75,"Class4"
"W",39,56,74.372,60.263,56.154,38.988,52.288,98.271,"I",61,"Class2"
"J",41,NA,60.588,20.679,25.791,74.187,52.33,21.358,"A",79,"Class4"
"F",76,78,40.226,27.159,18.309,42.549,77.76,34.559,"E",89,"Class3"
"Z",30,64,66.362,60.69,45.21,39.784,56.914,90.921,"H",64,"Class2"
"T",58,50,55.306,9.34,21.203,36.103,90.459,37.193,"C",88,"Class3"
"M",45,59,77.803,61.047,19.875,39.034,55.259,89.938,"L",73,"Class2"
"J",95,25,80.395,26.746,35.404,49.527,42.235,19.439,"L",10,"Class4"
"X",69,49,40.534,31.894,14.598,41.381,86.223,63.488,"C",74,"Class3"
"X",87,51,50.666,30.963,19.54,42.807,74.783,34.465,"C",76,"Class3"
"E",63,56,34.15,31.745,16.747,31.892,86.579,43.908,"X",69,"Class3"
"X",72,47,30.265,42.567,8.046,32.294,69.975,41.42,"M",75,"Class3"
"T",77,62,1.868,23.921,60.061,55.988,83.597,39.847,"X",45,"Class1"
"T",80,45,49.233,13.123,19.231,41.499,85.899,28.104,"E",68,"Class3"
"W",36,67,55.059,60.414,25.053,43.878,45.591,92.475,"L",62,"Class2"
"K",90,49,0.963,19.989,5.081,64.553,85.474,25.759,"H",43,"Class1"
"P",45,58,64.217,60.278,58.646,40.442,50.833,92.063,"H",61,"Class2"
"J",87,25,42.483,18.071,51.054,51.78,62.76,20.232,"G",61,"Class4"
"E",56,32,56.298,23.856,31.071,83.018,90.11,20.681,"V",54,"Class4"
"G",58,26,78.884,14.349,28.346,67.484,85.62,18.885,"V",48,"Class4"
"G",89,35,4.795,24.303,77.007,44.523,83.411,38.963,"H",NA,"Class1"
"X",73,80,31.244,22.108,15.535,45.823,82.068,32.488,"X",75,"Class3"
"P",29,61,51.507,60.451,29.229,38.248,51.024,92.831,"P",NA,"Class2"
"Y",91,72,47.849,27.915,16.553,39.74,69.17,36.043,"T",89,"Class3"
"E",96,33,63.785,18.835,19.471,76.63,67.2,20.173,"G",10,"Class4"
"I",79,23,2.067,20.71,34.25,66.691,85.24,36.507,"K",43,"Class1"
"Q",87,91,4.431,20.781,53.734,76.787,82.704,26.68,"N",43,"Class1"
"E",68,44,41.603,23.082,6.443,39.453,72.252,43.567,"T",85,"Class3"
"E",67,55,39.481,2.3,19.667,44.149,80.371,53.548,"T",69,"Class3"
"T",66,43,41.291,36.393,11.093,33.073,72.603,30.337,"X",77,"Class3"
"J",68,31,36.817,17.89,9.102,67.074,18.595,19.903,"A",44,"Class4"
"D",34,66,73.729,59.979,15.825,38.883,50.021,91.063,"I",58,"Class2"
"E",37,30,70.687,24.738,14.219,46.981,78.631,20.401,"G",76,"Class4"
"G",79,25,4.157,19.751,68.267,85.009,81.706,44.082,"K",41,"Class1"
"K",78,64,3.107,24.958,9.1,75.397,85.032,39.751,"X",42,"Class1"
"D",29,62,84.72,60.984,22.53,44.642,56.002,95.67,"R",61,"Class2"
"Z",36,66,29.986,59.943,56.192,40.134,48.989,92.384,"P",69,"Class2"
"K",89,54,4.86,33.9,77.488,76.551,84.985,39.498,"N",40,"Class1"
"T",80,94,5.134,8.841,49.475,77.89,83.491,4.416,"N",43,"Class1"
"Y",86,57,41.896,11.809,11.906,44.026,91.036,44.517,"E",81,"Class3"
"I",79,NA,1.835,34.252,41.111,78.126,81.873,43.797,"F",40,"Class1"
"P",46,56,75.22,60.449,13.394,44.457,55.918,90.158,"I",72,"Class2"
"H",93,29,63.853,19.243,9.746,73.281,26.382,20.202,"V",52,"Class4"
"H",84,31,52.628,29.472,12.369,76.541,57.821,19.199,"K",21,"Class4"
"E",62,71,43.019,6.347,7.182,37.249,67.255,39.289,"C",66,"Class3"
"R",95,33,59.537,21.582,26.066,48.118,57.204,20.53,"V",33,"Class4"
"Y",80,67,31.148,18.439,21.705,31.416,73.855,47.167,"M",59,"Class3"
"T",86,73,46.185,24.693,11.009,42.399,79.746,59.109,"X",75,"Class3"
"T",73,59,37.235,18.68,15.363,39.098,70.644,45.041,"X",92,"Class3"
"H",31,26,69.116,23.467,24.236,49.899,26.322,20.262,"V",40,"Class4"
"X",60,60,50.327,26.87,19.349,32.537,74.066,36.825,"E",87,"Class3"
"Z",30,66,59.552,60.043,14.499,43.733,58.368,93.649,"R",71,"Class2"
"Y",71,85,53.193,37.6,4.688,33.586,68.236,36.38,"C",71,"Class3"
"K",90,85,2.855,29.625,49.556,84.152,82.16,50.744,"N",43,"Class1"
"W",37,57,58.131,60.273,31.03,39.709,48.434,87.226,"L",72,"Class2"
"H",98,32,102.836,20.203,15.106,77.587,23.993,19.941,"V",61,"Class4"
"T",83,57,43.164,36.841,15.181,35.306,76.32,44.462,"C",90,"Class3"
