"K1","K2","K3","K4","K5","K6","K7","K8","K9","K10","Output10","K11"
"G",72,39,115.455,89,84.452,89.981,50.836,"H",24.292,"Class1",71.396
"B",60,19,29.712,74,46.21,6.984,17.538,"V",88.058,"Class4",12.682
"M",63,7,86.172,72,49.401,12.203,3.892,"P",28.252,"Class4",16.11
"W",75,91,50.613,75,69.497,89.506,64.391,"C",16.737,"Class1",70.302
"T",79,38,36.537,36,65.761,33.855,75.884,"C",52.377,"Class2",41.817
"Y",27,36,84.492,NA,45.194,58.652,52.735,"R",3.876,"Class3",48.058
"Y",26,35,89.889,90,59.614,70.914,59.403,"O",7.377,"Class3",46.19
"W",28,41,88.71,92,64.441,74.058,68.679,"O",1.263,"Class3",62.744
"E",58,56,72.64,29,42.679,14.67,76.683,"U",70.543,"Class2",68.429
"Z",61,9,67.361,88,56.15,7.007,3.42,"V",49.979,"Class4",8.405
"F",73,53,64.015,67,66.943,92.877,56.474,"V",25.285,"Class1",85.384
"N",63,8,37.913,65,54.15,13.69,12.28,"Y",8.495,"Class4",17.386
"G",79,46,23.403,85,75.839,93.143,52.827,"F",17.565,"Class1",77.106
"F",71,47,47.476,72,42.392,79.189,53.996,"C",27.971,"Class1",80.176
"X",63,25,30.42,75,52.543,11.787,0.249,"S",37.744,"Class4",11.567
"J",80,72,24.465,74,40.968,83.711,45.405,"Z",26.897,"Class1",51.282
"G",73,20,74.435,72,38.308,75.052,57.985,"F",23.303,"Class1",81.896
"F",71,26,61.317,62,64.699,82.825,58.759,"C",24.64,"Class1",82.615
"B",61,18,42.234,71,52.612,14.405,12.979,"V",72.527,"Class4",8.75
"Z",61,19,34.238,80,54.85,8.873,13.484,"V",39.039,"Class4",10.524
"O",45,55,47.833,24,55.041,4.239,65.871,"H",68.906,"Class2",55.373
"J",80,49,57.569,75,76.476,89.233,59.224,"V",23.157,"Class1",87.458
"J",73,24,60.308,63,40.517,84.66,55.346,"V",24.557,"Class1",79.363
"X",61,14,63.495,74,54.669,9.181,9.114,"P",20.22,"Class4",8.027
"N",60,36,42.525,84,48.467,14.744,6.004,"P",58.689,"Class4",12.44
"V",17,46,78.912,91,52.143,55.787,61.868,"K",9.308,"Class3",43.181
"O",54,45,91.739,32,28.121,38.398,76.232,"V",70.928,"Class2",60.073
"E",73,47,45.481,30,32.771,27.997,61.772,"C",52.341,"Class2",74.028
"V",45,36,94.11,90,36.466,70.197,83.064,"O",12.648,"Class3",49.054
"Z",63,8,64.194,NA,53.832,12.637,13.357,"P",84.407,"Class4",16.685
"W",75,45,92.019,NA,86.493,75.82,52.493,"O",0.937,"Class3",38.992
"B",60,14,42.024,87,51.497,8.29,10.878,"V",35.989,"Class4",11.388
"I",31,48,83.913,91,50.885,70.818,57.537,"R",5.651,"Class3",43.633
"F",77,30,74.99,84,76.691,67.834,55.24,"C",17.209,"Class1",66.312
"Y",40,38,85.945,90,59.148,68.301,44.932,"K",6.534,"Class3",49.225
"M",77,73,33.935,57,40.249,74.214,55.413,"H",17.696,"Class1",70.946
"G",74,33,53.601,90,42.272,65.399,49.977,"Z",30.181,"Class1",65.288
"X",60,26,27.167,83,55.656,6.359,8.769,"S",35.813,"Class4",12.861
"G",77,27,49.078,55,42.345,92.082,57.965,"F",17.32,"Class1",54.71
"M",78,75,39.636,NA,43.941,93.059,55.11,"Z",26.575,"Class1",84.17
"E",63,63,-0.151,28,35.164,5.625,64.348,"U",49.836,"Class2",47.249
"F",74,18,25.621,57,42.013,86.434,56.147,"Z",16.685,"Class1",54.322
"T",55,32,31.321,27,66.854,41.102,63.804,"G",95.887,"Class2",42.599
"I",17,35,100.464,90,63.816,82.717,49.789,"N",12.242,"Class3",61.496
"A",72,27,75.795,26,65.036,38.719,71.375,"V",60.495,"Class2",39.742
"I",26,41,97.752,91,39.944,59.565,72.426,"G",8.477,"Class3",40.215
"Z",63,25,28.599,67,46.957,5.607,18.02,"Y",52.973,"Class4",16.064
"A",59,78,36.257,20,38.209,28.142,76.187,"G",48.823,"Class2",53.486
"W",35,45,92.006,92,87.832,81.86,81.051,"N",10.302,"Class3",69.169
"M",60,33,41.32,75,52.93,14.08,12.313,"H",23.944,"Class4",11.036
"O",56,59,67.639,38,27.225,17.698,72.796,"V",70.548,"Class2",50.091
"J",72,75,42.517,85,45.202,62.171,47.621,"H",25.987,"Class1",72.361
"M",72,50,43.947,60,56.39,62.446,58.742,"F",19.136,"Class1",62.035
"M",63,4,27.387,86,54.994,5.977,5.925,"S",52.071,"Class4",19.127
"V",13,35,84.572,92,67.18,82.177,43.719,"R",7.347,"Class3",37.978
"T",60,41,36.471,38,49.593,38.585,73.726,"U",60.689,"Class2",73.601
"X",61,37,19.531,77,48.129,7.855,6.141,"Y",24.196,"Class4",11.081
"F",71,17,57.809,89,56.309,91.982,59.131,"V",37.384,"Class1",53.537
"Z",62,34,33.875,72,55.851,6.143,14.214,"Y",38.959,"Class4",18.834
"F",78,72,15.969,61,48.179,66.901,54.18,"H",25.232,"Class1",71.853
"A",62,73,67.608,30,43.796,21.302,71.113,"V",57.747,"Class2",36.53
"Y",39,41,91.208,92,47.891,75.034,55.503,"G",9.48,"Class3",49.864
"A",67,38,-4.392,34,37.086,20.997,65.462,"G",57.178,"Class2",62.126
"B",62,16,39.443,82,55.249,6.604,4.285,"H",72.5,"Class4",10.367
"I",71,71,41.107,38,65.245,23.375,77.368,"G",67.412,"Class2",67.146
"I",17,36,85.545,92,57.552,73.14,37.784,"K",8.184,"Class3",38.629
"B",62,42,44.066,75,55.294,8.732,-0.527,"P",41.429,"Class4",9.738
"Y",60,41,92.844,91,59.125,87.752,27.443,"K",13.216,"Class3",56.425
"Y",66,48,96.207,NA,71.319,61.298,69.885,"K",9.599,"Class3",65.466
"I",79,78,27.441,31,46.47,17.6,77.543,"C",44.259,"Class2",39.688
"M",60,34,49.987,73,48.763,6.633,NA,"S",50.869,"Class4",14.699
"T",49,34,58.983,30,24.877,34.578,78.493,"U",79.101,"Class2",46.835
"I",61,40,95.093,91,66.472,60.633,72.941,"K",2.08,"Class3",41.44
"J",78,70,27.51,70,45.512,75.328,57.712,"V",35.898,"Class1",73.551
"J",74,48,57.051,92,52.804,64.905,50.885,"F",26.64,"Class1",54.285
"M",77,47,82.439,65,78.803,71.511,54.392,"F",27.472,"Class1",78.701
"I",57,36,77.394,33,39.182,27.498,76.286,"H",60.427,"Class2",33.412
"T",72,70,71.982,32,37.268,37.305,NA,"H",42.271,"Class2",58.494
"Y",36,44,95.197,91,78.199,88.294,75.924,"O",9.153,"Class3",60.126
"M",77,50,26.875,64,60.712,87.819,55.6,"V",25.02,"Class1",79.104
"M",78,52,30.205,66,69.048,78.738,NA,"V",29.344,"Class1",73.473
"M",60,41,20.837,68,54.014,5.193,15.485,"S",66.063,"Class4",12.019
"I",54,35,49.438,22,37.375,24.198,75.108,"C",73.693,"Class2",70.538
"Z",61,7,36.56,74,47.863,10.159,11.235,"S",9.834,"Class4",19.224
"M",60,6,64.094,84,53.217,13.044,4.488,"Y",55.283,"Class4",13.1
"M",74,75,84.021,65,62.041,62.317,59.354,"F",23.569,"Class1",84.907
"B",63,42,24.405,82,56.203,5.385,9.268,"H",113.084,"Class4",17.614
"F",80,86,94.291,58,65.893,71.999,62.687,"Z",25.272,"Class1",82.775
"G",80,80,35.843,84,67.025,75.947,51.089,"V",25.357,"Class1",57.584
"A",77,26,77.118,35,63.701,20.915,62.715,"C",52.468,"Class2",70.391
"J",78,21,64.586,76,56.148,59.019,66.739,"V",28.744,"Class1",63.223
"N",63,5,45.696,85,58.564,7.805,4.32,"S",76.452,"Class4",10.497
"F",74,27,34.353,85,83.268,91.373,56.302,"V",15.008,"Class1",58.967
"Y",55,48,101.491,90,40.998,89.724,38.731,"K",7.783,"Class3",39.515
"X",63,33,21.95,65,58.287,12.871,11.571,"Y",102.653,"Class4",15.059
"I",38,45,92.264,91,74.874,60.169,49.213,"O",6.143,"Class3",84.714
"T",58,40,73.989,31,63.276,27.026,71.229,"V",72.929,"Class2",39.937
"W",76,64,73.852,90,69.032,80.986,65.366,"F",20.499,"Class1",78.092
"T",56,57,38.953,34,40.034,44.411,72.571,"C",65.983,"Class2",33.594
"O",45,78,32.353,19,41.463,20.166,69.046,"G",73.528,"Class2",63.144
"O",78,71,44.711,NA,29.846,10.677,62.116,"G",66.97,"Class2",68.655
"N",62,32,37.246,80,48.377,12.783,9.165,"H",4.416,"Class4",8.128
"V",46,38,100.674,90,50.376,56.014,75.594,"O",10.018,"Class3",45.514
"N",61,10,18.19,80,57.457,11.823,12.024,"H",47.133,"Class4",11.045
"W",70,90,-11.758,NA,76.317,81.25,53.415,"V",23.468,"Class1",72.269
"B",61,5,6.892,80,55.599,9.616,16.266,"P",58.524,"Class4",11.477
"N",61,4,46.387,71,51.139,10.904,21.75,"Y",38.588,"Class4",14.658
"Y",30,39,90.836,90,91.955,57.596,44.273,"O",11.736,"Class3",84.773
"X",63,15,54.07,85,53.115,8.574,8.398,"S",51.021,"Class4",16.604
"B",63,40,30.875,83,46.196,14.935,-2.467,"Y",62.692,"Class4",12.685
"I",72,46,87.893,90,91.166,82.473,24.658,"G",11.184,"Class3",71.937
"G",70,72,4.085,64,59.302,62.482,50.712,"Z",36.261,"Class1",58.701
"G",77,46,70.771,83,43.892,87.016,52.886,"F",26.567,"Class1",82.611
"G",76,89,30.389,87,38.414,80.247,55.174,"Z",28.207,"Class1",63.437
"W",75,20,90.141,91,40.347,92.798,58.353,"Z",25.05,"Class1",73.807
"T",62,60,18.848,23,60.416,38.121,71.641,"H",42.966,"Class2",65.708
"Y",24,43,95.155,91,51.944,66.059,46.633,"R",4.721,"Class3",45.159
"I",43,42,92.687,91,47.615,87.635,50.831,"N",6.265,"Class3",73.558
"I",69,39,9.513,21,25.677,50.371,62.871,"H",62.936,"Class2",35.547
"G",74,72,87.616,75,64.157,86.586,63.597,"H",28.956,"Class1",84.381
"A",70,38,94.422,90,52.685,69.064,32.931,"K",8.12,"Class3",57.367
"N",62,13,32.407,79,57.102,7.702,20.001,"V",59.76,"Class4",16.833
"A",62,47,52.427,22,38.395,23.94,74.289,"V",63.495,"Class2",34.759
"F",71,23,15.743,54,38.092,83.826,64.428,"C",27.125,"Class1",83.99
"F",79,43,84.963,82,82.683,75.171,60.328,"V",32.29,"Class1",53.191
"I",61,71,37.417,25,46.398,50.03,66.284,"U",59.953,"Class2",62.753
"O",51,27,50.902,25,63.478,39.316,76.926,"U",56.853,"Class2",47.331
"J",75,90,141.17,79,46.556,81.801,62.855,"H",20.876,"Class1",84.713
"A",12,47,92.66,91,90.505,54.006,55.029,"N",8.968,"Class3",63.834
"M",75,22,85.527,77,64.506,72.422,58.876,"H",25.41,"Class1",86.236
"W",80,82,47.188,55,40.719,80.161,68.693,"Z",27.159,"Class1",57.541
"Z",62,33,22.265,77,46.755,5.123,NA,"V",38.885,"Class4",16.908
"G",70,31,103.263,79,65.746,68.529,46.447,"H",28.109,"Class1",68.571
"V",59,35,79.492,90,77.975,73.546,54.105,"N",0.357,"Class3",72.667
"W",78,68,36.836,54,60.131,93.047,59.411,"F",29.713,"Class1",65.916
"V",18,41,90.634,90,64.683,63.62,83.817,"N",9.484,"Class3",45.179
"B",63,40,38.477,87,53.311,11.568,4.572,"V",21.842,"Class4",17.928
"G",77,14,69.288,67,53.441,83.478,58.524,"F",24.084,"Class1",66.944
"N",62,32,54.162,65,52.882,9.98,8.764,"Y",74.83,"Class4",19.199
"I",52,60,5.983,29,56.908,44.664,68.886,"U",55.865,"Class2",38.933
"Y",49,39,86.974,91,82.379,86.014,69.504,"R",8.616,"Class3",54.759
"F",70,48,18.937,80,67.087,79.742,58.025,"H",25.621,"Class1",84.232
"B",61,43,17.457,76,48.037,8.777,14.725,"V",84.417,"Class4",9.28
"I",50,72,67.804,34,66.67,31.291,71.649,"V",85.65,"Class2",35.549
"F",75,47,121.482,56,71.641,89.313,67.232,"H",34.651,"Class1",81.549
"Z",60,38,52.287,75,54.244,11.524,14.083,"S",47.517,"Class4",13.316
"E",72,40,73.592,30,24.26,6.578,71.842,"V",66.327,"Class2",71.605
"G",78,62,79.077,84,85.41,81.18,68.458,"C",15.107,"Class1",80.695
"X",63,45,41.97,80,48.836,8.392,15.191,"Y",49.859,"Class4",13.48
"M",76,92,101.78,75,73.064,86.001,62.248,"F",28.842,"Class1",55.585
"T",59,38,44.09,31,45.555,47.825,70.959,"V",75.617,"Class2",36.581
"F",79,7,81.753,73,37.868,88.31,54.101,"Z",19.695,"Class1",53.83
"N",60,20,21.591,78,52.464,7.86,12.878,"H",28.766,"Class4",12.842
"E",66,47,35.146,35,46.221,5.736,77.703,"C",58.504,"Class2",55.595
"G",72,76,9.001,78,57.182,93.616,60.951,"F",25.722,"Class1",68.268
"F",72,25,49.843,82,63.626,93.281,59.916,"C",30.757,"Class1",59.472
"V",33,44,89.062,91,51.818,67.334,49.254,"O",5.371,"Class3",60.461
"V",24,47,100.518,90,38.212,67.337,45.133,"K",4.03,"Class3",47.775
"M",70,8,57.861,58,80.389,71.125,63.261,"C",26.468,"Class1",62.184
"E",66,26,55.239,20,34.735,45,71.859,"H",53.871,"Class2",64.872
"T",46,28,49.4,32,51.798,23.72,73.839,"C",17.065,"Class2",35.195
"M",62,29,61.623,70,56.44,11.629,12.035,"S",-0.418,"Class4",17.628
"I",73,46,89.412,91,79.012,75.733,40.237,"O",8.563,"Class3",47.043
"W",70,68,50.13,57,40.636,93.549,65.892,"F",22.081,"Class1",62.408
"T",49,54,58.05,31,43.663,12.668,75.846,"G",58.059,"Class2",74.523
"J",79,20,47.016,68,37.62,89.186,62.893,"Z",21.82,"Class1",67.144
"F",71,71,61.833,66,71.494,90.095,56.755,"C",26.928,"Class1",80.944
"M",80,47,24.426,57,41.076,72.501,62.165,"C",26.991,"Class1",81.923
"B",60,12,61.017,87,50.333,11.816,10.925,"Y",50.316,"Class4",12.445
"W",76,48,94.079,91,66.638,53.928,66.467,"R",8.32,"Class3",81.862
"X",63,30,37.2,70,57.112,6.383,10.123,"V",64.528,"Class4",19.195
"I",57,39,88.323,90,87.533,71.675,46.529,"K",7.342,"Class3",83.559
"A",42,48,85.238,91,36.72,87.365,54.183,"R",12.107,"Class3",55.611
"F",72,8,52.305,77,50.41,72.814,67.945,"F",32.124,"Class1",83.153
"F",71,91,18.315,56,60.581,62.85,58.734,"Z",30.826,"Class1",71.698
"N",62,5,45.239,73,50.266,13.873,19.334,"H",46.181,"Class4",10.181
"I",59,33,75.047,36,49.553,33.527,NA,"U",60.685,"Class2",57.578
"O",75,62,38.098,NA,52.496,20.549,67.019,"G",56.95,"Class2",54.97
"V",76,45,84.47,90,53.381,64.489,35.841,"G",11.216,"Class3",65.573
"J",76,44,46.082,70,42.395,84.813,69.369,"F",19.886,"Class1",75.065
"T",66,74,68.525,21,44.096,9.337,67.682,"G",63.114,"Class2",73.659
"A",43,36,87.589,NA,37.75,58.777,66.925,"R",12.779,"Class3",79.613
"M",61,44,36.665,71,55.525,9.22,1.409,"S",12.683,"Class4",16.476
"Y",48,41,80.919,90,72.599,60.91,66.181,"G",3.446,"Class3",80.84
"F",75,20,54.637,63,68.103,84.307,64.863,"F",28.578,"Class1",79.072
"I",16,42,88.05,91,82.061,80.781,41.601,"R",3.937,"Class3",43.432
"A",74,41,88.607,91,73.056,72.349,52.621,"N",7.197,"Class3",41.78
"Z",62,29,62.261,79,50.166,6.857,18.65,"H",47.422,"Class4",17.411
"T",45,67,100.176,26,29.556,45.537,68.591,"V",37.716,"Class2",38.899
"E",79,64,45.231,21,59.274,23.62,76.691,"G",49.745,"Class2",35.611
"M",77,18,22.201,69,52.809,79.29,54.373,"F",24.964,"Class1",60.518
"W",24,40,95.9,92,56.391,65.64,43.799,"N",11.304,"Class3",53.11
"M",76,73,27.795,92,59.733,91.237,53.457,"V",20.29,"Class1",84.242
"I",51,38,92.576,92,83.098,87.736,62.86,"O",7.152,"Class3",58.268
"W",71,46,12.244,74,41.48,72.89,57.242,"F",25.321,"Class1",61.778
"A",47,55,42.608,23,38.027,23.561,64.625,"U",34.275,"Class2",38.767
"I",36,40,92.277,91,64.853,69.446,68.363,"R",6.497,"Class3",73.064
"I",32,47,97.661,91,80.842,79.997,44.469,"O",10.959,"Class3",41.807
"O",75,59,24.647,27,68.713,15.497,59.88,"C",51.906,"Class2",71.054
"T",54,82,24.679,35,53.633,34.616,76.856,"H",51.445,"Class2",73.877
"M",77,53,44.002,60,75.554,64.521,59.217,"Z",34.345,"Class1",53.828
"I",50,33,44.959,20,49.007,20.509,71.333,"G",70.293,"Class2",70.959
"Z",62,14,22.641,74,55.225,13.773,9.988,"H",31.781,"Class4",12.451
"W",66,44,88.616,91,43.856,80.596,36.486,"R",15.613,"Class3",47.09
"N",61,10,41.852,80,53.061,14.017,NA,"S",40.287,"Class4",11.814
"X",61,9,43.45,73,47.582,11.599,NA,"S",68.297,"Class4",13.153
"X",63,17,46.315,72,47.229,8.063,13.048,"H",25.812,"Class4",11.236
"I",40,42,90.451,91,50.632,73.686,43.997,"R",3.271,"Class3",79.736
"A",46,72,12.592,30,55.227,48.645,68.025,"H",57.084,"Class2",44.691
"V",56,44,96.419,91,68.547,65.179,58.395,"G",7.221,"Class3",34.168
"A",73,73,39.737,36,47.666,22.05,63.371,"U",69.134,"Class2",39.163
"I",76,45,88.177,92,87.942,58.509,65.956,"O",5.195,"Class3",54.359
"W",73,39,37.548,92,48.72,87.918,50.808,"C",27.298,"Class1",60.398
"Z",63,31,69.115,88,52.175,11.43,12.951,"P",77.592,"Class4",19.191
"W",33,44,90.544,92,37.722,80.618,58.304,"O",10.186,"Class3",58.885
"A",32,44,83.333,91,52.262,80.858,41.608,"O",7.533,"Class3",60.543
"O",59,26,14.685,20,57.019,49.606,68.719,"V",44.308,"Class2",64.455
"V",52,44,92.637,91,65.522,52.857,50.938,"G",6.542,"Class3",73.175
"V",80,46,89.378,91,60.723,82.977,47.927,"G",5.35,"Class3",52.226
"B",62,28,29.533,81,47.965,9.141,12.585,"S",68.535,"Class4",14.258
"W",74,17,53.202,54,68.831,74.463,56.465,"C",19.742,"Class1",53.531
"B",61,16,44.775,69,57.715,5.813,22.758,"S",73.047,"Class4",15.493
"A",66,40,92.187,91,87.456,85.414,61.92,"G",6.716,"Class3",83.168
"G",75,75,34.713,69,74.916,69.569,57.098,"V",26.863,"Class1",56.18
"V",61,35,89.193,90,39.216,55.731,68.998,"O",5.203,"Class3",84.38
"I",60,43,29.625,29,49.048,28.367,71.488,"U",61.518,"Class2",71.907
"M",79,47,44.931,72,78.754,87.329,58.844,"F",19.15,"Class1",79.976
"V",82,38,108.157,91,50.685,87.702,67.299,"N",3.256,"Class3",73.031
"E",53,49,75.759,19,68.087,22.337,75.247,"C",68.357,"Class2",40.919
"I",37,38,103.001,91,91.271,91.912,21.881,"N",10.41,"Class3",73.387
"M",74,27,71.151,55,49.232,82.479,53.817,"C",29.098,"Class1",72.199
"I",48,69,68.304,34,33.484,10.458,NA,"V",58.509,"Class2",60.067
"W",19,46,83.549,91,62.18,76.231,57.239,"K",5.069,"Class3",58.399
"I",62,41,95.517,90,59.767,79.807,119.59,"N",8.601,"Class3",44.252
"I",59,66,22.173,22,58.848,27.718,70.72,"U",40.009,"Class2",71.122
"F",72,48,115.134,80,38.154,73.634,69.836,"H",18.798,"Class1",60.345
"E",65,56,115.913,30,49.202,37.259,79.828,"H",70.894,"Class2",66.771
"J",77,63,82.801,76,56.479,69.451,56.611,"Z",24.776,"Class1",86.13
"Z",60,44,17.686,81,50.401,6.623,NA,"P",42.613,"Class4",17.679
"W",76,61,6.978,76,75.158,65.54,64.273,"H",25.489,"Class1",82.504
"W",70,58,29.813,88,37.43,85.717,61.334,"V",27.402,"Class1",87.502
"V",60,47,89.336,91,51.562,71.45,35.353,"K",6.847,"Class3",63.898
"T",72,75,38.312,20,54.015,41.57,71.265,"H",34.513,"Class2",50.261
"I",49,73,3.269,24,54.778,44.645,75.898,"V",65.858,"Class2",61.125
"F",79,49,40.819,79,53.334,64.097,52.051,"F",21.921,"Class1",58.234
"N",63,7,54.359,68,58.204,11.644,14.135,"S",38.159,"Class4",13.123
"V",71,42,97.88,90,50.162,53.423,71.373,"O",8.198,"Class3",81.728
"V",56,48,82.347,91,60.7,68.419,49.647,"K",4.806,"Class3",82.584
"G",79,86,45.647,77,40.781,68.093,64.14,"C",22.55,"Class1",74.393
"B",60,12,58.458,72,56.495,14.643,7.366,"H",67.856,"Class4",15.916
"N",63,35,41.287,NA,49.588,10.646,0.669,"H",48.27,"Class4",8.213
"B",61,40,49.989,88,51.588,14.33,10.104,"V",66.076,"Class4",14.09
"G",70,21,47.796,72,51.503,67.414,63.518,"C",23.982,"Class1",81.889
"W",79,66,72.179,92,43.791,74.395,54.693,"F",30.54,"Class1",55.698
"J",72,79,52.361,83,61.868,84.838,55.78,"H",23.199,"Class1",84.71
"Z",60,33,45.623,75,52.787,5.281,6.804,"P",26.426,"Class4",13.106
"M",63,27,41.955,87,51.628,5.286,12.117,"S",107.133,"Class4",15.7
"Z",60,28,41.048,65,56.332,6.697,13.351,"S",36.972,"Class4",12.767
"I",65,66,27.244,33,31.947,35.786,73.161,"C",49.738,"Class2",52.883
"W",17,43,90.231,90,59.601,57.519,43.212,"N",12.697,"Class3",75.134
"V",50,47,90.408,91,45.879,71.326,53.72,"N",8.04,"Class3",60.054
"A",59,46,90.207,90,60.148,91.507,40.755,"K",3.865,"Class3",38.137
"W",23,47,106.455,91,75.474,59.167,84.848,"K",3.52,"Class3",66.155
"I",65,47,4.565,38,28.038,11.702,71.757,"H",45.205,"Class2",75.048
"W",72,19,34.727,78,44.484,91.62,61.52,"V",22.989,"Class1",87.91
"M",76,8,25.685,81,43.086,84.025,61.955,"F",23.075,"Class1",61.136
"N",61,9,52.018,84,51.477,11.22,8.649,"H",82.052,"Class4",14.488
"X",60,41,24.038,79,51.226,14.24,15.289,"Y",44.506,"Class4",19.563
"O",60,27,78.004,30,55.96,32.005,71.548,"H",74.97,"Class2",38.366
"N",62,31,40.5,77,57.81,8.248,7.86,"Y",28.82,"Class4",15.451
"T",61,70,31.028,NA,44.448,39.381,68.998,"V",78.129,"Class2",44.301
"A",16,40,94.282,92,58.297,55.923,41.258,"G",4.813,"Class3",60.17
"M",63,21,43.272,80,56.516,11.994,11.443,"H",67.173,"Class4",11.931
"I",18,41,97.708,91,64.302,59.658,60.902,"R",5.217,"Class3",83.595
"B",62,42,42.374,86,49.037,7.869,NA,"S",39.637,"Class4",14.782
"W",23,42,87.611,NA,85.243,85.845,NA,"R",8.819,"Class3",84.122
"O",64,55,40.26,27,48.263,20.811,74.852,"U",90.878,"Class2",61.711
"I",58,42,90.658,91,62.053,70.633,55.968,"N",15.682,"Class3",78.276
"A",71,38,90.706,91,91.34,72.748,59.323,"R",9.598,"Class3",36.572
"V",15,38,91.003,91,89.224,89.006,74.27,"O",8.65,"Class3",51.137
"W",52,37,81.722,91,90.261,69.745,61.401,"R",11.252,"Class3",33.143
"I",53,48,91.419,92,39.974,53.735,78.586,"O",9.657,"Class3",37.893
"A",49,38,86.676,91,64.671,59.618,42.594,"G",7.423,"Class3",53.682
"T",47,69,62.883,34,28.76,7.999,69.563,"U",66.974,"Class2",32.803
"T",57,33,81.243,29,32.283,17.61,82.479,"C",66.098,"Class2",51.151
"N",61,22,32.172,70,48.063,8.547,6.322,"S",37.248,"Class4",14.829
"A",63,39,31.866,23,62.919,22.321,71.412,"C",50.728,"Class2",68.068
"F",72,24,59.55,64,52.665,62.864,56.156,"H",20.241,"Class1",54.331
"B",61,37,67.213,71,55.495,5.975,4.294,"P",-0.39,"Class4",16.821
"E",57,60,25.622,33,63.968,39.892,NA,"U",49.693,"Class2",74.424
"J",72,25,49.115,65,38.962,71.676,54.5,"F",21.405,"Class1",69.177
"G",74,44,-7.697,NA,84.124,66.389,64.652,"Z",29.343,"Class1",70.468
"I",50,58,23.297,23,67.137,18.215,NA,"U",58.499,"Class2",76.193
"I",62,25,46.485,38,30.027,37.139,78.995,"H",74.773,"Class2",70.473
"V",30,37,97.164,91,69.424,88.093,32.746,"O",3.383,"Class3",34.737
"W",79,71,29.458,68,55.257,88.635,60.241,"F",16.509,"Class1",53.21
"F",73,14,52.194,78,54.536,62.793,54.755,"F",20.393,"Class1",78.939
"J",73,67,15.677,56,54.634,85.8,56.997,"Z",27.229,"Class1",61.909
"I",61,47,93.497,91,76.771,83.734,70.366,"N",12.28,"Class3",77.474
"I",23,45,95.496,90,42.779,82.083,45.642,"G",9.393,"Class3",80.064
"F",80,17,-2.626,80,72.33,87.902,65.065,"F",23.045,"Class1",83.23
"A",77,40,87.719,91,71.334,90.943,50.433,"R",11.71,"Class3",71.253
"J",78,34,72.858,69,57.106,78.462,52.435,"F",21.752,"Class1",57.622
"X",62,33,33.815,NA,50.418,6.906,13.005,"Y",28.88,"Class4",8.476
"I",48,43,90.455,92,77.449,56.879,40.981,"G",2.255,"Class3",58.725
"E",57,49,117.623,24,44.91,10.932,72.868,"H",60.765,"Class2",37.228
"J",79,81,10.06,75,70.975,74.323,67.486,"Z",25.322,"Class1",54.696
"X",63,10,68.094,88,56.988,14.878,17.406,"Y",21.57,"Class4",16.767
"M",63,35,36.586,88,50.008,8.505,5.671,"P",31.297,"Class4",19.14
"Y",33,40,90.947,91,37.824,90.379,59.182,"G",11.364,"Class3",59.336
"I",52,72,24.401,20,55.454,47.98,67.511,"H",56.039,"Class2",39.188
"W",72,29,28.04,89,73.787,83.045,58.013,"C",21.875,"Class1",80.96
"J",78,34,24.448,89,39.767,66.22,62.229,"Z",24.952,"Class1",70.059
"I",71,46,84.958,91,75.933,79.616,48.57,"R",10.515,"Class3",55.286
"O",72,62,60.696,NA,33.393,14.146,67.196,"U",57.331,"Class2",39.424
"W",67,47,77.022,90,63.858,75.929,50.63,"K",7.546,"Class3",71.173
"Z",63,18,43.398,65,57.522,5.009,NA,"Y",22.672,"Class4",19.497
"A",70,34,21.117,34,48.079,31.606,71.22,"C",59.963,"Class2",69.401
"X",62,37,30.768,80,52.951,9.443,7.358,"H",66.679,"Class4",18.171
"B",63,17,64.139,86,48.078,10.966,19.283,"S",16.945,"Class4",17.217
"V",59,38,86.093,92,55.872,70.405,43.917,"G",1.625,"Class3",51.162
"N",61,12,16.663,82,53.308,10.939,13.51,"H",24.456,"Class4",10.81
"T",67,41,37.925,29,34.044,40.298,72.317,"H",46.175,"Class2",47.434
"E",61,71,32.523,22,31.389,29.806,72.55,"G",67.167,"Class2",37.075
"O",56,71,14.794,33,24.462,26.012,74.784,"C",60.296,"Class2",61.285
