"F1","F2","F3","Output31","F4","F5","F6","F7","F8","F9","F10","F11"
"S",56.373,76.474,"Class2",64,26,38.208,50.067,"Y",29.365,47.302,38
"S",66.078,20.068,"Class2",82,40,40.468,49.82,"A",70.709,45.156,43
"Z",42.991,71.492,"Class1",64,61,40.021,2.552,"M",44.109,88.436,8
"G",30.458,64.966,"Class1",64,36,60.036,9.27,"C",87.937,38.73,5
"X",49.197,88.72,"Class1",67,35,29.244,9.82,"Z",75.023,35.105,29
"S",24.979,65.35,"Class2",49,52,52.677,62.671,"Z",NA,43.846,42
"A",51.01,80.319,"Class2",36,49,80.778,48.958,"M",36.747,46.392,39
"X",41.573,70.19,"Class1",64,45,18.09,0.425,"X",43.132,69.09,NA
"J",67.019,85.192,"Class2",84,50,84.319,56.312,"A",29.07,45.05,42
"G",44.913,71.804,"Class1",65,79,60.302,8.081,"C",73.325,51.636,16
"H",51.689,67.773,"Class1",69,47,29.262,9.268,"M",81.464,73.978,NA
"J",36.091,58.755,"Class2",83,23,57.219,62.152,"Y",24.731,47.676,40
"R",35.364,70.912,"Class1",66,57,26.203,3.93,"Z",73.859,62.659,19
"J",32.233,77.57,"Class2",60,16,37.084,53.101,"Y",38.433,47.052,36
"A",37.43,66.217,"Class2",73,48,20.354,61.53,"R",64.29,47.091,42
"S",50.548,90.05,"Class2",27,29,45.255,59.537,"R",20.837,48.692,38
"R",47.783,72.368,"Class1",68,26,45.149,6.136,"X",54.699,87.802,29
"U",38.138,58.523,"Class2",42,24,48.747,49.378,"R",74.253,39.292,39
"R",52.717,82.13,"Class1",69,79,15.364,0.122,"C",82.523,36.927,16
"G",47.725,65.934,"Class1",65,85,10.885,3.115,"M",60.264,49.515,36
"H",55.39,69.765,"Class1",67,56,42.171,8.876,"R",82.582,85.481,31
"A",65.795,68.715,"Class2",59,41,73.587,61.307,"R",40.661,42.727,41
"G",49.602,63.077,"Class1",65,76,59.525,8.601,"Z",74.817,78.97,13
"Z",49.05,65.86,"Class1",70,32,24.99,7.33,"M",90.603,32.652,9
"S",87.619,22.948,"Class2",74,16,62.037,60.928,"M",53.184,47.357,NA
"F",68.926,37.806,"Class2",69,43,81.479,55.925,"R",20.206,40.934,37
"F",5.295,94.565,"Class2",49,48,91.809,59.242,"M",12.081,48.729,42
"X",42.678,60.003,"Class1",64,59,16.783,4.951,"C",71.053,53.557,3
"F",78.627,40.886,"Class2",41,51,67.921,49.878,"A",39.089,47.336,40
"G",51.066,61.459,"Class1",69,27,60.17,4.142,"C",72.459,84.921,36
"X",47.608,70.602,"Class1",67,43,35.154,6.721,"C",63.613,71.705,16
"S",26.673,71.596,"Class2",78,52,64.304,61.429,"R",77.902,40.89,40
"G",37.275,74.76,"Class1",63,69,53.06,8.967,"X",93.922,48.335,NA
"G",68.712,82.706,"Class1",66,30,56.451,0.011,"R",13.138,75.827,28
"H",62.617,54.426,"Class1",66,41,37.629,8.833,"M",82.506,46.351,37
"H",55.327,67.91,"Class1",69,85,48.486,9.926,"M",59.68,84.036,13
"X",48.519,80.895,"Class1",63,80,56.655,8.114,"C",73.669,51.556,21
"F",48.424,65.535,"Class2",82,37,42.203,61.203,"R",44.803,39.025,39
"Z",40.41,82.566,"Class1",70,51,46.346,2.614,"M",52.188,79.429,21
"U",38.48,68.368,"Class2",58,51,25.006,60.117,"A",32.402,42.56,36
"S",52.653,96.77,"Class2",52,17,32.364,50.114,"A",63.956,39.033,40
"A",55.691,79.076,"Class2",69,51,52.145,59.563,"Y",78.622,41.387,39
"S",50.396,77.99,"Class2",49,50,68.888,61.847,"Z",9.118,48.779,40
"F",38.309,96.245,"Class2",63,28,85.5,60.371,"Z",8.729,46.537,38
"Z",28.538,74.872,"Class1",65,85,54.839,0.246,"Z",67.95,48.753,13
"R",62.857,66.384,"Class1",67,76,52.126,9.58,"R",79.112,80.996,NA
"A",62.128,59.056,"Class2",76,46,33.344,58.406,"Z",63.027,45.97,39
"Z",69.509,78.47,"Class1",63,74,19.771,9.507,"C",75.762,39.958,13
"S",44.073,30.649,"Class2",80,40,61.842,50.68,"A",44.688,40.694,37
"J",42.674,67.645,"Class2",27,52,82.34,61.396,"Y",92.667,40.184,40
"S",28.685,88.047,"Class2",55,38,19.7,59.629,"A",66.743,38.289,36
"F",33.517,74.634,"Class2",50,53,82.467,61.432,"M",54.289,48.091,43
"H",64.13,77.789,"Class1",65,34,11.915,8.019,"M",80.794,44.948,7
"Z",43.446,68.035,"Class1",67,30,42.378,10.071,"R",71.204,82.853,6
"G",42.424,73.464,"Class1",63,72,46.478,2.294,"X",59.989,62.393,3
"J",35.785,80.523,"Class2",48,37,65.416,48.412,"Z",47.497,44.642,41
"F",60.79,79.185,"Class2",64,30,50.313,54.516,"Y",66.035,46.965,40
"R",45.331,74.56,"Class1",65,62,37.051,10.554,"X",76.56,70.334,17
"H",36.348,84.679,"Class1",70,83,12.279,9.218,"C",75.427,86.048,14
"J",32.445,69.986,"Class2",53,54,55.747,51.351,"M",74.421,48.016,41
"G",53.44,67.272,"Class1",64,76,30.423,1.31,"X",49.082,35.763,8
"R",46.054,74.202,"Class1",63,41,51.812,7.345,"R",75.154,39.204,9
"G",40.003,72.707,"Class1",66,60,15.642,2.378,"C",71.373,77.191,4
"U",77.106,34.221,"Class2",71,51,20.734,52.766,"Y",44.73,38.315,43
"Z",47.868,72.95,"Class1",65,25,22.549,3.489,"R",65.389,64.267,12
"J",41.169,81.57,"Class2",45,27,80.374,48.596,"Y",47.973,44.984,38
"H",41.071,70.835,"Class1",63,24,11.869,9.043,"Z",NA,37.11,35
"R",40.361,60.697,"Class1",67,40,24.857,7.957,"X",84.971,42.517,35
"J",40.415,50.862,"Class2",58,20,23.966,59.53,"Y",54.597,47.291,NA
"G",51.534,69.915,"Class1",65,71,28.622,1.27,"R",60.062,41.805,31
"J",47.131,42.129,"Class2",71,51,41.241,57.328,"Y",25.255,45.904,36
"H",44.765,71.755,"Class1",68,82,37.285,8.123,"M",62.93,64.875,28
"J",43.691,89.448,"Class2",79,40,26.601,62.314,"A",42.139,40.648,39
"G",51.123,58.894,"Class1",63,68,13.316,1.312,"C",81.671,60.63,28
"Z",65.575,62.902,"Class1",69,45,14.839,10.103,"M",71.069,63.34,26
"F",64.862,89.613,"Class2",61,30,36.746,55.339,"Y",64.627,39.659,38
"F",60.005,80.612,"Class2",84,44,53.341,62.722,"A",36.425,44.941,40
"J",71.606,96.32,"Class2",62,36,83.161,51.866,"Z",60.072,44.131,41
"S",45.869,43.221,"Class2",61,54,91.496,59.277,"A",41.885,42.384,36
"F",81.6,70.659,"Class2",40,47,21.343,59.126,"M",-23.196,42.321,38
"A",61.689,33.831,"Class2",67,35,77.651,51.886,"Y",-8.071,40.79,37
"J",85.672,75.483,"Class2",52,27,20.12,57.926,"M",52.756,46.005,43
"S",45.325,74.778,"Class2",45,19,64.626,55.24,"Y",58.35,44.585,43
"H",50.436,75.151,"Class1",69,62,39.551,4.044,"Z",86.995,63.57,13
"G",34.284,73.982,"Class1",67,66,45.541,9.827,"Z",56.788,46.232,24
"G",50.701,68.073,"Class1",67,24,12.464,3.634,"C",81.564,61.117,14
"G",47.367,69.069,"Class1",67,57,43.351,8.958,"M",59.183,88.569,36
"J",40.028,66.089,"Class2",29,48,69.511,60.807,"Y",65.045,48.981,40
"F",56.598,56.416,"Class2",80,25,79.399,60.558,"A",61.012,42.899,43
"X",55.589,70.239,"Class1",66,63,31.366,0.514,"M",62.122,39.931,19
"X",41.125,70.457,"Class1",67,39,45.488,4.323,"Z",59.389,54.802,32
"R",63.137,70.791,"Class1",66,72,57.026,5.53,"R",73.229,83.145,17
"R",45.973,67.675,"Class1",70,64,58.545,10.086,"Z",82.522,79.343,NA
"G",57.5,69.192,"Class1",66,62,41.74,4.644,"M",55.612,74.199,25
"R",37.943,71.248,"Class1",66,64,17.172,2.801,"X",57.627,48.606,36
"U",80.388,83.606,"Class2",55,15,71.901,62.099,"R",9.436,39.711,40
"U",51.373,85.707,"Class2",41,27,49.92,55.545,"A",26.824,45.135,39
"U",96.97,43.649,"Class2",40,19,78.87,62.648,"M",30.667,42.06,36
"F",30.166,62.059,"Class2",44,42,91.826,55.522,"Z",119.988,45.136,43
"G",50.331,67.202,"Class1",70,64,25.392,6.97,"C",68.358,50.796,34
"F",52.142,55.812,"Class2",38,19,39.024,56.668,"M",81.184,41.843,38
"H",42.693,50.031,"Class1",67,68,40.255,5.2,"R",75.905,53.705,16
"U",58.265,100.474,"Class2",33,46,43.138,56.057,"A",75.074,38.983,42
"X",47.33,66.886,"Class1",67,31,53.072,10.767,"M",97.473,89.415,27
"A",33.76,53.484,"Class2",46,31,94.294,59.372,"Z",44.765,41.008,36
"X",41.06,72.997,"Class1",67,66,23.248,0.163,"Z",NA,49.856,14
"G",43.383,67.343,"Class1",64,60,55.032,7.669,"R",64.485,39.176,14
"R",58.39,84.865,"Class1",64,51,41.154,6.09,"Z",62.53,86.189,4
"J",80.005,87.534,"Class2",79,28,90.315,62.956,"M",14.407,47.96,36
"X",47.481,59.855,"Class1",63,40,21.767,2.652,"C",75.367,44.6,36
"A",70.549,75.091,"Class2",38,50,64.035,60.001,"Z",NA,43.33,40
"U",47.356,59.618,"Class2",71,16,77.497,55.062,"Y",-3.132,42.758,43
"Z",47.287,60.385,"Class1",70,35,22.363,9.144,"R",54.475,48.266,10
"H",60.57,83.163,"Class1",67,75,56.921,0.875,"Z",80.944,82.337,4
"U",44.159,51.098,"Class2",77,21,91.267,62.949,"Y",70.282,38.678,41
"X",44.392,71.599,"Class1",66,42,32.4,2.944,"C",65.737,58.556,22
"X",36,75.748,"Class1",68,75,13.734,7.435,"Z",66.8,72.887,17
"A",55.851,54.436,"Class2",66,52,35.093,49.757,"R",47.751,42.875,39
"G",62.439,52.61,"Class1",64,75,33.387,6.829,"R",58.787,48.975,NA
"F",57.085,67.862,"Class2",38,26,78.691,57.895,"R",16.626,45.662,38
"U",73.691,81.74,"Class2",60,43,55.344,50.856,"R",80.656,40.096,38
"G",44.566,59.573,"Class1",66,40,14.015,9.491,"C",65.055,37.286,6
"H",51.698,69.991,"Class1",69,75,36.423,8.816,"C",73.59,36.302,9
"Z",45.374,70.97,"Class1",64,38,39.024,2.312,"X",65.722,39.754,14
"S",45.943,104.936,"Class2",57,30,75.765,51.567,"A",57.46,42.278,39
"S",43.524,43.825,"Class2",32,27,33.523,55.494,"Z",52.267,44.821,42
"A",62.585,70.243,"Class2",52,52,19.956,57.88,"M",37.381,40.192,37
"H",42.574,63.823,"Class1",69,56,29.024,6.148,"M",62.196,43.259,34
"R",35.703,49.189,"Class1",64,82,51.014,3.819,"C",54.1,43.511,18
"X",61.538,84.73,"Class1",64,60,40.882,5.032,"Z",32.632,67.558,8
"X",51.218,53.669,"Class1",66,31,33.961,3.709,"X",NA,84.31,21
"G",53.605,81.231,"Class1",63,25,17.706,4.606,"R",85.874,47.842,7
"U",37.301,87.235,"Class2",83,16,41.886,61.998,"A",43.954,47.745,39
"F",61.349,67.216,"Class2",76,50,79.033,57.295,"Y",43.884,43.786,38
"U",68.105,79.012,"Class2",49,31,32.01,50.113,"R",57.244,47.034,38
"H",51.162,72.922,"Class1",68,48,32.614,2.496,"R",72.824,73.256,27
"J",62.276,80.614,"Class2",42,51,56.069,53.404,"A",64.458,38.31,36
"J",67.659,49.244,"Class2",30,39,58.637,55.021,"Z",59.847,43.293,38
"G",51.932,69.7,"Class1",65,33,10.076,1.77,"R",69.695,58.217,15
"J",48.391,58.66,"Class2",36,22,78.122,60.31,"A",NA,46.586,42
"G",69.502,65.104,"Class1",65,27,22.323,4.02,"C",73.173,33.213,8
"A",42.776,61.281,"Class2",67,33,58.759,62.157,"R",91.341,46.482,42
"F",59.395,57.769,"Class2",42,23,93.414,57.913,"M",72.246,44.705,43
"X",49.109,73.679,"Class1",69,34,32.777,0.942,"Z",65.628,62.049,NA
"J",21.029,71.594,"Class2",40,34,20.449,62.542,"A",66.03,44.667,36
"R",52.505,57.008,"Class1",63,42,28.471,4.372,"Z",91.026,40.785,23
"G",52.192,77.157,"Class1",68,77,47.342,5.477,"M",70.926,75.304,20
"F",39.248,66.487,"Class2",43,49,42.572,58.166,"M",67.374,47.439,41
"F",39.99,98.841,"Class2",60,35,19.165,56.976,"Z",113.297,44.082,40
"F",62.275,37.073,"Class2",67,47,60.999,48.817,"A",44.479,46.817,NA
"J",73.042,55.972,"Class2",28,19,19.493,53.698,"A",55.223,42.533,38
"A",47.638,54.48,"Class2",67,25,50.262,49.388,"Y",NA,48.762,NA
"H",48.917,75.256,"Class1",65,36,37.503,0.24,"Z",NA,51.271,19
"F",19.93,62.599,"Class2",56,42,47.018,52.734,"Z",77.167,48.003,40
"S",90.345,12.677,"Class2",47,21,89.314,61.302,"R",43.664,42.735,42
"S",23.889,42.539,"Class2",47,39,42.127,62.005,"A",NA,48.152,NA
"H",53.994,78.99,"Class1",66,54,55.804,8.78,"Z",82.277,60.308,15
"H",41.859,71.684,"Class1",66,52,49.614,7.888,"M",71.145,65.238,NA
"Z",48.274,78.59,"Class1",70,68,46.226,4.33,"C",66.439,66.131,16
"H",42.626,77.24,"Class1",70,49,13.493,8.218,"X",83.117,75.273,19
"F",37.792,112.121,"Class2",79,32,72.373,50.232,"Z",13.448,41.372,40
"J",55.83,50.294,"Class2",81,43,31.637,58.673,"Z",109.922,46.742,36
"R",35.693,61,"Class1",67,77,35.494,4.74,"R",45.149,62.097,18
"G",42.728,66.312,"Class1",70,80,37.06,5.824,"R",66.914,53.708,6
"J",70.797,48.488,"Class2",29,15,29.606,54.188,"R",24.459,38.733,37
"J",86.627,74.259,"Class2",69,42,47.592,48.251,"Z",59.661,39.012,42
"G",39.708,76.003,"Class1",70,26,30.571,6.038,"C",62.146,35.204,37
"A",25.679,51.526,"Class2",69,21,39.064,52.273,"Z",30.983,42.226,39
"U",25.508,46.508,"Class2",71,40,48.155,52.48,"Z",35.453,46.094,43
"Z",55.861,69.869,"Class1",63,37,59.61,2.291,"Z",60.065,43.417,35
"A",27.819,41.364,"Class2",83,31,94.245,49.479,"Z",82.413,40.976,40
"G",61.107,70.549,"Class1",65,45,35.392,3.032,"C",79.084,69.328,NA
"F",59.063,78.403,"Class2",35,26,28.248,60.234,"Y",60.626,41.264,41
"A",33.335,57.438,"Class2",68,20,79.331,51.028,"M",57.358,43.144,40
"G",38.783,69.805,"Class1",69,69,53.422,3.263,"Z",62.62,58.741,18
"H",47.905,53.173,"Class1",63,83,12.257,10.24,"M",83.414,43.717,33
"J",61.826,14.846,"Class2",53,34,21.725,62.447,"Z",56.55,38.684,40
"A",35.69,100.358,"Class2",54,41,66.869,61.101,"A",66.723,45.359,41
"S",51.895,26.225,"Class2",62,52,75.264,60.464,"A",51.997,42.521,38
"A",39.878,76.551,"Class2",73,35,28.765,60.635,"Y",NA,40.383,43
"H",53.446,65.694,"Class1",70,69,27.478,10.58,"M",NA,63.325,5
"J",49.237,100.864,"Class2",60,36,30.895,58.602,"R",22.021,42.812,38
"F",44.802,55.614,"Class2",30,15,74.657,52.731,"A",37.671,41.667,41
"U",48.332,46.236,"Class2",58,23,93.977,55.363,"R",36.759,45.105,36
"S",71.071,74.952,"Class2",72,51,73.84,58.108,"Y",46.008,47.022,38
"G",34.703,60.911,"Class1",70,29,18.489,0.265,"X",80.78,55.484,9
"H",44.833,64.568,"Class1",63,84,57.229,10.88,"C",58.398,39.747,29
"R",51.473,66.729,"Class1",65,48,15.514,7.437,"X",77.499,58.552,19
"J",57.196,44.312,"Class2",59,39,46.985,53.426,"A",66.981,42.325,38
"H",46.779,75.299,"Class1",69,55,26.915,4.103,"C",63.087,37.478,14
"G",48.458,55.977,"Class1",63,67,28.958,3.288,"R",72.635,35.927,15
"A",65.88,42.757,"Class2",67,32,54.563,54.713,"M",14.913,43.805,42
"R",54.763,65.682,"Class1",65,25,17.857,5.074,"M",47.616,81.777,37
"J",47.945,-5.538,"Class2",75,50,27.962,56.115,"Y",28.763,40.28,36
"G",44.553,75.643,"Class1",68,53,52.795,4.768,"M",73.862,54.6,31
"A",40.998,79.577,"Class2",69,35,50.379,59.249,"Z",33.901,45.662,38
"F",49.695,81.521,"Class2",31,46,93.687,58.17,"A",59.108,43.53,39
"F",20.009,32.767,"Class2",30,34,57.711,57.408,"A",NA,45.136,39
"U",52.36,51.592,"Class2",38,41,82.89,61.272,"M",28.636,38.628,37
"J",103.321,49.615,"Class2",66,51,28.934,53.086,"M",49.805,39.657,43
"X",47.579,67.499,"Class1",63,36,39.512,1.031,"X",70.772,81.252,14
"R",42.389,71.382,"Class1",65,65,23.227,3.968,"C",78.331,83.729,22
"G",63.792,65.826,"Class1",65,34,57.631,7.872,"X",82.341,82.381,29
"J",64.774,63.209,"Class2",48,26,78.321,57.262,"Z",11.177,41.596,38
"X",59.071,56.262,"Class1",65,66,14.053,0.174,"R",107.549,80.606,27
"H",65.278,53.322,"Class1",66,33,54.735,9.495,"M",56.797,83.098,8
"S",77.444,58.637,"Class2",66,23,84.826,59.595,"M",33.703,47.378,NA
"U",38.258,39.739,"Class2",70,53,33.897,50.371,"R",50.078,47.557,39
"S",36.421,70.791,"Class2",80,16,88.385,57.447,"A",61.412,43.27,36
"S",37.242,49.683,"Class2",74,34,42.21,59.102,"Z",80.209,42.034,36
"F",95.583,75.605,"Class2",57,21,85.86,58.074,"M",64.35,42.756,42
"R",49.289,61.713,"Class1",63,33,46.036,2.972,"C",74.06,82.241,15
"Z",47.798,61.893,"Class1",65,76,15.811,9.725,"M",83.309,67.478,8
"A",56.015,54.624,"Class2",67,38,74.101,62.718,"A",48.474,40.306,41
"R",50.738,61.34,"Class1",63,73,55.544,0.377,"X",56.785,49.641,24
"G",55.469,70.348,"Class1",68,61,31.71,7.93,"C",42.965,79.364,6
"J",75.361,79.102,"Class2",64,19,81.062,50.607,"Z",14.086,48.141,39
"H",26.123,71.957,"Class1",64,49,52.651,1.824,"M",70.643,46.176,4
"J",51.302,41.12,"Class2",80,36,79.565,56.988,"Z",43.526,43.47,43
"S",63.711,36.193,"Class2",82,32,47.3,54.512,"Y",31.399,40.31,43
"S",32.502,94.691,"Class2",31,34,45.892,49.679,"Z",38.215,42.672,43
"H",47.942,55.025,"Class1",66,33,18.609,0.537,"X",72.491,73.521,14
"U",46.535,82.857,"Class2",47,51,53.39,51.182,"Z",84.518,47.837,38
"J",52.942,74.507,"Class2",27,29,29.154,56.837,"Y",58.74,38.992,36
"G",55.455,73.12,"Class1",64,45,42.001,10.321,"R",59.244,76.939,7
"A",74.533,102.656,"Class2",77,51,42.956,50.748,"Y",19.022,41.951,37
"A",18.968,75.255,"Class2",61,24,24.689,61.519,"M",51.874,40.229,41
"X",28.522,55.659,"Class1",63,29,33.211,6.926,"C",84.789,41.362,7
"X",34.212,78.411,"Class1",66,72,49.502,7.691,"C",93.733,79.222,2
"X",31.071,74.73,"Class1",63,69,50.581,6.444,"Z",71.081,38.957,31
"H",46.074,70.553,"Class1",69,48,29.972,6.775,"Z",72.788,43.348,14
"U",79.698,22.435,"Class2",49,38,22.959,51.411,"M",15.865,40.623,NA
"G",59.566,69.624,"Class1",69,75,47.009,0.224,"Z",77.165,63.947,29
"J",75.705,82.058,"Class2",60,17,57.714,60.836,"R",54.957,45.804,39
"Z",48.892,66.659,"Class1",65,36,46.762,1.179,"X",65.736,75.475,5
"A",76.069,46.758,"Class2",57,46,59.025,55.766,"Z",66.112,40.94,37
"G",69.428,65.042,"Class1",65,66,48.657,6.059,"Z",80.691,41.768,32
"A",49.942,74.928,"Class2",31,19,39.487,51.56,"Z",NA,44.161,NA
"A",50.888,75.377,"Class2",76,46,85.154,61.9,"Y",43.962,41.032,38
"G",63.352,57.402,"Class1",69,35,41.406,3.274,"C",85.08,40.333,18
"S",58.923,64.005,"Class2",29,34,70.352,60.026,"R",41.066,44.674,37
"Z",63.061,86.632,"Class1",70,50,33.8,0.259,"Z",62.948,70.845,25
"X",46.174,61.108,"Class1",64,46,54.914,8.146,"M",51.515,58.074,12
"X",50.961,83.335,"Class1",69,28,52.768,5.384,"C",86.597,48.085,NA
"J",52.192,43.636,"Class2",43,36,37.069,48.819,"A",53.76,39.005,37
"A",39.288,94.151,"Class2",31,46,60.849,57.925,"A",78.033,48.092,41
"J",71.915,30.794,"Class2",50,39,37.617,54.007,"Z",67.673,47.129,38
"G",47.126,71.291,"Class1",64,42,10.576,6.82,"R",73.641,41.384,20
"H",40.022,64.138,"Class1",64,37,16.107,9.842,"C",65.287,71.407,2
"R",46.834,82.285,"Class1",67,36,31.81,9.08,"R",87.059,44.647,27
"X",32.056,86.157,"Class1",63,56,50.06,10.893,"Z",87.337,48.798,11
"H",52.469,63.177,"Class1",68,59,34.537,0.484,"M",95.408,72.69,14
"X",55.325,71.534,"Class1",66,68,50.917,3.576,"R",102.079,45.281,16
"X",46.078,72.521,"Class1",67,50,42.387,10.332,"X",73.154,43.784,26
"S",50.97,21.361,"Class2",76,51,72.545,57.387,"M",19.097,46.827,42
"H",50.641,77.771,"Class1",63,49,45.877,5.997,"C",86.908,65.688,32
"R",50.257,72.284,"Class1",66,51,37.034,2.741,"C",83.395,35.967,34
"X",58.202,65.731,"Class1",64,23,17.13,3.767,"R",82.138,42.085,13
"U",55.513,51.726,"Class2",64,48,55.416,56.885,"Y",13.775,47.443,41
"X",55.223,63.234,"Class1",67,67,31.868,2.037,"Z",67.587,35.582,22
"X",53.657,73.775,"Class1",69,74,40.576,4.781,"M",69.174,76.807,33
"S",35.969,74.418,"Class2",47,25,59.483,54.393,"M",NA,44.122,NA
"F",51.2,116.942,"Class2",69,37,30.744,48.724,"M",57.174,38.709,41
"A",60.983,67.04,"Class2",59,46,20.971,50.327,"M",39.801,44.112,40
"F",34.568,78.415,"Class2",76,19,75.02,51.595,"Y",48.602,43.993,39
"G",64.92,59.713,"Class1",67,69,16.023,8.961,"X",59.294,39.15,28
"X",40.462,68.565,"Class1",67,85,19.27,5.513,"C",74.057,78.971,4
"Z",48.876,51.234,"Class1",67,51,50.819,1.715,"X",66.744,36.384,2
"J",59.278,51.514,"Class2",37,21,75.376,58.823,"Y",40.314,41.87,43
"J",11.726,96.903,"Class2",79,53,62.242,54.209,"Y",89.08,46.926,41
"Z",50.098,56.941,"Class1",63,37,10.81,9.287,"C",85.258,59.979,32
"H",47.206,85.332,"Class1",65,34,11.093,10.626,"R",82.381,50.663,37
"F",31.5,37.779,"Class2",76,51,57.99,55.477,"Z",58.111,42.973,NA
"Z",44.914,80.454,"Class1",64,72,43.166,0.375,"Z",72.211,43.533,37
"U",50.233,97.699,"Class2",52,30,80.914,55.343,"M",66.279,44.948,38
"G",44.31,72.656,"Class1",67,85,34.558,3.047,"M",65.413,57.814,7
"G",55.241,82.093,"Class1",68,84,19.975,4.575,"X",70.004,75.723,8
"J",32.219,52.233,"Class2",74,54,78.979,57.558,"Z",23.736,43.257,43
"X",57.458,65.16,"Class1",69,74,30.539,9.974,"R",57.61,62.376,16
"Z",38.033,63.933,"Class1",65,68,40.042,7.513,"X",67.575,80.014,36
"F",72.861,91.341,"Class2",76,15,42.465,57.203,"Z",14.188,42.711,36
"H",49.039,61.848,"Class1",70,48,48.505,1.091,"X",51.439,77.804,11
"X",49.516,60.257,"Class1",65,63,37.253,5.075,"X",78.98,78.947,18
"G",49.006,60.557,"Class1",67,66,57.494,6.752,"C",80.302,44.556,32
"X",37.328,70.597,"Class1",66,65,10.474,4.246,"C",95.881,46.221,36
"A",60.805,18.302,"Class2",30,36,60.805,60.495,"Y",80.578,40.944,NA
"J",69.417,57.978,"Class2",41,37,86.143,61.539,"Z",67.152,41.756,37
"X",39.739,83.593,"Class1",68,50,44.478,9.328,"X",80.851,87.322,5
"U",82.743,92.254,"Class2",83,28,70.612,53.921,"R",41.581,41.389,37
"Z",45.368,84.026,"Class1",63,72,33.797,4.29,"X",40.037,87.054,37
"S",25.371,89.516,"Class2",44,44,21.833,53.679,"Y",96.919,42.168,38
"S",75.569,63.911,"Class2",60,44,52.392,61.806,"A",33.629,38.159,38
"U",46.997,54.919,"Class2",63,27,79.962,59.586,"A",24.845,45.957,40
"A",43.809,78.719,"Class2",65,23,58.452,59.84,"M",81.553,44.95,40
"H",38.677,69.314,"Class1",67,76,42.499,9.578,"C",88.103,41.315,22
"X",42.649,70.235,"Class1",70,32,47.789,9.871,"Z",66.217,82.484,6
"F",64.764,52.84,"Class2",40,45,87.617,55.954,"Z",18.914,47.084,43
"A",51.665,81.316,"Class2",48,24,90.044,52.258,"Z",72.23,48.043,38
"R",51.084,81.017,"Class1",68,33,9.339,3.434,"C",72.573,46.7,3
"X",54.09,77.939,"Class1",70,74,19.146,6.441,"Z",95.032,52.877,37
"G",58.377,66.296,"Class1",64,77,19.272,10.943,"C",59.902,81.515,19
"G",38.889,78.34,"Class1",69,54,26.866,5.183,"Z",69.201,52.645,26
"Z",59.269,92.77,"Class1",63,85,38.076,3.895,"X",74.428,80.192,3
"H",31.709,70.583,"Class1",70,37,34.693,2.338,"C",79.239,43.987,30
"A",42.503,91.412,"Class2",57,29,25.747,51.491,"M",NA,40.782,36
"J",74.729,60.186,"Class2",39,29,88.49,56.941,"M",40.044,41.136,37
"X",40.297,68.714,"Class1",68,56,49.225,1.506,"Z",81.178,68.572,36
"X",53.207,74.938,"Class1",64,69,28.291,3.544,"R",68.512,51.37,29
"X",41.491,69.181,"Class1",64,72,47.044,8.242,"R",60.414,50.701,23
"R",55.86,65.65,"Class1",65,42,54.905,3.111,"C",82.012,83.285,5
"G",43.895,74.74,"Class1",64,24,25.36,3.23,"M",68.865,41.811,29
"A",88.586,55.46,"Class2",46,25,52.217,62.461,"Y",66.94,39.573,36
"R",44.6,82.311,"Class1",65,39,59.828,1.871,"M",72.089,54.908,24
"G",66.263,78.895,"Class1",65,84,44.878,4.827,"Z",94.335,82.953,22
"R",50.337,75.016,"Class1",68,59,51.564,7.612,"M",73.905,88.363,28
"J",72.432,61.557,"Class2",42,31,84.689,53.303,"Z",59.934,39.471,37
"R",40.741,75.729,"Class1",67,83,24.424,2.135,"X",62.276,73.824,14
"F",27.779,75.539,"Class2",41,34,85.008,53.165,"M",-2.309,45.926,38
"F",13.135,33.116,"Class2",53,35,41.931,62.036,"Y",18.036,48.813,38
"Z",42.959,60.012,"Class1",66,73,20.566,4.11,"Z",77.969,81.088,4
"F",52.099,65.499,"Class2",46,25,88.784,56.822,"A",103.663,48.559,42
"S",40.26,77.187,"Class2",80,51,81.741,54.472,"M",52.439,40.44,42
"J",48.926,82.736,"Class2",37,47,32.493,57.429,"Y",76.797,39.385,38
"Z",33.559,74.177,"Class1",66,60,58.756,9.743,"Z",86.281,49.175,25
"S",45.906,67.929,"Class2",64,39,31.61,50.492,"M",36.613,46.694,43
"G",49.799,67.17,"Class1",68,45,40.676,9.424,"Z",62.081,52.901,3
"U",68.133,70.972,"Class2",60,33,23.242,55.949,"Y",57.291,39.198,40
"S",61.952,75.882,"Class2",49,24,33.254,59.087,"R",14.688,46.411,38
