"S1","S2","S3","S4","Output18","S5","S6","S7","S8","S9","S10","S11"
46,56.476,55.105,50,"Class3",28,95.72,7.304,"O","H",67.713,37.438
80,74.246,66.155,32,"Class1",48,28.343,36.938,"P","X",52.036,60.746
80,75.275,70.322,9,"Class1",54,33.087,31.813,"U","G",45.323,44.444
80,77.509,62.98,41,"Class1",46,27.175,21.949,"U","G",57.222,52.462
48,57.271,54.732,49,"Class3",29,93.764,17.785,"N","F",66.672,74.35
40,32.096,24.651,64,"Class2",76,87.243,84.491,"V","C",62.487,81.353
46,57.06,39.563,31,"Class3",29,95.959,1.205,"K","F",67.539,61.357
80,83.639,63.164,27,"Class1",40,28.491,31.025,"N","X",49.959,41.323
43,55.875,37.074,42,"Class3",30,93.653,24.505,"O","F",65.584,54.801
41,55.927,30.893,73,"Class2",8,85.841,60.754,"L","K",65.691,91.988
7,36.03,34.201,63,"Class2",82,76.511,24.875,"C","Y",72.207,42.477
79,81.725,70.158,14,"Class1",44,27.842,10.565,"H","G",58.973,39.624
47,53.239,45.735,38,"Class3",26,96.142,-0.274,"R","O",67.679,54.185
49,55.126,53.841,47,"Class3",28,94.558,15.622,"K","O",67.471,39.553
76,74.77,63.677,16,"Class1",51,32.826,34.681,"H","O",33.806,50.178
46,54.029,59.887,41,"Class3",24,93.446,14.771,"N","H",66.555,66.428
79,80.926,71.46,41,"Class1",53,29.89,16.669,"H","G",23.308,43.461
82,80.173,63.383,29,"Class1",55,30.65,40.535,"U","O",44.966,55.528
47,52.141,49.056,39,"Class3",33,93.928,10.378,"W","H",67.156,88.058
0,84.248,53.448,73,"Class2",63,76.379,83.711,"L","K",74.76,29.711
47,89.04,85.931,71,"Class2",75,79.277,68.199,"I","C",61.636,74.237
24,57.504,51.337,72,"Class2",68,76.533,52.78,"C","J",64.359,79.601
43,56.569,51.551,46,"Class3",19,96.055,8.746,"O","D",66.934,53.597
6,36.184,75.605,64,"Class2",23,90.107,45.398,"I","C",70.553,69.808
76,79.171,72.223,40,"Class1",45,32.274,12.879,"U","X",55.184,40.625
44,53.831,45.977,50,"Class3",24,92.493,17.161,"K","H",67.085,42.047
21,71.384,78.111,68,"Class2",15,49.219,56.424,"F","K",66.657,14.574
49,54.821,56.563,35,"Class3",23,95.009,22.903,"K","O",66.59,26.336
45,56.603,46.28,46,"Class3",29,92.393,30.065,"R","H",66.563,75.141
78,77.359,73.872,45,"Class1",56,31.659,28.072,"F","G",46.016,42.532
14,94.165,59.657,69,"Class2",74,84.016,90.98,"C","R",71.906,92.081
44,53.468,40.64,47,"Class3",21,96.246,10.053,"W","O",68.102,89.876
82,79.187,63.025,13,"Class1",44,26.918,35.246,"P","X",60.077,44.506
44,56.41,39.264,49,"Class3",18,94.178,3.296,"K","O",67.107,72.088
44,51.273,41.705,37,"Class3",31,92.988,12.565,"N","F",65.746,66.54
38,75.699,33.832,63,"Class2",98,81.419,60.191,"I",NA,69.871,54.326
50,51.783,44.005,40,"Class3",27,96.445,-3.207,"W","Q",65.485,83.776
51,53.162,55.299,45,"Class3",20,92.258,15.569,"N","Q",67.357,58.112
48,53.213,56.597,44,"Class3",21,95.81,15.2,"O","F",67.023,44.824
43,53.694,42.676,44,"Class3",18,95.607,15.691,"O","O",67.565,53.917
42,53.923,36.118,30,"Class3",29,97.962,5.506,"K","F",67.072,43.057
0,70.221,69.369,70,"Class2",94,92.233,57.565,"I","J",69.781,34.65
28,39.521,54.636,72,"Class2",90,49.228,45.777,"V","J",62.905,34.844
50,57.5,37.447,36,"Class3",20,94.373,1.737,"O","Q",66.775,41.99
43,52.123,47.579,44,"Class3",18,95.114,4.655,"R","Q",67.086,59.053
24,37.973,52.345,64,"Class2",61,54.74,68.744,"L","R",75.314,6.5
43,49.32,46.662,37,"Class3",29,93.491,8.622,"O","D",68.26,79.772
44,56.341,58.052,44,"Class3",18,95.073,7.921,"R","H",67.842,54.963
80,78.692,70.431,32,"Class1",41,29.966,19.907,"U","J",58.656,48.204
42,51.741,43.5,41,"Class3",19,94.248,14.625,"O","F",67.679,61.448
37,54.62,31.582,65,"Class2",53,75.987,56.262,"C","Y",72.126,27.485
32,77.557,38.071,64,"Class2",27,72.988,68.56,"I","C",78.035,90.832
81,69.533,66.701,45,"Class1",54,28.719,7.129,"P","G",49.461,43.875
78,78.214,62.593,29,"Class1",47,31.577,31.207,"N","G",53.885,59.33
42,91.521,65.943,68,"Class2",38,89.654,67.613,"C","C",74.082,71.726
50,56.065,58.427,42,"Class3",18,95.37,6.907,"K","F",66.424,70.223
20,32.504,38.879,64,"Class2",18,50.056,78.527,"F","J",68.268,48.175
43,52.466,52.391,42,"Class3",30,94.048,16.565,"K","O",66.481,50.974
44,56.093,50.492,49,"Class3",28,92.84,23.757,"K","D",66.418,45.787
80,80.552,65.337,16,"Class1",51,26.341,34.301,"P","Y",49.932,44.328
76,72.93,63.166,17,"Class1",46,33.603,8.921,"H","J",33.729,48.414
78,76.573,71.63,6,"Class1",57,28.938,23.324,"N","J",53.339,40.057
48,55.488,47.834,43,"Class3",31,94.78,14.706,"W","Q",65.875,82.679
76,72.01,69.241,27,"Class1",52,29.115,25.639,"U","X",44.547,49.853
80,77.074,64.862,6,"Class1",54,26.488,52.419,"N","Y",40.4,59.97
50,52.881,57.64,40,"Class3",28,96.421,13.364,"O","H",66.923,75.816
44,43.18,81.001,66,"Class2",18,90.395,83.92,"L","C",69.026,84.587
30,46.572,69.9,67,"Class2",30,74.594,50.022,"C","C",69.092,28.559
36,75.535,77.254,67,"Class2",74,86.061,62.855,"I","R",74.192,83.386
16,77.52,79.482,70,"Class2",36,49.171,72.849,"I","C",73.566,78.541
19,87.979,26.975,68,"Class2",58,61.961,70.306,"I","Y",71.166,75.598
78,76.088,66.567,36,"Class1",45,32.718,32.565,"F","J",50.129,50.484
14,66.897,26.575,NA,"Class2",77,88.484,63.883,"F","Y",68.632,54.026
48,52.288,42.63,42,"Class3",24,92.358,13.206,"K","D",66.285,31.447
8,31.841,23.726,76,"Class2",15,54.061,41.66,"I","K",69.278,11.157
35,88.16,25.704,76,"Class2",5,70.871,69.013,"L","J",75.481,29.04
82,76.502,71.94,17,"Class1",55,26.25,4.486,"N","J",31.039,45.861
48,53.473,36.341,49,"Class3",30,93.667,4.38,"K","D",67.216,71.883
48,64.119,90.208,69,"Class2",29,49.146,65.026,"L","C",64.582,36.184
17,47.672,70.143,71,"Class2",69,83.924,62.896,"C","Y",72.751,21.116
42,52.832,40.564,41,"Class3",21,94.35,6.102,"W","H",66.23,59.25
43,58.9,55.684,31,"Class3",23,95.2,2.184,"N","O",68.628,49.72
81,77.427,63.511,22,"Class1",41,27.164,23.086,"H","X",37.629,59.031
78,78.077,63.72,19,"Class1",58,26.135,26.274,"P","G",30.877,39.676
51,62.256,66.685,65,"Class2",58,57.117,78.664,"I",NA,70.526,25.693
79,79.822,67.152,45,"Class1",58,30.421,7.186,"N","G",55.524,52.951
4,27.999,49.985,75,"Class2",18,72.612,75.68,"I","C",69.613,20.372
42,57.631,58.495,40,"Class3",31,92.415,6.125,"O","D",67.134,58.03
26,90.31,31.411,72,"Class2",44,77.811,48.221,"L","Y",79.902,20.037
37,87.746,90.539,73,"Class2",72,92.883,53.405,"L","K",67.006,8.25
79,73.361,73.12,16,"Class1",50,28.567,3.294,"F","Y",55.383,47.552
45,56.347,50.734,49,"Class3",24,93.751,8.413,"N","F",67.892,61.048
78,79.809,71.302,6,"Class1",50,28.457,20.57,"P","G",50.333,53.467
78,78.21,67.695,23,"Class1",55,32.092,7.842,"F",NA,54.086,59.084
45,53.847,57.886,39,"Class3",31,95.732,6.535,"R","H",66.754,62.089
82,74.421,66.067,41,"Class1",41,33.798,37.753,"H","X",41.887,49.381
80,71.071,68.073,16,"Class1",40,31.647,15.202,"F","X",45.703,49.581
51,57.951,42.37,47,"Class3",33,94.018,8.107,"O","F",67.052,87.467
47,56.036,59.827,40,"Class3",22,93.29,12.765,"N","D",66.4,49.673
0,66.246,28.982,65,"Class2",79,50.288,59.686,"L","K",57.291,58.062
51,56.851,47.484,38,"Class3",31,95.285,20.57,"R","F",66.663,50.069
32,44.197,80.724,67,"Class2",47,51.265,61.421,"C","K",72.992,30.093
20,60.364,27.015,73,"Class2",74,73.806,63.17,"V","R",78.349,50.621
35,74.466,26.342,70,"Class2",66,49.24,77.149,"V","R",70.482,88.039
4,51.382,39.833,71,"Class2",6,71.449,55.027,"C","Y",68.044,80.915
31,96.109,80.302,70,"Class2",86,59.985,55.546,"V","R",72.619,87.09
77,69.718,71.676,11,"Class1",51,29.609,12.374,"U","O",33.54,45.385
20,91.846,83.914,75,"Class2",72,69.208,54.395,"L","J",72.664,69.888
29,60.971,80.76,65,"Class2",40,68.851,41.725,"V","R",72.182,25.36
77,75.418,65.396,17,"Class1",53,32.656,33.496,"F","G",33.801,57.954
76,79.623,72.977,14,"Class1",54,31.536,26.285,"U",NA,42.656,55.079
5,83.978,31.538,72,"Class2",29,64.467,58.82,"I","R",78.867,29.14
42,85.251,52.226,67,"Class2",71,49.166,83.553,"L","C",71.826,17.131
82,77.631,72.438,13,"Class1",43,30.059,51.439,"N","J",13.296,43.832
44,56.419,48.789,43,"Class3",23,93.835,19.294,"K",NA,66.269,88.63
79,71.294,66.8,36,"Class1",43,30.178,25.534,"N","J",58.946,39.493
43,52.964,48.697,30,"Class3",20,95.952,-3.189,"N","D",65.18,68.078
16,82.313,30.869,65,"Class2",80,61.709,81.438,"L","C",69.794,68.259
29,73.974,26.915,64,"Class2",18,55.448,51.467,"I","C",67.678,55.117
3,38.308,75.312,63,"Class2",90,50.273,66.553,"F","Y",68.088,28.502
80,78.265,69.533,20,"Class1",41,31.662,4.888,"N","J",49.624,40.061
38,67.974,58.517,65,"Class2",82,57.411,64.98,"L","Y",70.933,76.003
49,71.474,74.03,67,"Class2",82,91.802,48.801,"V","J",61.357,28.192
29,73.541,41.062,70,"Class2",21,79.121,43.445,"L","J",78.088,34.483
50,53.638,57.73,41,"Class3",19,94.337,11.179,"W","H",66.415,56.828
77,67.423,69.487,35,"Class1",54,30.857,24.497,"U","Y",43.005,39.479
80,78.267,72.546,46,"Class1",48,33.552,26.733,"N","J",29.908,44.969
49,58.49,52.151,38,"Class3",22,94.294,11.178,"W","D",66.261,87.012
82,76.49,72.434,19,"Class1",58,31.974,19.01,"U","G",68.675,53.692
48,55.784,59.528,43,"Class3",22,92.651,15.952,"O","O",66.329,86.263
44,52.18,54.171,NA,"Class3",25,95.425,4.265,"W","D",68.061,31.258
80,76.338,65.677,9,"Class1",45,33.542,24.395,"N","G",38.636,44.784
43,55.014,56.711,37,"Class3",27,97.717,26.85,"O","H",66.86,35.627
49,53.843,57.845,46,"Class3",27,96.606,9.183,"N","F",67.768,55.624
20,106.194,33.224,72,"Class2",6,61.863,65.913,"F","R",79.041,84.439
45,53.142,40.539,37,"Class3",32,92.596,11.289,"W","O",66.135,71.938
44,53.961,53.209,46,"Class3",26,94.765,2.126,"O","Q",66.975,71.215
29,69.699,57.891,74,"Class2",57,90.32,54.982,"F",NA,81.166,22.579
81,82.536,63.8,39,"Class1",47,28.461,30.695,"F","X",30.646,49.264
76,77.029,69.799,14,"Class1",47,29.661,17.153,"P","Y",31.39,39.896
51,57.264,55.474,41,"Class3",21,95.275,23.851,"R","H",66.602,49.443
82,77.042,62.52,NA,"Class1",44,31.762,14.764,"N","J",34.345,44.684
7,55.342,25.331,64,"Class2",96,95.959,53.731,"V",NA,85.802,87.584
43,53.019,35.417,32,"Class3",21,93.619,18.328,"N","F",67.05,56.388
47,53.352,36.625,45,"Class3",23,92.747,28.235,"K","F",67.454,67.455
3,61.561,74.224,65,"Class2",62,72.1,38.777,"C","Y",69.555,43.596
50,57.268,40.352,40,"Class3",29,94.461,18.613,"K","F",66.374,51.828
19,47.034,75.226,67,"Class2",85,60.505,55.042,"V","Y",74.632,28.389
47,52.087,44.867,36,"Class3",18,92.013,18.869,"R","O",66.879,95.993
82,76.316,67.889,32,"Class1",50,32.484,21.09,"P","X",61.808,42.168
50,53.368,42.3,32,"Class3",22,94.67,21.664,"W","Q",67.145,25.049
8,87.106,77.049,75,"Class2",66,92.789,52.464,"L","Y",67.092,49.856
45,61.136,36.596,67,"Class2",43,84.748,68.455,"V","K",78.481,30.502
49,39.933,82.515,73,"Class2",41,53.825,53.162,"C","C",61.291,29.513
80,78.768,74.367,46,"Class1",41,30.614,48.128,"N","O",41.497,39.27
77,76.674,71.16,43,"Class1",52,31.056,35.899,"F","J",66.67,55.858
49,59.221,48.349,NA,"Class3",27,95.453,4.385,"R","F",67.005,38.884
79,78.22,69.421,28,"Class1",51,29.487,6.152,"U","X",54.348,54.184
77,71.895,64.17,9,"Class1",40,26.902,30.107,"U","J",51.125,60.862
15,48.6,47.238,68,"Class2",46,75.312,25.931,"I","K",68.865,88.972
44,68.915,73.412,71,"Class2",56,66.367,45.71,"C","R",76.312,41.068
9,51.86,30.221,68,"Class2",64,79.908,41.761,"L","K",63.178,52.096
10,65.432,44.998,63,"Class2",7,92.664,55.161,"L","K",75.417,9.502
48,55.327,37.862,41,"Class3",29,94.445,1.125,"R","O",66.726,32.533
49,67.717,65.852,63,"Class2",57,71.948,97.676,"V","Y",72.843,18.855
79,80.217,63.601,46,"Class1",45,26.636,30.491,"N","J",40.683,49.15
47,53.204,58.577,36,"Class3",22,94.495,14.531,"K","F",66.647,51.643
79,78.147,62.618,7,"Class1",50,30.621,39.469,"U","J",47.183,60.949
25,37.735,34.58,63,"Class2",44,91.183,53.663,"L","R",70.218,52.336
48,51.365,54.326,63,"Class2",43,88.478,66.099,"C",NA,74.556,75.892
79,76.024,66.109,7,"Class1",51,31.08,44.663,"P","X",35.284,60.075
81,73.549,70.508,12,"Class1",56,29.356,13.486,"P","O",43.919,40.61
77,78.653,63.43,39,"Class1",43,28.147,15.128,"U",NA,55.144,45.997
77,77.027,71.273,23,"Class1",52,33.775,33.35,"U","J",46.365,41.676
51,54.827,47.118,39,"Class3",30,96.27,20.707,"R","Q",66.144,88.606
50,54.429,46.176,38,"Class3",30,95.107,1.033,"W","D",65.89,33.932
43,52.927,54.602,32,"Class3",21,95.904,17.739,"O","H",67.197,72.919
50,54.623,58.636,32,"Class3",26,95.248,9.214,"W",NA,66.936,35.708
46,55.049,59.678,35,"Class3",22,97.656,9.497,"O","Q",66.223,44.885
48,55.286,43.405,43,"Class3",25,93.187,9.141,"K","O",66.692,54.591
76,76.307,74.219,18,"Class1",44,26.636,25.192,"H","Y",53.602,42.461
78,74.343,65.444,21,"Class1",47,31.76,20.152,"H","Y",29.815,42.43
78,69.053,67.549,32,"Class1",45,33.328,21.205,"N","O",44.488,44.441
77,74.176,67.305,26,"Class1",47,32.908,30.205,"U","Y",45.567,44.73
51,52.294,58.584,42,"Class3",26,93.583,14.363,"O",NA,66.4,36.416
77,77.506,67.451,42,"Class1",50,28.022,27.826,"U","J",49.378,45.127
77,83.812,73.411,36,"Class1",43,27.198,46.861,"P","Y",50.421,41.376
45,52.812,57.266,31,"Class3",30,93.01,17.088,"O","H",67.285,75.833
80,76.835,74.812,25,"Class1",41,31.968,39.956,"U","O",28.404,41.788
51,53.867,57.365,41,"Class3",25,97.566,14.815,"W","F",67.532,78.243
82,76.758,71.586,32,"Class1",43,33.251,36.591,"P","J",20.547,52.041
47,54.298,58.622,39,"Class3",26,96.636,10.753,"W","D",66.71,68.285
4,70.885,60.384,68,"Class2",48,49.326,45.495,"L","K",76.766,13.384
22,70.672,43.342,75,"Class2",64,55.797,72.534,"F","R",70.202,53.981
51,56.997,42.73,41,"Class3",31,95.637,16.064,"K","F",66.289,37.942
77,75.932,68.688,32,"Class1",54,30.302,15.353,"H","G",43.233,39.252
81,75.94,74.539,28,"Class1",40,32.606,37.801,"F","X",51.64,39.395
47,54.983,58.085,41,"Class3",26,93.007,15.013,"R",NA,66.067,88.252
78,77.157,65.799,33,"Class1",45,32.644,29.237,"P","Y",53.444,49.567
31,60.029,25.659,73,"Class2",32,79.983,75.424,"C","Y",77.355,73.114
79,78.81,62.066,41,"Class1",47,30.106,35.496,"P","O",43.451,59.979
81,76.337,66.265,27,"Class1",57,32.736,36.812,"U","O",35.955,52.614
45,54.054,48.064,46,"Class3",27,96.19,6.526,"W","F",65.988,92.255
42,54.354,53.321,42,"Class3",23,93.705,16.192,"K","O",68.004,79.971
78,75.019,68.313,40,"Class1",45,32.933,19.683,"H","X",51.12,44.579
49,58.451,57.272,48,"Class3",27,96.092,-0.982,"K","D",67.518,72.905
44,57.62,42.239,45,"Class3",30,92.437,5.347,"R","Q",66.079,79.462
49,54.105,40.213,49,"Class3",27,96.722,19.753,"W","Q",67.707,77.992
6,40.384,82.504,74,"Class2",45,72.409,65.242,"C","J",58.083,85.221
79,73.824,73.554,18,"Class1",58,30.404,19.929,"U","X",47.331,59.961
44,54.419,47.129,50,"Class3",19,95.466,10.681,"W","D",67.218,70.715
78,81.062,64.073,36,"Class1",43,27.482,11.152,"F","J",36.542,46.198
77,77.876,69.399,30,"Class1",42,26.971,20.851,"H","J",37.311,57.329
49,51.636,36.431,40,"Class3",33,95.644,9.107,"O","D",66.044,72.644
13,87.452,48.853,75,"Class2",95,76.961,71.392,"V","R",72.947,35.917
42,56.049,38.488,40,"Class3",26,96.472,2.581,"N","F",67.099,88.275
49,57.233,46.028,41,"Class3",19,96.938,9.622,"R","D",66.711,54.763
17,76.809,68.648,68,"Class2",4,72.296,58.617,"V","K",76.197,85.686
49,56.586,41.041,42,"Class3",33,95.303,10.654,"O","O",68.313,25.803
42,53.752,56.744,48,"Class3",31,92.416,6.343,"N","H",66.083,71.759
48,55.651,44.615,31,"Class3",33,96.026,15.463,"W","F",67.612,26.713
80,76.779,64.602,35,"Class1",45,27.645,30.515,"P","O",50.871,57.249
81,83.887,71.645,19,"Class1",49,26.782,43.629,"F","X",54.363,56.285
81,79.483,73.423,8,"Class1",52,30.773,30.116,"P","J",54.024,39.716
34,49.466,32.034,67,"Class2",72,93.193,66.12,"I","R",77.807,81.08
77,74.528,72.601,31,"Class1",51,27.324,36.646,"F","X",36.107,43.989
46,56.239,41.224,NA,"Class3",22,92.21,14.548,"N","Q",66.207,35.504
44,39.631,88.797,68,"Class2",17,62.138,63.333,"F","K",66.103,24.95
76,79.558,62.043,25,"Class1",53,33.086,21.797,"N","O",35.355,50.454
6,86.686,21.261,NA,"Class2",34,94.229,69.974,"F","Y",70.141,35.986
78,78.671,65.98,42,"Class1",44,27.9,11.592,"N","X",47.833,43.184
76,71.136,73.123,14,"Class1",46,28.857,29.86,"H",NA,43.195,40.28
38,40.612,38.241,68,"Class2",8,88.605,62.83,"I","R",77.096,80.082
13,79.649,75.955,70,"Class2",38,82.341,58.434,"F","C",83.912,74.276
77,81.404,66.238,10,"Class1",49,30.269,26.494,"F","Y",50.18,45.941
77,79.626,62.141,42,"Class1",40,29.719,8.849,"P","J",40.051,58.53
43,51.665,44.517,48,"Class3",29,94.482,8.637,"N","Q",66.633,44.486
42,55.108,48.12,39,"Class3",24,95.633,0.302,"W","D",67.161,87.402
42,108.023,25.684,74,"Class2",23,78.386,42.599,"I","R",68.587,40.461
48,71.205,77.48,75,"Class2",23,59.595,57.344,"V","K",70.385,31.431
76,73.428,68.403,19,"Class1",46,27.505,19.098,"U","J",46.769,41.499
39,78.609,85.474,65,"Class2",72,56.839,86.454,"I","J",73.019,21.231
78,78.212,72.483,23,"Class1",40,33.678,28.658,"P","X",49.614,47.793
78,75.32,63.527,41,"Class1",40,26.069,30.764,"P","G",61.993,57.813
76,72.506,69.661,32,"Class1",45,31.17,23.744,"N","J",53.543,57.778
81,73.189,68.073,20,"Class1",47,26.381,17.838,"F","Y",41.552,39.161
33,48.146,40.108,75,"Class2",61,78.694,59.659,"C","Y",73.597,27.5
47,57.193,47.488,43,"Class3",18,95.11,23.087,"R","Q",66.906,59.825
27,27.966,40.494,65,"Class2",45,84.262,57.361,"C","K",72.428,69.22
23,37.755,64.872,65,"Class2",47,72.574,59.707,"L","Y",68.953,34.473
9,83.958,34.978,72,"Class2",44,60.042,80.442,"V","Y",67.506,47.146
45,55.055,44.13,38,"Class3",33,93.682,13.338,"O","H",67.309,66.11
42,56.024,48.893,34,"Class3",32,92.218,10.472,"O","Q",67.569,63.278
42,52.604,40.933,46,"Class3",20,92.397,21.17,"R","F",66.815,80.299
28,80.738,39.054,70,"Class2",78,49.959,70.405,"L","C",62.832,76.795
46,50.847,81.233,71,"Class2",88,73.632,53.297,"C","C",66.362,53.796
30,31.996,37.151,63,"Class2",79,78.187,68.477,"I","C",72.385,30.009
47,53.642,38.269,44,"Class3",26,97.208,-0.423,"K","O",66.697,75.581
44,57.793,58.145,44,"Class3",20,95.01,18.754,"K","F",67.13,76.117
47,56.923,38.846,37,"Class3",25,95.454,14.188,"W","H",65.939,80.105
45,56.624,35.066,47,"Class3",30,96.383,16.563,"K","F",66.326,50.913
43,55.701,78.146,75,"Class2",19,81.135,70.347,"C","Y",75.157,54.513
46,85.917,54.935,76,"Class2",6,57.911,47.176,"V","C",72.019,55.256
77,74.076,69.668,20,"Class1",43,30.648,48.016,"N","G",32.411,55.466
11,56.662,42.079,73,"Class2",19,74.86,50.246,"F","J",74.952,23.421
43,55.088,40.734,47,"Class3",31,92.698,20.1,"W","O",67.083,87.037
26,33.243,81.493,67,"Class2",35,85.511,51.311,"V","R",71.159,42.317
49,61.717,41.666,70,"Class2",66,91.082,53.907,"L","Y",70.428,12.105
76,73.651,69.81,43,"Class1",41,30.951,28.49,"F","Y",43.704,47.217
42,69.87,90.482,75,"Class2",56,62.407,53.335,"C","K",79.756,11.789
80,73.624,69.29,24,"Class1",48,30.927,17.168,"U","O",40.662,51.438
77,77.682,66.802,37,"Class1",58,27.215,29.735,"N","J",56.892,41.087
82,75.599,72.756,37,"Class1",41,32.165,44.042,"U","Y",58.852,45.063
8,38,57.2,NA,"Class2",71,85.819,71.129,"F","J",71.705,53.49
16,94.709,49.978,69,"Class2",37,57.157,62.891,"V","C",74.798,56.902
44,55.372,40.377,47,"Class3",20,94.493,17.675,"N","Q",66.797,82.218
44,55.992,56.069,47,"Class3",30,93.94,6.88,"W","F",67.104,51.334
12,80.758,81.303,76,"Class2",71,75.807,57.124,"F","J",67.082,26.652
17,79.938,72.99,72,"Class2",31,70.418,75.805,"C","K",80.729,45.035
5,64.155,45.528,64,"Class2",8,82.333,79.464,"L","J",62.657,78.521
43,56.64,37.976,42,"Class3",20,96.529,7.103,"W","Q",67.654,87.776
42,58.587,58.233,47,"Class3",24,92.641,-7.183,"W","Q",67.062,41.803
48,52.181,48.589,47,"Class3",29,95.47,8.894,"W","D",66.969,62.625
76,77.3,73.902,27,"Class1",45,26.21,27.188,"U","X",60.742,42.823
76,74.144,63.594,26,"Class1",54,32.725,24.263,"U",NA,44.354,40.03
34,45.432,53.779,75,"Class2",12,86.534,53.651,"V","J",70.672,68.904
80,74.087,71.225,21,"Class1",53,31.367,30.857,"H","G",64.874,47.358
43,53.116,38.447,42,"Class3",27,92.008,7.419,"N","Q",66.53,78.521
82,74.766,62.596,31,"Class1",48,31.49,28.162,"N","O",47.936,41.101
79,77.177,68.852,25,"Class1",57,26.941,30.585,"F","O",45.315,50.684
49,54.782,54.914,34,"Class3",23,95.897,22.54,"K","F",67.47,92.789
38,89.444,32.047,65,"Class2",99,70.223,69.451,"L","J",71.125,53.692
76,78.229,66.86,34,"Class1",53,30.275,29.543,"N","O",36.321,39.109
80,77.965,67.733,NA,"Class1",47,26.725,28.741,"N","G",43.157,57.921
79,77.85,68.504,12,"Class1",46,26.182,21.514,"H","X",49.921,53.024
28,55.241,46.664,NA,"Class2",30,59.829,74.57,"F","Y",71.031,82.872
25,64.627,24.616,74,"Class2",38,50.884,51.361,"I",NA,70.385,35.055
43,103.534,79.353,72,"Class2",19,56.391,31.955,"F","C",62.496,42.349
46,59.254,58.601,37,"Class3",25,97.975,5.974,"R",NA,67.225,25.738
50,56.895,59.097,33,"Class3",22,97.189,13.446,"O","O",67.333,61.846
78,77.653,67.219,43,"Class1",51,32.566,33.549,"F","O",27.93,50.448
42,50.833,55.745,49,"Class3",31,96.222,7.702,"R","D",67.185,76.703
4,56.636,88.527,71,"Class2",80,49.07,71.558,"C","K",74.625,77.144
44,54.09,57.462,37,"Class3",24,94.968,6.869,"K",NA,65.603,48.919
47,58.456,57.46,46,"Class3",28,95.546,12.73,"W","Q",66.595,48.198
18,38.606,38.667,63,"Class2",65,79.176,55.382,"C","J",72.446,49.022
80,76.105,74.347,42,"Class1",40,30.42,6.583,"N","J",38.179,55.22
51,57.497,54.014,39,"Class3",28,94.466,17.721,"K","Q",67.333,82.874
48,54.164,47.376,40,"Class3",22,94.917,9.967,"W",NA,66.516,64.932
