"K1","K2","K3","K4","K5","K6","Output10","K7","K8","K9","K10","K11"
41,27.612,34.919,20.345,17.497,51,"Class2",70,"R",94.497,26.684,"M"
53,97.363,19.74,98.428,90.448,80,"Class1",45,"Z",70.005,-19.402,"W"
47,74.539,32.104,10.167,73.66,83,"Class3",27,"H",41.383,74.826,"P"
73,102.385,34.866,98.087,78.318,77,"Class1",52,"Z",64.029,48.517,"N"
49,57.248,41.674,22.779,19.181,70,"Class2",65,"B",96.318,32.947,"L"
62,88.164,36.807,98.654,87.001,71,"Class1",13,"Z",64.966,9.08,"I"
70,82.023,39.145,97.369,NA,77,"Class1",30,"L",35.838,49.323,"N"
39,94.06,28.352,47.977,71.116,22,"Class3",16,"H",43.74,63.798,"E"
38,58.726,30.759,7.073,NA,76,"Class3",54,"Q",93.289,16.607,"F"
76,85.728,30.341,66.147,60.229,80,"Class3",14,"H",62.367,43.016,"W"
13,26.538,44.5,11.065,14.304,70,"Class2",66,"Z",93.252,21.021,"X"
80,93.887,34.596,98.63,75.756,77,"Class1",81,"Z",58.086,95.527,"V"
14,57.314,42.26,75.973,17.174,63,"Class2",65,"B",93.607,30.278,"I"
42,74.343,30.014,33.887,71.91,21,"Class3",23,"W",62.169,73.143,"D"
55,78.558,42.972,12.22,14.752,63,"Class2",65,"R",93.468,32.04,"L"
72,102.069,26.843,98.95,74.602,77,"Class1",36,"B",70.309,37.045,"V"
69,43.728,40.761,38.068,18.537,88,"Class2",65,"B",96.769,29.287,"L"
59,34.105,36.619,21.518,14.196,69,"Class2",66,"C",90.652,27.711,"X"
51,88.96,39.401,98.149,95.52,79,"Class1",12,"Z",62.453,111.797,"W"
48,92.214,35.157,14.948,70.709,90,"Class3",50,"G",69.034,24.827,"P"
47,29.6,44.617,66.159,16.174,52,"Class2",68,"B",95.995,26.39,"X"
70,89.431,29.462,31.362,69.747,35,"Class3",24,"Q",53.16,89.369,"E"
40,63.541,28.383,78.335,70.999,6,"Class3",31,"B",29.945,79.167,"F"
42,85.757,28.661,37.572,63.082,6,"Class3",62,"B",76.095,24.824,"D"
41,63.461,35.291,38.294,64.84,74,"Class3",24,"Q",68.371,52.852,"W"
52,65.465,31.154,62.542,69.125,34,"Class3",19,"H",79.072,5.617,"W"
58,59.129,34.279,37.393,NA,41,"Class2",NA,"Z",93.548,22.194,"X"
51,88.342,40.599,97.559,75.05,76,"Class1",11,"T",58.862,38.799,"N"
65,66.41,35.531,63.158,16.93,88,"Class2",68,"B",92.795,37.687,"M"
83,33.18,45.596,91.937,NA,62,"Class2",66,"B",94.93,34.504,"M"
48,48.888,32.58,14.437,17.906,54,"Class2",70,"Z",95.046,20.673,"M"
77,50.263,28.686,77.558,66.6,66,"Class3",35,"W",55.432,19.414,"W"
63,68.831,35.298,9.526,74.742,22,"Class3",27,"Q",82.529,76.083,"P"
38,61.974,34.541,37.661,73.635,20,"Class3",NA,"W",80.145,51.738,"E"
87,60.71,31.485,52.34,18.012,57,"Class2",72,"R",95.201,25.078,"L"
54,93.546,30.691,98.088,91.095,87,"Class1",67,"Z",70.131,64.87,"I"
72,57.066,38.265,43.821,17.937,49,"Class2",73,"C",92.832,33.758,"D"
49,59.465,28.805,26.93,64.56,14,"Class3",61,"H",105.508,4.244,"D"
23,56.018,43.937,13.762,19.106,86,"Class2",67,"R",92.185,29.863,"D"
70,93.393,25.47,98.97,71.381,81,"Class1",48,"Z",58.985,71.471,"X"
8,57.995,38.851,80.986,15.562,79,"Class2",70,"C",94.595,29.525,"X"
42,88.499,20.026,98.128,86.89,70,"Class1",68,"T",58.457,71.584,"I"
42,94.029,24.517,98.545,85.116,75,"Class1",77,"A",61.87,36.527,"V"
88,54.918,40.14,26.375,19.908,80,"Class2",66,"R",94.511,23.249,"L"
52,91.633,34.709,98.263,75.099,73,"Class1",80,"B",60.045,21.614,"X"
40,100.876,28.146,98.085,70.968,80,"Class1",NA,"T",58.466,68.426,"I"
44,56.896,41.555,78.925,14.561,47,"Class2",68,"Z",95.075,25.803,"I"
16,57.9,33.22,40.18,13.519,81,"Class2",73,"T",94.767,20.268,"X"
84,80.865,35.106,59.635,66.073,51,"Class3",22,"H",63.332,65.256,"F"
44,32.623,44.26,19.975,19.22,89,"Class2",65,"C",96.649,19.251,"X"
46,96.891,34.404,18.11,NA,56,"Class3",64,"Q",58.446,19.598,"D"
52,50.559,33.409,11.347,17.488,70,"Class2",69,"C",91.497,25.273,"X"
60,25.884,37.105,15.55,14.693,60,"Class2",73,"R",95.324,26.632,"I"
38,97.488,46.879,98.999,71.911,68,"Class1",76,"A",57.899,75.819,"X"
58,49.846,32.57,69.619,78.22,11,"Class3",41,"H",15.417,56.974,"F"
58,93.425,25.764,98.554,75.421,65,"Class1",21,"Z",39.833,17.656,"I"
85,94.695,44.016,97.933,72.23,81,"Class1",38,"L",52.528,33.418,"W"
75,79.238,44.614,97.702,93.448,83,"Class1",20,"B",63.537,52.729,"N"
79,69.728,34.181,23.412,69.874,35,"Class3",35,"W",61.159,21.934,"F"
81,98.77,25.829,98.224,75.513,74,"Class1",46,"B",62.212,66.155,"V"
65,102.271,29.269,62.504,71.045,11,"Class3",16,"W",75.256,45.976,"F"
75,64.55,32.904,67.368,60.85,42,"Class3",51,"W",16.445,95.821,"W"
61,60.143,32.706,25.76,18.119,44,"Class2",71,"T",90.604,12.312,"D"
49,48.101,28.496,16.243,67.73,21,"Class3",8,"B",63.278,37.55,"P"
47,42.182,34.791,39.001,70.379,24,"Class3",15,"G",49.262,23.331,"E"
82,40.949,36.832,50.676,14.093,72,"Class2",72,"T",92.429,21.652,"X"
47,85.034,27.462,62.276,69.698,23,"Class3",40,"Q",66.517,19.383,"E"
70,82.133,28.008,8.19,73.406,70,"Class3",23,"G",34.661,-9.816,"W"
39,90.487,32.183,98.447,78.065,89,"Class1",49,"T",63.143,88.968,"V"
49,92.851,30.293,97.163,95.588,79,"Class1",70,"B",55.9,29.007,"W"
79,55.244,32.031,42.204,61.677,51,"Class3",34,"G",60.578,63.536,"W"
60,79.891,32.985,30.822,77.306,61,"Class3",21,"B",110.571,38.905,"P"
66,90.371,45.444,97.292,NA,86,"Class1",54,"Z",32.687,46.667,"W"
81,92.353,44.511,97.936,79.809,87,"Class1",77,"B",76.395,35.924,"X"
61,80.95,33.306,38.971,59.568,71,"Class3",61,"Q",36.862,42.26,"P"
51,94.874,37.87,97.631,97.035,74,"Class1",NA,"A",57.155,63.777,"N"
42,65.923,30.829,36.28,61.065,50,"Class3",48,"Q",9.248,66.482,"P"
64,96.531,32.37,97.093,75.091,78,"Class1",26,"B",62.415,15.099,"V"
14,36.085,37.072,31.967,13.345,75,"Class2",69,"R",92.81,20.182,"I"
42,100.508,32.315,97.726,84.486,79,"Class1",66,"L",45.749,35.431,"I"
56,76.967,30.592,50.093,63.662,76,"Class3",NA,"B",22.162,43.368,"F"
42,73.813,39.181,71.779,19.844,51,"Class2",64,"T",94.012,25.319,"X"
80,89.467,40.155,98.221,92.493,76,"Class1",32,"A",55.205,82.556,"X"
77,12.772,34.682,55.869,17.183,64,"Class2",67,"Z",91.766,35.671,"I"
75,97.014,23.617,98.95,95.292,78,"Class1",18,"T",50.635,-16.458,"I"
44,82.123,29.541,37.812,71.201,51,"Class3",NA,"G",73.369,10.305,"P"
63,84.104,29.629,98.61,79.808,79,"Class1",68,"A",66.934,43.302,"X"
67,83.832,32.461,30.155,62.45,76,"Class3",34,"W",20.251,37.441,"E"
59,56.603,42.828,21.747,14.36,38,"Class2",67,"Z",93.152,9.829,"I"
43,45.843,42.398,12.29,18.18,61,"Class2",69,"T",94.69,17.648,"I"
68,95.455,37.352,97.877,87.091,72,"Class1",29,"T",43.033,50.213,"V"
13,33.53,35.23,44.725,19.249,83,"Class2",73,"C",93,22.568,"M"
38,97.927,31.948,21.315,77.005,9,"Class3",63,"Q",44.703,53.226,"W"
13,39.791,40.89,36.388,16.848,69,"Class2",69,"T",95.05,23.855,"I"
54,42.09,46.863,11.256,15.181,64,"Class2",71,"R",93.898,22.701,"M"
50,89.256,27.488,66.79,65.742,40,"Class3",18,"G",112.413,18.802,"F"
67,73.363,30.89,16.742,74.244,75,"Class3",18,"B",36.57,42.891,"F"
18,51.023,34.179,77.774,17.665,70,"Class2",65,"R",93.195,6.698,"I"
78,103.783,35.18,44.911,60.173,73,"Class3",40,"W",9.61,34.532,"P"
81,71.311,31.392,35.274,60.207,90,"Class3",59,"G",69.512,53.176,"D"
56,91.588,39.972,98.223,70.497,88,"Class1",3,"L",73.953,7.233,"X"
86,93.896,35.038,97.836,NA,85,"Class1",49,"A",56.593,66.962,"I"
68,56.185,43.974,37.538,15.294,54,"Class2",71,"T",91.542,19.818,"X"
57,52.772,31.579,56.44,14.012,72,"Class2",71,"B",93.657,11.284,"D"
49,54.786,34.472,22.143,15.279,47,"Class2",66,"T",92.872,31.425,"I"
77,71.742,30.343,22.424,76.826,30,"Class3",31,"G",69.851,70.205,"W"
70,55.9,36.491,76.624,16.126,56,"Class2",NA,"C",94.517,32.942,"L"
41,37.937,31.498,27.498,13.205,86,"Class2",66,"T",92.271,36.552,"M"
67,42.33,37.716,70.559,14.238,43,"Class2",66,"Z",94.102,27.215,"M"
51,25.773,31.745,32.296,14.189,51,"Class2",66,"Z",93.729,29.807,"I"
74,37.527,43.517,78.666,NA,67,"Class2",72,"R",97.791,32.854,"L"
82,84.143,31.086,71.899,73.074,22,"Class3",47,"H",111.798,54.413,"F"
73,40.33,40.991,80.697,16.582,87,"Class2",64,"T",94.411,33.547,"M"
63,62.598,30.108,19.522,62.333,20,"Class3",8,"G",85.601,79.957,"P"
45,100.242,29.999,98.034,79.339,86,"Class1",70,"T",56.943,33.409,"V"
78,81.381,27.035,34.007,60.341,67,"Class3",45,"G",103.92,76.259,"E"
61,47.028,40.85,14.831,17.1,58,"Class2",68,"B",92.47,24.577,"M"
77,55.968,30.552,36.461,NA,74,"Class3",26,"H",78.097,42.465,"E"
81,48.156,45.542,16.052,15.972,74,"Class2",69,"T",89.703,15.912,"M"
66,76.471,27.321,45.662,60.294,62,"Class3",63,"G",29.7,52.331,"E"
45,82.621,32.486,98.487,71.871,88,"Class1",2,"B",62.415,55.781,"I"
41,12.005,41.708,87.219,19.763,91,"Class2",NA,"C",93.478,14.327,"X"
79,78.186,41.711,97.67,76.86,87,"Class1",27,"L",70.322,36.157,"V"
21,39.088,38.276,45.738,17.998,52,"Class2",69,"B",95.043,16.696,"I"
47,79.837,45.223,97.768,71.668,69,"Class1",27,"T",64.391,45.492,"N"
76,96.922,29.482,27.266,61.019,63,"Class3",33,"H",78.838,35.94,"F"
49,45.838,30.07,22.964,59.072,6,"Class3",34,"H",100.732,6.594,"P"
38,95.048,33.706,97.81,74.168,89,"Class1",67,"A",37.133,64.976,"N"
68,84.482,34.795,98.201,72.798,83,"Class1",66,"Z",44.78,67.348,"X"
60,92.601,45.795,97.157,76.98,88,"Class1",50,"B",58.571,33.658,"X"
83,47.38,43.774,22.037,NA,81,"Class2",68,"C",92.467,33.084,"X"
45,95.623,37.888,98.079,81.402,87,"Class1",6,"A",68.561,71.862,"W"
38,97.328,21.176,98.871,73.902,82,"Class1",28,"Z",59.719,23.325,"I"
77,88.897,40.743,98.468,84.112,78,"Class1",55,"L",54.211,51.392,"V"
67,57.889,27.165,41.264,73.633,32,"Class3",36,"Q",22.778,31.877,"F"
65,87.853,27.226,15.405,63.694,87,"Class3",30,"Q",66.125,68.03,"W"
67,89.38,35.438,72.059,64.373,75,"Class3",28,"G",48.935,43.079,"W"
40,19.515,38.512,90.94,16.947,89,"Class2",69,"C",92.838,16.313,"L"
70,37.69,33.411,63.622,13.101,63,"Class2",66,"C",93.226,25.502,"M"
89,37.898,43.331,94.777,13.148,76,"Class2",73,"R",91.79,18.788,"L"
90,38.833,34.661,22.656,14.462,62,"Class2",68,"R",98.381,28.021,"M"
56,87.161,25.311,98.508,97.883,77,"Class1",75,"Z",50.714,21.374,"V"
39,94.566,44.938,98.446,85.494,66,"Class1",17,"L",40.466,43.891,"X"
72,91.06,32.205,97.179,75.779,69,"Class1",76,"A",32.642,99.176,"V"
84,58.812,30.601,14.239,59.356,83,"Class3",12,"G",51.819,17.953,"W"
60,87.284,20.707,98.19,85.544,89,"Class1",66,"T",55.196,48.336,"I"
60,103.748,41.112,97.176,91.095,75,"Class1",46,"A",68.479,36.859,"V"
53,87.655,34.951,97.411,87.908,70,"Class1",81,"B",54.408,9.454,"V"
49,92.573,32.122,97.146,97.074,85,"Class1",23,"A",49.773,75.823,"I"
55,79.322,31.39,98.001,96.678,80,"Class1",65,"Z",34.811,79.598,"I"
71,95.505,41.39,98.14,94.198,72,"Class1",44,"T",81.017,85.387,"I"
61,77.794,33.622,55.157,59.295,61,"Class3",20,"W",59.341,15.548,"D"
64,40.025,32.416,47.441,18.815,52,"Class2",71,"R",95.076,42.166,"M"
64,88.962,43.044,97.426,83.11,89,"Class1",9,"A",69.306,69.337,"X"
42,64.886,34.043,29.461,69.427,10,"Class3",46,"W",70.484,43.084,"D"
87,20.835,43.014,80.833,17.984,46,"Class2",69,"C",93.917,26.722,"X"
10,33.757,41.849,85.131,15.796,84,"Class2",67,"T",94.865,18.145,"D"
38,51.162,45.198,94.346,13.608,62,"Class2",70,"B",88.393,34.12,"D"
50,93.831,22.769,97.253,97.003,82,"Class1",76,"T",62.537,30.671,"N"
89,37.873,38.43,50.378,16.902,55,"Class2",70,"T",94.414,24.833,"I"
50,49.577,32.219,43.385,18.107,89,"Class2",64,"R",93.664,24.774,"M"
46,77.855,33.382,23.121,73.706,49,"Class3",54,"B",56.495,51.701,"D"
72,74.881,27.234,12.365,62.477,71,"Class3",14,"H",85.001,-2.611,"W"
77,81.406,20.121,98.325,90.506,87,"Class1",43,"T",29.671,57.743,"X"
76,88.852,40.953,97.202,84.11,78,"Class1",57,"Z",41.268,93.985,"I"
23,54.92,41.348,69.677,13.292,87,"Class2",65,"C",96.048,29.645,"I"
57,54.494,34.46,33.997,19.92,42,"Class2",NA,"Z",92.297,14.66,"M"
41,64.963,34.692,77.82,65.975,35,"Class3",47,"H",81.262,63.406,"F"
45,42.015,33.366,27.94,18.411,55,"Class2",68,"R",95.377,28.202,"X"
81,85.865,36.174,97.85,88.836,75,"Class1",41,"L",79.426,64.326,"W"
41,42.376,33.776,16.726,14.763,52,"Class2",68,"C",93.639,28.32,"M"
70,61.469,31.657,66.522,67.184,57,"Class3",23,"H",50.94,59.976,"E"
73,73.787,29.152,70.598,63.486,69,"Class3",23,"G",79.898,29.609,"W"
31,52.852,39.26,22.01,19.873,79,"Class2",73,"B",93.97,21.131,"L"
44,68.481,29.881,41.715,65.321,89,"Class3",44,"H",66.972,85.614,"E"
55,86.367,31.133,59.387,59.883,50,"Class3",52,"Q",55.76,14.731,"W"
37,85.69,34.969,77.366,68.663,80,"Class3",41,"H",34.903,58.405,"P"
78,42.987,35.459,20.681,17.62,91,"Class2",73,"T",93.865,14.839,"L"
52,85.12,28.12,98.675,74.424,85,"Class1",66,"B",39.565,33.927,"X"
25,41.589,39.216,52.148,19.598,61,"Class2",67,"B",94.884,12.124,"M"
60,86.917,34.955,26.307,78.612,11,"Class3",54,"B",31.561,27.458,"P"
8,57.024,36.54,50.665,17.572,90,"Class2",69,"T",94.59,27.441,"M"
46,91.094,29.092,39.199,72.977,28,"Class3",9,"Q",40.006,2.019,"D"
39,73.444,34.046,63.189,64.225,38,"Class3",55,"B",37.345,47.305,"E"
70,39.857,31.81,64.842,17.717,55,"Class2",65,"B",93.405,21.586,"I"
70,101.742,26.514,98.267,85.57,85,"Class1",37,"A",61.97,45.574,"V"
45,99.979,34.31,97.649,89.432,76,"Class1",74,"Z",48.389,16.86,"W"
29,44.752,41.36,83.32,14.205,55,"Class2",70,"C",97.026,27.136,"D"
68,54.346,33.119,18.927,18.99,41,"Class2",67,"B",95.47,11.388,"I"
75,46.58,43.352,60.954,13.574,48,"Class2",72,"R",92.726,25.843,"D"
72,96.233,24.085,98.545,89.424,89,"Class1",10,"Z",43.033,51.488,"I"
83,37.492,43.907,94.56,13.195,79,"Class2",NA,"T",91.841,4.327,"X"
57,70.479,32.726,55.401,72.39,36,"Class3",39,"W",39.442,67.576,"W"
67,79.714,34.486,97.206,81.688,84,"Class1",72,"Z",67.916,25.205,"I"
22,53.515,45.475,20.516,14.446,66,"Class2",65,"C",96.307,31.75,"M"
74,100.123,19.41,98.465,70.043,86,"Class1",43,"Z",53.586,46.713,"V"
71,39.691,33.923,24.938,18.763,88,"Class2",69,"R",93.739,19.981,"M"
40,31.708,38.962,80.398,13.045,42,"Class2",64,"B",89.459,22.992,"M"
80,71.597,35.511,13.069,75.264,35,"Class3",10,"W",44.077,25.343,"F"
65,34.814,38.21,19.281,14.251,47,"Class2",66,"B",97.119,23.916,"D"
62,79.217,31.318,69.011,62.938,9,"Class3",25,"B",77.907,49.791,"E"
65,43.955,39.195,58.015,17.949,49,"Class2",67,"Z",97.692,24.419,"M"
80,62.039,29.456,35.487,72.025,74,"Class3",27,"B",58.882,64.991,"E"
61,39.771,45.199,29.49,13.463,91,"Class2",71,"C",93.996,36.027,"X"
49,46.447,45.014,49.419,15.622,58,"Class2",72,"C",93.06,30.555,"D"
9,60.739,41.383,81.039,19.619,89,"Class2",71,"C",96.71,21.985,"D"
51,66.498,38.29,21.1,13.34,38,"Class2",73,"R",92.997,22.403,"X"
44,98.27,36.071,97.98,74.96,73,"Class1",30,"B",57.507,74.107,"X"
49,93.457,42.37,97.171,72.565,77,"Class1",53,"A",61.211,34.102,"V"
15,22.127,32.304,95.428,17.641,41,"Class2",69,"T",90.503,15.142,"X"
69,89.006,25.373,97.541,71.413,87,"Class1",49,"A",44.929,79.552,"W"
81,89.154,38.601,98.978,95.63,74,"Class1",22,"A",42.147,61.73,"X"
49,67.334,35.057,13.3,71.986,88,"Class3",14,"H",69.293,33.904,"D"
79,97.917,30.136,98.724,97.092,82,"Class1",50,"Z",86.371,68.876,"W"
54,96.906,34.611,97.353,80.454,76,"Class1",28,"B",59.489,32.309,"N"
79,36.145,32.014,57.499,14.386,80,"Class2",67,"R",94.2,14.858,"I"
25,66.22,38.249,59.921,15.047,47,"Class2",64,"C",97.315,32.063,"M"
60,87.777,32.357,72.872,73.692,74,"Class3",53,"H",70.726,90.493,"W"
83,37.207,44.438,90.226,14.591,72,"Class2",66,"C",93.38,36.979,"D"
86,28.348,32.634,23.437,NA,61,"Class2",68,"T",92.418,21.653,"M"
50,80.683,31.139,37.751,69.018,45,"Class3",28,"Q",101.953,84.502,"P"
53,94.495,38.835,98.025,78.937,71,"Class1",38,"A",66.315,86.227,"X"
26,41.649,36.688,32.796,13.665,65,"Class2",71,"Z",94.365,22.91,"D"
75,45.803,32.56,22.316,76.138,46,"Class3",20,"Q",99.211,11.36,"P"
53,71.885,28.048,25.819,64.153,83,"Class3",21,"B",48.74,64.745,"P"
19,35.449,31.219,66.25,13.383,52,"Class2",73,"C",92.89,13.791,"I"
8,59.033,31.814,44.013,16.921,56,"Class2",66,"T",94.615,39.335,"L"
49,92.784,28.321,97.198,81.631,77,"Class1",79,"T",57.739,35.316,"N"
9,58.6,35.027,35.293,13.974,53,"Class2",72,"Z",89.857,32.582,"D"
75,48.216,38.888,40.877,17.874,54,"Class2",66,"B",91.858,27.44,"L"
68,45.608,34.784,28.661,13.142,49,"Class2",64,"B",97.644,17.812,"M"
75,37.619,35.996,45.495,18.656,56,"Class2",69,"C",92.768,22.225,"I"
80,88.911,37.828,98.842,70.838,75,"Class1",15,"B",35.669,84.267,"W"
54,91.2,19.191,97.629,71.426,86,"Class1",79,"L",73.104,47.742,"W"
38,101.34,34.862,70.723,60.667,35,"Class3",63,"G",29.087,29.502,"P"
57,53.534,45.292,29.936,14.95,54,"Class2",66,"R",93.153,23.064,"D"
45,87.165,31.702,19.781,65.256,79,"Class3",55,"Q",70.328,54.207,"D"
63,92.428,27.49,58.426,61.185,72,"Class3",7,"H",90.402,43.953,"E"
75,96.7,38.028,98.283,94.016,79,"Class1",44,"A",76.737,51.78,"V"
40,66.127,29.705,34.535,66.551,58,"Class3",50,"H",78.501,17.954,"D"
36,88.657,41.251,97.147,73.481,76,"Class1",44,"B",52.411,17.332,"N"
84,91.049,37.135,98.604,90.408,72,"Class1",52,"T",57.301,39.49,"N"
75,38.34,31.162,61.518,62.635,77,"Class3",36,"B",69.875,54.233,"D"
49,81.651,32.476,52.115,62.398,82,"Class3",40,"B",44.19,64.509,"F"
70,69.553,31.948,63.035,62.091,82,"Class3",55,"Q",88.163,84.272,"D"
49,56.379,36.656,62.661,14.133,72,"Class2",69,"T",95.194,35.288,"I"
38,55.235,38.294,71.327,16.335,72,"Class2",67,"C",90.298,17.3,"D"
65,75.434,32.419,36.289,65.601,71,"Class3",44,"B",40.087,-10.524,"W"
74,69.821,27.448,49.185,67.836,48,"Class3",17,"G",90.597,29.248,"F"
65,98.802,34.424,14.888,62.595,45,"Class3",NA,"H",59.553,22.936,"W"
86,51.996,46.55,55.779,16.326,60,"Class2",69,"Z",94.991,32.964,"L"
37,69.62,27.705,40.01,75.442,78,"Class3",27,"Q",131.559,65.075,"W"
84,85.591,35.554,97.04,82.921,66,"Class1",48,"T",82.496,45.682,"X"
61,96.681,35.077,48.278,78.571,79,"Class3",32,"H",59.851,46.549,"F"
86,101.083,43.862,97.899,74.14,72,"Class1",3,"Z",63.913,28.177,"I"
47,90.655,45.041,98.479,90.656,72,"Class1",7,"T",27.625,62.962,"X"
73,98.397,46.044,97.18,73.462,72,"Class1",38,"T",55.993,62.9,"V"
84,87.285,20.371,98.829,93.863,70,"Class1",40,"L",48.266,44.96,"W"
62,92.146,31.102,61.374,71.542,6,"Class3",57,"Q",40.683,35.36,"P"
53,96.605,32.164,98.977,96.51,68,"Class1",62,"L",38.801,28.864,"N"
84,65.99,35.874,59.846,62.856,29,"Class3",7,"Q",118.06,34.026,"E"
51,23.112,37.651,60.776,15.986,66,"Class2",67,"B",92.98,11.841,"I"
79,66.166,32.329,27.053,77.395,45,"Class3",51,"G",44.93,48.904,"D"
55,90.16,20.949,98.43,74.356,73,"Class1",38,"T",60.235,35.143,"W"
48,90.202,44.28,97.066,93.309,68,"Class1",33,"A",54.627,33.703,"X"
45,18.19,42.267,24.774,17.867,65,"Class2",NA,"R",94.664,26.52,"L"
57,42.483,45.833,93.053,13.06,87,"Class2",69,"Z",93.245,20.786,"X"
79,82.675,29.331,66.047,64.031,65,"Class3",42,"H",54.834,29.54,"E"
46,86.429,31.821,45.375,76.964,52,"Class3",53,"H",33.318,33.844,"E"
61,71.226,28.327,41.656,63.912,22,"Class3",46,"G",41.951,43.81,"D"
55,62.065,28.289,4.074,78.119,83,"Class3",58,"B",68.293,46.979,"P"
13,32.943,35.022,53.157,16.757,63,"Class2",73,"Z",96.935,20.059,"L"
90,44.766,34.907,61.701,17.904,56,"Class2",67,"B",93.001,18.61,"X"
38,95.953,21.575,98.949,79.198,86,"Class1",28,"B",63.352,34.908,"X"
54,87.207,40.654,98.897,70.264,86,"Class1",4,"A",69.456,-1.207,"W"
39,35.299,27.23,14.88,73.63,87,"Class3",15,"W",13.451,25.036,"E"
58,36.617,35.911,31.947,17.026,73,"Class2",70,"T",94.534,19.219,"I"
61,58.211,31.61,9.643,18.944,41,"Class2",69,"C",93.502,32.931,"M"
59,90.975,38.153,98.87,84.153,76,"Class1",36,"L",44.296,77.206,"V"
64,97.447,31.239,97.277,84.743,72,"Class1",5,"A",53.093,31.99,"N"
9,34.468,31.714,62.464,13.215,84,"Class2",70,"B",94.044,11.627,"D"
43,23.636,42.531,91.35,18.359,74,"Class2",72,"T",94.039,16.06,"X"
43,96.386,25.594,97.389,92.568,73,"Class1",NA,"Z",57.224,71.139,"N"
67,68.315,34.297,60.359,77.085,39,"Class3",37,"G",61.454,40.299,"W"
38,5.799,38.259,19.552,19.161,54,"Class2",67,"C",92.251,19.51,"X"
37,110.273,30.588,59.511,74.188,37,"Class3",8,"W",39.298,33.8,"W"
54,18.542,46.459,52.303,13.063,53,"Class2",70,"T",91.739,27.215,"D"
47,63.158,29.664,17.351,63.468,13,"Class3",51,"G",57.165,68.894,"P"
41,39.988,38.916,21.651,18.2,44,"Class2",69,"C",95.012,34.311,"I"
66,51.772,44.26,31.226,14.621,48,"Class2",NA,"T",90.803,23.654,"I"
78,91.553,36.226,97.249,77.573,87,"Class1",49,"L",49.114,27.536,"I"
72,73.585,36.378,9.09,19.038,49,"Class2",67,"B",94.965,23.17,"M"
56,70.017,31.477,76.043,77.879,89,"Class3",14,"B",30.692,40.689,"P"
66,90.682,34.7,98.811,96.831,72,"Class1",NA,"L",63.222,49.215,"W"
69,55.64,30.297,6.335,74.151,90,"Class3",35,"G",110.752,65.69,"W"
37,33.072,37.441,50.43,13.624,64,"Class2",73,"B",92.722,24.238,"M"
57,52.911,46,61.306,16.228,67,"Class2",72,"R",93.541,24.525,"D"
57,75.135,28.142,60.208,61.706,64,"Class3",56,"W",119.134,53.3,"D"
69,69.087,33.487,13.697,14.114,40,"Class2",64,"C",92.929,32.9,"D"
36,87.663,20.38,98.646,91.348,84,"Class1",32,"T",69.236,39.512,"V"
73,91.711,34.25,98.478,82.023,65,"Class1",41,"A",63.252,32.842,"V"
73,96.975,46.134,97.617,82.922,76,"Class1",15,"B",62.413,49.595,"X"
69,92.489,34.03,98.875,90.967,82,"Class1",48,"A",43.754,45.192,"V"
23,42.568,31.281,53.286,13.77,69,"Class2",73,"C",91,20.905,"X"
37,30.572,34.036,55.155,14.902,87,"Class2",NA,"T",95.64,24.303,"D"
49,85.996,34.032,98.498,92.441,70,"Class1",51,"L",42.424,6.917,"W"
85,31.198,33.265,45.763,59.342,16,"Class3",16,"G",46.81,67.306,"P"
57,51.105,34.469,45.019,66.107,52,"Class3",NA,"B",49.602,30.755,"F"
55,80.133,38.494,97.126,97.398,67,"Class1",6,"T",66.158,40.639,"I"
35,47.101,32.104,68.335,18.508,80,"Class2",64,"T",92.509,30.453,"X"
84,83.964,29.801,47.967,60.478,82,"Class3",41,"H",4.714,54.781,"W"
49,94.12,33.21,97.675,89.297,88,"Class1",23,"A",41.336,39.468,"I"
58,64.44,31.359,55.547,70.833,33,"Class3",32,"W",32.275,-0.498,"F"
67,88.084,27.645,98.053,79.614,71,"Class1",28,"A",72.438,73.952,"X"
86,93.76,34.153,97.107,82.557,71,"Class1",76,"A",49.753,-7.198,"I"
57,86.15,30.733,97.905,88.864,76,"Class1",18,"L",53.898,37.225,"W"
74,55.389,39.016,83.468,19.27,45,"Class2",72,"T",93.857,18.116,"M"
57,71.183,33.296,6.041,75.186,43,"Class3",61,"Q",102.341,42.813,"F"
37,97.584,26.413,98.324,78.956,74,"Class1",45,"L",46.839,73.015,"W"
65,77.917,32.399,26.815,67.556,84,"Class3",NA,"W",68.861,16.056,"F"
65,31.506,34.268,94.958,17.455,68,"Class2",70,"R",94.24,15.797,"L"
64,97.256,31.362,98.97,86.311,74,"Class1",28,"Z",47.921,-1.436,"I"
50,97.559,44.887,97.603,77.193,82,"Class1",69,"B",81.759,35.583,"I"
66,89.116,35.175,98.187,97.559,88,"Class1",66,"B",65.728,-7.313,"I"
62,58.273,42.179,65.05,16.35,86,"Class2",64,"T",93.098,30.793,"I"
64,88.191,28.73,97.247,96.36,71,"Class1",27,"L",73.251,102.434,"X"
18,53.175,46.099,85.299,18.544,55,"Class2",67,"R",94.794,13.582,"M"
48,95.212,31.791,98.248,72.942,84,"Class1",29,"T",42.215,64.345,"W"
64,42.744,38.469,66.593,18.14,52,"Class2",67,"R",94.252,29.619,"X"
71,92.711,39.019,98.411,75.068,83,"Class1",24,"A",62.283,19.467,"X"
