"C1","C2","Output2","C3","C4","C5","C6","C7","C8","C9","C10","C11"
"Z",31.429,"Class3",85.735,"K",37,54.616,37,23.385,76.29,48,27.119
"M",82.947,"Class1",43.925,"X",50,33.982,66,68.425,26.114,28,44.856
"P",38.504,"Class3",84.633,"K",26,77.481,51,14.577,82.474,85,68.062
"H",14.714,"Class2",90.798,"H",82,30.986,69,61.471,34.808,49,28.096
"I",22.012,"Class2",93.543,"G",75,89.182,36,67.385,79.209,45,27.864
"Z",34.207,"Class3",85.906,"F",NA,61.085,54,13.194,43.79,77,89.432
"C",94.225,"Class1",46.629,"C",50,36.051,37,37.885,23.276,22,25.847
"N",87.811,"Class1",87.82,"Q",51,48.862,17,42.699,23.867,67,38.642
"N",90.57,"Class1",18.86,"Y",49,40.313,75,NA,27.388,47,40.824
"M",70.66,"Class1",83.42,"Q",50,41.34,53,69.144,24.154,42,45.206
"I",21.104,"Class2",92.149,"U",80,42.526,11,65.968,64.285,19,28.677
"N",81.283,"Class1",64.803,"G",49,36.567,77,74.522,27.741,23,26.483
"H",21.675,"Class2",93.664,"A",NA,58.367,11,NA,52.683,7,27.87
"I",19.196,"Class2",88.617,"G",82,50.665,57,55.581,20.762,38,28.088
"Y",22.696,"Class2",91.929,"M",78,50.351,34,82.458,60.237,11,27.941
"Q",11.852,"Class2",92.721,"H",81,60.004,34,56.323,73.423,39,28.341
"N",68.862,"Class1",45.867,"Y",51,47.552,22,45.925,29.713,35,60.652
"O",28.779,"Class3",85.49,"G",33,61.055,41,21.197,54.635,71,88.37
"I",17.123,"Class2",93.223,"U",NA,26.609,30,76.308,35.59,60,26.528
"Y",17.679,"Class2",90.254,"A",79,39.264,25,55.092,13.16,18,28.025
"N",89.236,"Class1",20.703,"C",50,39.719,64,82.931,28.481,76,27.849
"M",82.04,"Class1",82.682,"G",53,39.429,55,NA,27.212,49,24.05
"C",46.135,"Class3",85.105,"F",43,34.866,41,81.752,65.857,50,48.871
"Y",19.219,"Class2",92.946,"G",NA,63.029,77,66.691,62.974,58,27.53
"M",106.52,"Class1",60.602,"X",49,42.712,13,61.732,24.247,86,72.857
"Y",97.832,"Class1",41.718,"C",49,43.145,72,82.135,26.886,79,43.72
"P",41.363,"Class3",85.699,"F",28,49.693,56,47.093,73.657,61,22.635
"N",103.699,"Class1",26.236,"Y",49,40.354,23,34.484,23.884,50,38.646
"C",50.692,"Class3",86.159,"F",43,54.861,59,57.571,79.811,54,67.962
"M",82.401,"Class1",85.405,"C",50,40.707,55,74.244,28.889,69,47.557
"C",85.968,"Class1",40.819,"C",49,44.405,48,51.752,25.185,35,49.858
"Y",17.246,"Class2",92.188,"H",78,55.374,26,75.237,31.494,23,28.831
"C",49.732,"Class3",85.945,"K",45,38.228,35,16.664,50.588,77,77.439
"C",57.303,"Class3",85.342,"G",29,66.186,43,NA,51.887,49,78.112
"Q",16.062,"Class2",94.444,"G",79,57.468,55,73.189,34.087,34,26.111
"E",23.21,"Class2",94.338,"G",82,31.116,56,NA,65.204,40,26.297
"C",46.727,"Class3",84.162,"D",27,63.191,36,17.175,87.984,77,62.6
"C",48.237,"Class3",85.533,"K",37,72.372,38,10.835,82.382,39,39.614
"Y",90.949,"Class1",63.727,"Y",51,45.779,15,63.91,28.92,44,60.916
"I",21.316,"Class2",93.715,"H",78,42.647,52,63.209,65.659,52,26.972
"M",81.722,"Class1",35.254,"Q",50,41.072,42,44.8,27.74,59,61.084
"Y",18.273,"Class2",95.278,"H",76,44.744,41,63.691,72.498,9,26.818
"I",14.507,"Class2",91.321,"G",80,68.209,27,56.35,51.845,74,27.761
"P",51.702,"Class3",85.658,"D",29,43.535,46,10.863,52.099,70,45.629
"I",12.434,"Class2",99.144,"A",77,87.843,90,69.934,49.64,72,28.836
"E",9.307,"Class2",89.988,"H",75,46.027,23,57.995,37.387,10,26.119
"H",19.115,"Class2",97.703,"M",79,68.288,68,63.215,23.627,43,26.12
"H",12.934,"Class2",99.573,"G",79,56.015,63,76.582,62.629,52,28.115
"C",81.597,"Class1",83.226,"Y",49,35.47,55,36.443,25.291,33,23.267
"I",19.034,"Class2",90.635,"U",74,50.29,15,75.721,19.19,38,28.101
"C",49.956,"Class3",85.56,"B",40,68.845,58,86.16,61.891,36,88.633
"N",86.688,"Class1",86.857,"G",51,46.037,37,79.284,28.046,32,42.854
"A",53.964,"Class3",85.504,"K",28,69.824,50,57.893,68.013,68,74.152
"Y",75.276,"Class1",64.297,"Q",51,38.213,53,37.717,27.05,61,68.229
"Y",88.229,"Class1",78.49,"Q",51,35.971,14,51.615,29.538,71,45.581
"Z",34.113,"Class3",86.055,"F",31,56.915,49,13.624,75.24,60,49.863
"N",84.497,"Class1",67.676,"G",49,51.311,20,42.471,28.482,18,57.077
"Z",39.142,"Class3",84.763,"B",30,44.927,54,18.399,67.875,54,74.514
"C",43.402,"Class3",84.256,"K",44,60.764,36,15.523,58.598,45,56.658
"Y",23.692,"Class2",78.502,"G",78,14.976,28,67.288,70.831,43,28.293
"C",61.015,"Class3",85.475,"G",36,57.301,59,14.424,46.241,78,18.238
"Y",95.992,"Class1",27.599,"Y",49,33.517,37,64.645,28.727,21,64.755
"C",83.965,"Class1",83.127,"G",51,42.999,74,58.945,28.443,73,32.843
"E",101.666,"Class1",43.233,"Y",49,37.873,72,69.092,23.375,75,25.44
"O",54.249,"Class3",86.374,"F",35,67.359,52,18.823,55.771,52,68.427
"Y",21.146,"Class2",95.356,"H",78,39.14,35,82.554,65.454,35,27.144
"C",43.429,"Class3",84.836,"F",35,48.225,49,82.42,68.812,83,18.578
"I",15.122,"Class2",85.474,"U",75,38.827,38,NA,42.172,42,27.224
"P",34.632,"Class3",84.931,"D",36,76.876,46,71.154,75.591,70,29.81
"P",47.517,"Class3",86.214,"B",41,56.236,58,29.24,54.426,39,77.556
"P",51.499,"Class3",86.058,"G",35,61.684,40,11.767,68.206,77,70.568
"E",79.7,"Class1",80.63,"G",53,44.19,53,81.197,29.813,35,30.872
"N",101.34,"Class1",5.352,"X",50,42.835,45,41.628,23.563,68,55.486
"E",21.258,"Class2",101.904,"G",81,55.463,37,55.002,33.289,45,26.3
"Q",19.891,"Class2",92.489,"U",79,39.393,36,70.22,70.747,25,26.627
"C",59.194,"Class3",85.726,"B",36,52.301,48,11.126,80.409,70,23.943
"Z",51.393,"Class3",84.973,"D",35,60.385,50,NA,65.9,69,41.542
"P",37.963,"Class3",86.211,"F",39,83.654,54,50,49.99,38,87.984
"E",12.497,"Class2",89.043,"U",76,59.946,39,63.02,51.43,69,27.76
"Y",19.502,"Class2",96.454,"U",75,49.585,60,83.114,79.982,16,26.994
"H",18.579,"Class2",101.629,"H",80,24.434,32,72.3,22.057,28,27.036
"Y",83.849,"Class1",64.049,"C",49,38.756,54,51.968,28.16,36,28.981
"Z",53.51,"Class3",85.297,"G",30,43.425,50,72.644,87.263,78,82.736
"Y",19.561,"Class2",85.178,"U",NA,59.324,53,72.899,36.707,34,26.141
"Q",8.67,"Class2",93.361,"G",76,41.456,30,63.887,15.513,51,28.983
"P",47.359,"Class3",85.252,"D",NA,53.317,41,18.861,50.794,65,19.422
"Y",12.117,"Class2",93.917,"H",82,61.35,82,75.49,51.715,11,28.238
"Z",58.044,"Class3",85.643,"D",35,65.802,47,11.689,85.085,45,66.771
"M",93.05,"Class1",51.864,"Y",52,49.269,55,67.429,26.028,59,36.653
"C",87.017,"Class1",96.56,"Y",51,38.967,13,78.843,25.69,21,25.296
"A",23.365,"Class3",85.127,"D",27,71.393,37,10.722,86.917,67,22.869
"Y",14.492,"Class2",101.836,"U",76,53.976,21,66.159,25.966,28,27.179
"N",93.179,"Class1",66.369,"G",53,35.28,34,68.131,29.069,29,35.472
"P",48.867,"Class3",85.4,"G",41,63.656,42,75.666,53.466,32,53.739
"M",86.848,"Class1",56.343,"X",49,35.926,37,54.447,24.693,31,64.127
"C",100.499,"Class1",79.228,"Q",51,47.793,37,45.943,29.707,38,35.776
"A",34.153,"Class3",84.82,"B",37,63.125,36,9.514,75.189,85,24.186
"A",44.282,"Class3",86.187,"F",37,76.394,53,73.006,53.772,83,32.55
"N",91.637,"Class1",89.892,"Y",50,34.621,82,NA,23.104,62,30.233
"C",48.929,"Class3",85.029,"G",30,81.042,36,87.252,81.358,85,88.421
"Z",34.655,"Class3",85.604,"K",44,67.589,50,10.849,71.785,66,86.204
"E",15.778,"Class2",90.092,"M",80,35.234,39,56.284,76.039,23,28.623
"E",94.42,"Class1",38.104,"Y",51,40.394,64,62.213,25.287,65,12.144
"A",55.931,"Class3",85.694,"F",30,98.862,44,57.882,57.613,72,84.071
"E",12.576,"Class2",94.355,"A",NA,49.599,50,77.124,75.644,49,28.759
"E",86.118,"Class1",57.413,"C",51,35.976,32,59.513,27.981,78,23.551
"O",37.152,"Class3",85.57,"D",40,60.994,42,40.708,56.591,37,79.619
"M",91.474,"Class1",72.134,"Q",51,41.362,33,74.399,25.39,30,22.457
"A",36.917,"Class3",85.833,"D",26,60.981,48,78.262,80.087,86,61.37
"H",12.373,"Class2",96.002,"M",77,46.137,56,63.449,53.689,28,28.63
"C",42.55,"Class3",85.889,"D",42,53.544,42,NA,42.16,36,37.728
"Z",39.934,"Class3",85.741,"B",27,50.276,47,72.711,43.561,32,18.296
"E",21.336,"Class2",90.421,"G",78,17.928,18,59.736,21.949,27,27.57
"Y",87.111,"Class1",85.073,"G",50,42.978,76,48.971,28.173,17,56.834
"Q",13.422,"Class2",80.129,"A",79,56.058,86,65.871,73.134,22,26.188
"E",83.277,"Class1",62.055,"Q",49,37.504,11,75.378,25.347,28,26.257
"I",10.599,"Class2",80.438,"G",77,55.565,46,67.876,79.04,19,26.106
"N",72.231,"Class1",42.058,"C",51,39.125,52,45.928,26.295,47,27.527
"P",34.759,"Class3",87.85,"F",38,59.054,59,82.539,62.284,45,27.306
"M",90.338,"Class1",34.361,"X",52,38.417,24,52.437,23.547,69,52.43
"E",19.308,"Class2",89.477,"A",78,34.152,86,60.036,22.771,60,28.858
"I",9.817,"Class2",74.443,"A",76,40.286,15,55.194,52.426,32,26.712
"N",100.111,"Class1",109.407,"C",51,47.798,47,79.416,24.74,24,37.257
"E",80.734,"Class1",15.062,"C",52,43.512,77,60.875,24.523,38,18.75
"Y",13.603,"Class2",95.753,"A",77,77.207,39,81.583,29.865,74,27.476
"A",53.792,"Class3",84.728,"D",31,44.042,58,10.579,72.072,34,82.664
"E",93.537,"Class1",39.733,"Y",52,40.399,17,61.891,27.491,34,12.643
"C",56.47,"Class3",84.335,"F",33,47.709,47,24.522,46.239,77,42.24
"Z",43.441,"Class3",86.822,"F",40,52.795,42,80.493,55.921,69,85.231
"P",48.302,"Class3",86.095,"G",37,53.413,39,82.739,68.853,51,59.662
"C",40.4,"Class3",86.169,"G",31,50.092,50,22.44,46.14,65,31.831
"H",12.808,"Class2",88.359,"H",80,63.965,83,55.892,19.253,25,28.951
"C",32.744,"Class3",86.224,"B",28,48.967,36,40.887,50.411,70,35.868
"O",30.117,"Class3",85.185,"K",33,46.603,54,72.424,84.056,85,45.235
"M",93.509,"Class1",34.389,"C",52,41.283,68,61.522,28.659,32,28.734
"Z",40.791,"Class3",84.976,"F",26,50.108,47,33.768,59.295,42,68.043
"E",86.59,"Class1",50.836,"C",49,34.4,36,67.752,28.252,45,69.031
"C",87.465,"Class1",45.419,"Y",51,37.355,73,54.99,24.499,21,59.885
"I",16.766,"Class2",80.435,"A",79,31.517,36,54.5,35.24,38,28.407
"N",83.043,"Class1",41.262,"Y",51,33.098,17,54.384,28.668,87,64.903
"C",83.191,"Class1",78.239,"Y",NA,32.188,76,60.486,27.53,77,23.384
"Y",89.04,"Class1",25.728,"Y",50,46.178,43,44.5,25.134,67,15.989
"H",13.28,"Class2",88.6,"G",75,64.363,56,80.766,54.049,13,28.617
"Y",74.614,"Class1",86.085,"X",51,37.532,36,67.56,27.852,16,13.965
"Z",44.91,"Class3",87.354,"B",38,71.766,44,42.297,76.256,57,47.952
"C",83.883,"Class1",55.593,"G",51,47.213,70,79.166,29.922,77,22.442
"Z",53.589,"Class3",86.328,"D",39,67.58,47,26.16,62.51,40,38.247
"A",47.064,"Class3",86.425,"F",43,74.393,47,49.499,43.475,41,47.254
"A",36.056,"Class3",86.609,"B",34,76.007,43,16.432,41.952,51,63.948
"O",47.271,"Class3",85.623,"F",26,69.664,39,81.75,57.137,38,54.803
"Q",19.646,"Class2",94.155,"M",NA,57.57,39,74.32,31.251,23,28.344
"Q",28.823,"Class2",57.21,"M",82,35.052,17,67.033,52.082,13,26.383
"P",49.227,"Class3",86.056,"D",36,48.23,51,21.98,74.283,58,80.771
"Z",66.351,"Class3",85.589,"F",29,45.464,35,45.812,47.991,80,41.094
"Y",79.803,"Class1",57.625,"C",53,41.564,18,NA,29.317,73,27.858
"E",16.255,"Class2",93.851,"G",79,45.196,71,82.681,19.254,22,26.343
"I",21.97,"Class2",87.906,"G",NA,60.32,86,81.641,41.319,16,28.295
"H",9.216,"Class2",83.87,"H",74,70.751,85,60.568,51.923,36,28.56
"Z",32.609,"Class3",86.541,"G",28,54.472,43,41.965,66.669,45,21.964
"M",88.444,"Class1",17.063,"C",52,40.866,34,NA,24.032,54,69.662
"H",24.64,"Class2",96.037,"A",74,49.338,48,83.606,59.054,34,27.25
"O",57.395,"Class3",85.38,"F",38,60.495,57,66.049,55.41,52,64.237
"M",104.117,"Class1",54.053,"Q",52,43.495,80,58.15,23.25,80,74.822
"Y",11.426,"Class2",96.373,"A",NA,35.951,32,68.997,27.425,11,28.3
"H",12.152,"Class2",86.248,"G",81,52.309,14,55.372,13.237,46,27.253
"A",46.616,"Class3",84.478,"G",33,54.654,54,20.849,45.879,32,30.942
"A",38.503,"Class3",84.972,"B",39,62.464,49,28.872,55.82,50,79.541
"H",17.591,"Class2",86.698,"M",78,30.688,48,55.203,68.338,19,27.22
"Z",47.38,"Class3",85.105,"F",28,62.072,52,71.269,54.732,76,40.795
"Z",58.01,"Class3",85.292,"G",26,38.85,51,53.16,70.085,60,60.765
"Y",84.793,"Class1",63.241,"X",50,49.475,23,64.969,29.012,78,13.078
"O",42.222,"Class3",86.078,"B",34,64.079,37,NA,85.811,40,69.519
"Q",15.217,"Class2",99.641,"H",80,37.269,74,80.164,66.318,49,26.139
"O",51.049,"Class3",85.007,"F",37,56.252,40,77.763,81.662,56,53.388
"Y",90.349,"Class1",52.768,"Y",50,37.107,83,52.77,28.881,76,46.722
"Y",74.263,"Class1",61.97,"Q",53,42.085,85,43.916,27.903,71,16.925
"Z",47.205,"Class3",86.779,"B",29,68.529,54,4.114,62.609,78,48.55
"A",57.707,"Class3",83.643,"K",32,57.798,50,23.004,72.148,87,62.799
"I",24.61,"Class2",88.538,"G",76,73.594,90,77.872,12.119,72,28.17
"C",48.727,"Class3",85.589,"D",31,62.229,50,36.109,86.04,60,45.88
"E",20.9,"Class2",87.795,"A",80,55.853,22,66.247,31.989,77,26.906
"E",86.76,"Class1",20.488,"C",53,38.952,14,51.715,23.897,62,53.673
"C",90.013,"Class1",94.374,"Y",53,41.078,50,41.462,26.536,56,70.388
"Z",52.152,"Class3",85.447,"B",42,60.683,41,48.066,41.919,44,82.249
"N",92.056,"Class1",60.84,"Y",51,39.151,36,52.244,23.941,84,44.884
"Z",56.941,"Class3",84.028,"G",43,87.818,54,9.422,60.479,38,69.153
"P",56.034,"Class3",85.114,"G",28,49.936,54,61.372,66.609,62,38.472
"Y",19.455,"Class2",91.32,"U",79,73.777,35,77.359,27.662,65,26.958
"C",82.252,"Class1",61.525,"Q",49,40.893,32,82.003,24.502,85,53.005
"H",18.349,"Class2",95.055,"A",81,64.211,56,68.431,66.821,45,26.75
"O",45.891,"Class3",85.204,"B",37,55.095,51,77.711,54.613,79,64.201
"O",45.976,"Class3",85.755,"F",40,56.129,59,3.896,68.633,31,85.239
"I",13.804,"Class2",94.184,"H",76,68.834,84,76.229,17.671,20,26.02
"N",98.138,"Class1",-12.754,"C",50,40.504,33,76.424,24.7,73,26.488
"Q",19.232,"Class2",89.191,"M",81,43.929,21,83.883,34.432,69,28.856
"N",85.046,"Class1",29.135,"Y",49,38.496,29,46.119,26.572,23,72.95
"Z",63.408,"Class3",85.232,"D",38,80.735,52,32.668,70.118,80,40.085
"E",11.807,"Class2",84.088,"M",82,54.225,41,53.803,14.845,40,27.312
"Q",24.474,"Class2",91.026,"M",74,26.777,49,63.418,75.783,24,28.362
"M",84.549,"Class1",11.439,"Y",50,47.586,20,33.322,24.587,24,47.847
"Q",15.559,"Class2",92.21,"A",76,70.554,58,63.762,48.691,15,26.648
"N",94.338,"Class1",58.901,"X",49,40.445,52,46.773,25.748,20,64.659
"E",91.395,"Class1",72.482,"X",53,41.751,43,50.503,23.481,35,33.257
"M",74.239,"Class1",71.773,"C",52,40.83,43,69.073,26.964,14,71.305
"C",89.025,"Class1",16.394,"G",53,44.698,18,37.561,29.827,51,61.982
"Y",83.494,"Class1",38.381,"G",49,47.282,55,69.576,27.012,36,52.287
"O",47.857,"Class3",83.823,"K",34,81.73,52,25.061,83.342,62,82.044
"C",86.965,"Class1",11.621,"Q",53,47.625,75,64.943,27.398,53,25.113
"H",16.8,"Class2",95.104,"H",78,31.537,54,75.64,53.894,47,27.866
"Z",58.552,"Class3",83.942,"B",31,90.376,42,81.246,53.059,40,46.588
"H",23.589,"Class2",95.243,"G",74,42.636,44,59.95,62.936,19,28.4
"C",45.032,"Class3",83.709,"K",37,64.335,44,75.512,78.567,39,27.612
"C",43.105,"Class3",84.761,"K",30,77.664,39,23.206,76.184,87,24.141
"N",93.144,"Class1",58.064,"Q",49,36.032,39,36.905,25.51,30,16.863
"Q",20.392,"Class2",93.835,"M",82,32.325,37,67.33,55.462,75,26.498
"O",51.126,"Class3",85.938,"F",28,45.953,54,14.625,49.848,65,66.937
"Q",18.765,"Class2",86.456,"M",80,66.073,60,74.34,18.317,8,28.13
"P",24.943,"Class3",84.823,"D",41,63.496,57,19.876,45.322,79,68.46
"N",85.105,"Class1",15.168,"Q",49,48.439,24,41.002,26.547,83,65.319
"N",89.56,"Class1",59.282,"C",50,40.295,12,64.325,25.459,78,12.497
"M",82.645,"Class1",53.529,"C",49,39.098,44,37.244,29.668,29,26.564
"E",19.311,"Class2",73.443,"G",77,46.686,92,70.785,37.902,35,28.24
"Y",82.251,"Class1",64.768,"Y",51,37.376,58,73.261,25.703,54,71.848
"P",44.865,"Class3",86.487,"B",37,67.055,54,7.05,52.447,71,90.406
"O",41.434,"Class3",86.24,"F",30,59.85,42,19.4,62.32,60,49.542
"O",48.611,"Class3",85.267,"B",42,53.084,49,43.509,63.106,47,92.891
"N",79.731,"Class1",38.855,"Q",49,39.342,70,82.64,29.016,48,46.004
"C",33.42,"Class3",85.918,"B",30,69.255,47,87.619,68.52,64,85.869
"Y",104.82,"Class1",47.179,"X",50,45.339,25,66.806,24.02,22,33.007
"Z",44.617,"Class3",86.248,"K",32,56.182,43,69.432,45.087,30,58.401
"C",35.071,"Class3",85.56,"G",34,63.094,42,58.048,47.358,30,48.039
"C",52.114,"Class3",86.37,"B",32,52.724,53,82.493,59.357,51,78.792
"M",89.288,"Class1",44.613,"G",52,34.761,21,43.366,25.08,77,66.585
"N",97.145,"Class1",20.743,"G",50,31.969,36,78.928,26.268,57,18.967
"A",35.468,"Class3",84.889,"G",31,58.59,53,64.921,85.356,51,86.065
"Q",9.451,"Class2",90.791,"M",80,44.167,47,64.155,65.011,34,27.172
"I",17.798,"Class2",80.82,"G",77,51.681,23,75.819,55.753,28,28.866
"P",40.084,"Class3",85.353,"D",26,44.066,43,76.123,77.689,34,19.71
"O",35.778,"Class3",85.91,"G",38,58.844,52,87.523,55.404,41,68.811
"E",20.66,"Class2",88.089,"A",81,55.208,58,69.647,31.139,33,27.021
"P",51.533,"Class3",85.945,"G",34,75.262,49,58.939,58.838,85,75.69
"P",58.782,"Class3",85.518,"G",NA,59.232,53,45.623,44.896,50,37.909
"A",55.287,"Class3",86.39,"G",38,49.21,58,31.55,66.766,50,53.265
"E",76.318,"Class1",67.963,"X",52,40.146,59,79.607,28.41,14,66.881
"Z",47.87,"Class3",83.969,"D",43,72.826,48,82.972,79.471,78,27.336
"Y",18.863,"Class2",82.427,"U",80,57.151,30,80.09,69.709,68,27.853
"Z",56.373,"Class3",84.284,"K",27,57.342,45,38.732,87.69,35,37.554
"O",33.971,"Class3",85.415,"D",27,41.608,52,61.195,70.335,40,83.714
"E",14.904,"Class2",93.941,"U",81,57.592,87,76.322,17.536,49,27.355
"E",23.876,"Class2",88.257,"U",78,32.776,35,55.281,46.837,48,27.919
"O",51.247,"Class3",86.151,"B",37,58.821,51,20.383,47.047,39,40.431
"P",42.578,"Class3",84.856,"K",NA,60.758,57,80.044,84.645,50,22.89
"N",84.983,"Class1",33.025,"G",53,39.125,19,77.966,27.553,76,14.757
"H",20.056,"Class2",92.297,"U",82,41.562,68,71.067,58.498,60,28.303
"I",20.442,"Class2",101.637,"U",80,41.821,45,62.739,33.593,23,26.546
"P",49.349,"Class3",85.551,"B",27,63.932,37,18.149,81.591,39,62.225
"E",82.783,"Class1",71.783,"C",50,33.885,49,41.868,24.678,87,54.546
"O",36.533,"Class3",86.137,"K",29,44.133,58,40.75,68.54,64,83.755
"H",29.568,"Class2",105.963,"M",81,48.881,67,66.538,72.183,54,27.911
"N",90.607,"Class1",11.464,"Y",51,43.112,19,42.289,29.023,68,34.187
"M",83.825,"Class1",21.32,"X",49,44.276,24,42.222,27.463,35,70.469
"E",89.855,"Class1",42.365,"G",51,43.749,25,54.557,29.476,66,49.421
"Y",79.339,"Class1",96.549,"G",50,38.77,26,68.824,24.687,45,39.316
"I",17.309,"Class2",87.187,"G",78,62.445,85,61.872,15.75,50,28.94
"E",18.632,"Class2",98.434,"M",NA,65.007,71,75.669,53.453,23,26.067
"E",85.418,"Class1",39.482,"Q",49,41.87,41,79.864,24.037,51,17.388
"O",53.103,"Class3",86.105,"B",29,45.259,43,38.224,64.014,33,64.629
"Q",19.706,"Class2",89.219,"H",75,45.102,17,83.303,40.822,19,27.642
"H",24.356,"Class2",101.352,"U",82,67.797,93,66.442,67.938,36,27.109
"Y",93.447,"Class1",18.383,"X",53,33.837,36,77.903,23.035,26,51.107
"E",78.881,"Class1",51.912,"G",49,36.989,44,66.733,25.805,28,27.639
"I",25.464,"Class2",92.238,"H",76,49.384,47,64.827,17.804,57,28.863
"C",82.853,"Class1",48.601,"X",49,50.171,61,58.708,26.542,63,46.771
"Y",21.346,"Class2",89.891,"G",77,56.573,18,81.671,43.752,11,26.142
"E",93.865,"Class1",36.006,"Y",50,36.952,36,49.201,25.527,63,72.495
"H",19.49,"Class2",97.485,"U",82,41.716,46,75.419,59.118,13,26.472
"E",79.367,"Class1",14.694,"Y",49,37.084,24,59.035,25.317,87,66.864
"Y",15.187,"Class2",91.618,"M",74,56.526,44,79.914,74.382,46,27.881
"N",103.852,"Class1",42.242,"Q",51,45.181,29,NA,27.733,18,20.774
"Y",17.633,"Class2",85.265,"A",80,53.453,38,81.021,24.268,30,28.329
"Q",17.421,"Class2",95.186,"H",74,56.032,73,73.914,17.077,53,27.414
"N",92.909,"Class1",10.617,"X",53,48.549,35,65.488,28.578,23,22.579
"A",49.477,"Class3",84.314,"B",32,45.973,54,50.324,46.318,79,21.806
"I",17.916,"Class2",82.23,"M",74,50.77,27,61.508,74.705,46,28.726
"E",88.98,"Class1",5.818,"Q",50,34.76,20,39.954,27.644,23,64.287
"C",49.135,"Class3",86.423,"B",41,72.99,43,67.343,59.838,76,66.53
"Q",23.777,"Class2",82.716,"H",79,60.573,48,NA,55.815,12,26.695
"Y",25.132,"Class2",81.995,"U",75,73.711,57,63.69,66.95,62,27.336
"N",88.227,"Class1",24.127,"C",50,38.786,14,49.211,24.858,76,24.476
"A",40.583,"Class3",85.137,"B",30,57.378,39,39.443,61.001,31,65.474
"Q",16.976,"Class2",96.11,"A",82,57.3,22,81.748,55.113,65,28.058
"H",12.732,"Class2",90.048,"H",81,47.36,93,65.758,68.392,62,26.071
"O",43.914,"Class3",85.88,"D",37,61.449,38,40.041,73.287,64,21.301
"Z",44.996,"Class3",86.628,"G",30,57.288,39,7.975,60.055,80,40.73
"C",51.719,"Class3",85.186,"B",32,71.299,55,33.014,46.725,31,47.047
"Y",20.723,"Class2",98.488,"U",75,48.92,73,53.142,28.044,40,27.999
"Y",83.559,"Class1",85.35,"C",49,43.546,70,46.924,29.225,63,15.061
"N",90.574,"Class1",88.413,"Y",49,36.325,84,37.465,28.628,56,46.802
"Z",40.93,"Class3",86.7,"B",37,37.182,35,62.826,43.418,45,36.544
"I",8.428,"Class2",85.532,"M",82,63.219,26,74.862,29.218,52,27.173
"M",91.108,"Class1",36.222,"Y",52,45.326,72,78.746,25.745,44,38.736
"Y",15.972,"Class2",89.403,"U",NA,42.252,80,70.091,49.001,8,27.098
"Z",26.234,"Class3",87.133,"B",29,57.614,38,35.362,75.797,33,91.849
"Q",20.021,"Class2",101.948,"G",79,15.172,51,56.048,66.167,11,28.017
"E",11.414,"Class2",86.012,"A",76,43.655,65,71.193,49.389,9,27.138
"Y",91.316,"Class1",67.703,"Q",51,45.563,51,39.525,29.284,52,37.483
"O",37.759,"Class3",86.355,"K",44,47.885,44,45.015,68.293,51,43.364
"E",20.993,"Class2",98.924,"U",75,63.102,71,82.624,45.086,70,26.601
"P",39.593,"Class3",85.876,"F",28,66.047,42,33.754,54.877,38,58.871
"I",24.725,"Class2",92.413,"H",81,58.834,13,NA,40.205,64,27.967
"M",87.337,"Class1",18.787,"C",52,30.137,75,43.7,27.241,54,33.067
"Q",17.989,"Class2",89.793,"A",81,60.682,88,62.796,72.955,51,28.924
"C",87.18,"Class1",95.103,"Y",53,41.935,30,34.294,28.911,71,43.886
"I",20.906,"Class2",86.428,"H",82,58.939,35,72.065,38.744,75,27.558
"P",39.859,"Class3",87.721,"F",43,79.9,42,70.633,79.54,31,82.058
"Y",19.618,"Class2",83.694,"G",75,73.557,12,81.026,63.625,71,26.966
"O",32.977,"Class3",86.115,"F",26,71.793,39,32.31,47.432,55,18.201
"C",87.822,"Class1",13.411,"C",53,34.415,46,36.666,24.982,35,55.507
"C",47.454,"Class3",85.367,"D",39,63.741,52,52.951,78.072,40,88.023
"O",53.796,"Class3",85.243,"D",40,45.302,45,28.952,49.944,69,32.579
"Y",99.087,"Class1",28.61,"C",52,48.298,72,74.609,29.838,18,42.281
"O",55.891,"Class3",85.542,"D",31,68.646,41,54.598,87.285,64,84.637
"M",88.088,"Class1",66.351,"X",51,48.064,49,72.07,26.983,23,24.22
"H",19.049,"Class2",81.662,"M",82,46.118,48,55.112,62.689,69,27.768
"Z",38.535,"Class3",85.576,"K",37,57.88,38,40.67,72.057,36,29.139
"C",55.589,"Class3",87.378,"D",29,42.059,39,57.431,51.111,30,35.44
"O",46.015,"Class3",84.107,"G",36,63.304,56,19.232,78.925,80,84.303
"H",18.525,"Class2",86.865,"G",76,43.25,58,60.921,49.936,59,27.77
