"N1","N2","N3","N4","Output13","N5","N6","N7","N8","N9","N10","N11"
41.382,65.059,"I",67,"Class2",85.863,"X",9.438,14.029,13.245,61,72
87.133,67.482,"C",64,"Class2",44.253,"U",41.466,12.98,30.026,43,75
39.472,51.882,"H",87,"Class1",69.026,"Q",63.675,55.073,62.419,41,68
65.088,101.192,"M",45,"Class3",17.206,"Q",39.779,83.673,54.954,45,75
47.838,51.668,"D",77,"Class1",66.652,"C",72.616,65.37,48.299,40,75
43.596,54.038,"H",75,"Class1",66.101,"O",65.476,54.662,42.912,42,65
21.646,82.495,"R",87,"Class3",48.631,"D",63.789,79.491,56.627,48,77
33.401,69.587,"B",17,"Class4",36.371,"H",51.073,42.487,66.477,8,NA
31.658,34.76,"Y",80,"Class4",33.528,"W",51.15,37.241,62.779,90,91
44.768,66.579,"F",64,"Class2",61.337,"C",66.167,10.427,19.076,44,78
77.17,40.83,"X",40,"Class4",34.419,"H",50.262,25.963,52.897,72,38
79.83,26.883,"B",67,"Class4",31.887,"M",48.343,40.209,50.572,50,40
48.066,68.387,"F",60,"Class2",71.806,"X",41.936,14.173,33.696,56,86
73.329,18.104,"L",97,"Class4",35.243,"W",49.81,49.811,70.312,90,68
84.839,65.586,"I",67,"Class2",65.166,"X",86.79,13.458,18.783,49,91
20.285,63.29,"J",67,"Class2",23.488,"U",47.919,13.1,24.195,42,89
40.442,50.363,"T",95,"Class3",81.421,"L",40.636,83.134,80.192,48,87
36.518,80.324,"R",95,"Class3",42.453,"D",38.856,85.708,58.217,49,72
57.216,65.657,"N",63,"Class2",87.178,"X",72.419,11.346,22.28,58,70
71.064,45.194,"L",71,"Class4",34.095,"A",52.018,39.671,77.251,12,70
77.377,60.234,"D",78,"Class4",35.916,"L",51.026,18.354,68.888,49,86
77.028,56.353,"L",19,"Class4",34.783,"L",50.958,23.105,72.951,33,72
54.601,70.797,"F",57,"Class2",62.989,"U",63.133,15.46,28.511,61,91
36.738,72.196,"F",65,"Class2",53.101,"A",56.679,16.037,27.19,48,90
14.221,101.02,"T",89,"Class3",65.047,"P",34.452,85.672,82.275,45,79
21.74,67.257,"J",65,"Class2",82.181,"C",45.222,17.801,27.724,48,80
52.19,51.303,"T",68,"Class1",62.101,"Q",46.889,60.452,69.137,42,90
20.92,77.393,"N",32,"Class3",45.023,"Q",75.112,81.485,66.804,49,73
79.897,69.661,"N",56,"Class2",61.135,"U",47.696,7.869,19.136,55,78
11.748,56.552,"M",35,"Class3",52.576,"P",56.759,81.996,58.978,46,NA
42.862,67.872,"N",62,"Class2",81.481,"C",25.354,9.627,16.988,50,74
19.336,53.384,"R",89,"Class1",67.923,"C",61.583,62.145,66.625,40,86
70.679,38.676,"B",45,"Class4",35.471,"M",51.369,28.442,62.012,23,90
22.85,53.798,"H",66,"Class1",66.073,"Q",72.71,60.037,66.019,41,70
44.209,66.603,"C",65,"Class2",66.608,"A",84.49,NA,32.992,38,NA
81.832,35.342,"N",48,"Class3",1.513,"D",56.405,76.4,73.668,45,77
27.875,67.012,"I",67,"Class2",70.985,"U",92.522,15.612,25.194,54,91
78.025,75.262,"N",51,"Class3",65.441,"D",77.92,84.282,77.85,46,96
65.722,34.814,"D",41,"Class4",36.088,"L",51.096,54.385,78.939,29,77
72.048,69.633,"N",67,"Class2",95.214,"U",85.411,10.797,21.851,52,100
47.618,52.739,"R",57,"Class1",68.045,"T",68.001,55.231,79.424,42,66
88.792,69.085,"N",61,"Class2",7.902,"D",39.044,NA,18.653,40,96
40.159,52.448,"T",61,"Class1",65.108,"T",63.269,59.472,44.577,41,68
58.552,57.434,"R",40,"Class3",42.654,"E",42.667,81.67,75.757,49,79
78.223,95.969,"L",78,"Class3",11.083,"P",67.434,86.658,60.896,49,98
26.979,71.486,"F",59,"Class2",100.389,"A",88.03,6.259,18.717,50,NA
41.978,65.12,"F",59,"Class2",68.924,"A",23.312,11.339,17.405,41,82
38.189,26.892,"D",81,"Class4",35.442,"A",50.501,20.666,72.254,13,32
16.938,64.05,"F",59,"Class2",32.288,"U",61.047,6.941,18.05,66,98
20.855,68.891,"C",66,"Class2",88.005,"A",45.395,15.911,32.818,58,68
20.897,53.321,"D",89,"Class1",60.742,"C",70.402,NA,85.062,41,66
32.667,67.401,"I",62,"Class2",58.634,"C",29.601,11.558,34.565,50,62
32.203,54.521,"H",95,"Class1",69.448,"Q",64.892,61.291,82.803,40,84
75,24.567,"Y",79,"Class4",34.451,"A",52.796,33.668,67.744,55,46
25.761,8.572,"T",68,"Class3",21.363,"E",42.087,88.034,84.286,48,85
38.494,65.793,"N",59,"Class2",45.504,"U",44.103,8.218,33.829,46,75
39.807,30.913,"Y",42,"Class4",34.312,"A",50.684,17.034,72.701,58,76
15.398,66.22,"N",60,"Class2",103.858,"D",50.78,13.061,28.154,39,77
47.798,25.038,"L",20,"Class4",34.284,"W",51.399,47.93,83.142,62,8
60.253,72.677,"I",58,"Class2",56.568,"A",80.982,17.16,30.18,62,86
37.488,76.689,"L",63,"Class3",52.396,"L",62.745,83.513,61.84,47,96
15.407,51.474,"N",82,"Class3",48.09,"Q",80.853,77.022,68.398,48,89
40.153,-3.29,"N",40,"Class3",41.734,"E",52.97,75.791,82.141,47,77
22.57,52.317,"A",68,"Class1",68.372,"O",69.059,58.233,55.535,41,84
70.581,52.646,"R",34,"Class3",39.988,"P",29.82,94.611,74.92,47,90
53.361,68.405,"C",67,"Class2",43.754,"D",23.023,9.746,30.352,55,73
42.018,50.746,"L",38,"Class3",79.991,"P",68.452,72.31,64.659,48,81
27.209,52.789,"R",84,"Class1",71.688,"T",77.7,NA,71.101,41,76
27.755,53.272,"T",70,"Class1",61.929,"O",55.468,53.312,56.804,42,64
16.394,33.884,"T",44,"Class3",68.029,"Q",62.569,72.301,69.314,49,75
40.442,20.28,"Y",52,"Class4",36.083,"M",50.875,40.694,77.571,77,86
40.5,68.655,"F",64,"Class2",42.987,"U",77.438,12.422,36.082,66,96
57.37,24.783,"D",91,"Class4",33.751,"A",52.531,NA,80.113,90,45
77.951,71.205,"T",78,"Class3",27.178,"D",53.267,83.659,58.212,47,77
36.662,25.819,"X",83,"Class4",36.856,"H",50.99,NA,81.876,67,NA
21.762,68.109,"F",63,"Class2",54.975,"D",37.368,6.696,14.239,66,65
30.003,50.873,"L",79,"Class4",33.623,"M",52.203,33.38,54.966,51,NA
35.014,-11.159,"T",75,"Class3",34.474,"P",50.785,76.546,72.676,46,92
31.388,9.604,"Y",82,"Class4",35.112,"M",50.277,51.288,57.481,27,25
59.644,65.299,"F",60,"Class2",35.945,"X",91.425,7.712,24.535,58,77
69.709,64.12,"N",64,"Class2",43.718,"A",61.481,13.823,21.652,55,66
36.734,45.511,"L",76,"Class3",50.711,"D",66.995,90.319,68.578,47,95
55.069,67.178,"N",67,"Class2",78.284,"D",28.384,6.407,27.6,39,NA
50.058,14.17,"N",81,"Class3",68.337,"P",83.212,94.149,64.492,45,96
77.032,72.708,"I",64,"Class2",67.657,"A",61.789,9.607,17.513,48,98
57.95,41.385,"M",65,"Class3",18.141,"L",45.049,80.771,60.886,46,72
74.878,68.308,"L",69,"Class4",34.064,"H",51.261,44.926,81.209,16,74
42.056,52.1,"H",87,"Class1",63.665,"Q",81.534,NA,53.877,41,77
82.812,-15.049,"T",86,"Class3",65.182,"D",64.255,75.978,59.61,46,85
75.916,47.06,"L",17,"Class4",35.117,"M",52.064,41.433,81.525,72,24
20.625,-14.048,"N",46,"Class3",81.651,"L",65.1,90.203,57.61,49,75
51.215,19.605,"N",52,"Class3",41.964,"Q",53.813,89.788,59.372,45,78
41.9,51.396,"D",60,"Class1",65.696,"T",71.408,51.455,54.847,42,83
27.104,20.316,"M",69,"Class3",57.79,"E",41.54,76.176,55.33,49,87
79.328,54.533,"B",34,"Class4",34.563,"M",51.253,31.893,58.676,71,39
17.714,63.356,"I",66,"Class2",67.749,"A",79.283,17.555,35.759,38,99
29.896,20.576,"Y",80,"Class4",32.174,"A",52.142,25.675,56.236,72,71
37.858,58.232,"R",72,"Class3",-8.991,"Q",66.07,78.475,66.063,46,72
55.417,63.354,"J",58,"Class2",42.962,"U",78.342,10.147,13.752,59,70
59.05,20.69,"Y",89,"Class4",35.604,"M",50.671,50.611,65.451,6,37
46.599,60.737,"L",62,"Class3",31.974,"L",61.912,75.524,57.597,49,94
32.869,38.763,"B",49,"Class4",33.428,"L",50.141,25.528,54.142,23,48
34.585,70.528,"J",67,"Class2",65.288,"D",63.409,10.719,34.043,40,76
51.456,52.77,"R",92,"Class1",64.409,"T",54.593,60.243,49.506,40,74
69.506,28.235,"T",89,"Class3",78.958,"D",54.008,90.38,54.427,45,85
52.513,52.474,"A",63,"Class1",59.568,"Q",75.457,52.721,79.32,40,78
56.886,51.264,"T",69,"Class1",63.376,"T",78.681,51.007,83.863,42,82
26.718,51.473,"T",65,"Class1",64.514,"C",65.921,52.446,54.188,41,82
29.105,53.43,"A",87,"Class1",68.103,"J",70.033,60.359,71.978,42,71
87.326,65.753,"C",56,"Class2",87.704,"D",15.881,17.855,35.338,44,63
44.149,19.388,"X",39,"Class4",33.564,"H",52.955,29.361,80.814,9,46
63.523,88.621,"T",53,"Class3",55.671,"L",73.883,82.771,56.712,48,73
32.09,52.853,"D",77,"Class1",63.44,"J",85.845,54.361,66.742,41,86
61.82,66.552,"J",61,"Class2",56.675,"D",52.955,15.802,13.993,46,68
16.369,68.583,"F",60,"Class2",49.797,"C",53.337,13.97,31.852,40,96
22.204,52.277,"L",41,"Class3",41.859,"E",47.259,86.522,54.857,47,70
43.801,36.102,"M",39,"Class3",53.918,"Q",47.398,74.164,68.63,45,81
74.075,66.159,"C",62,"Class2",31.372,"C",76.129,7.755,19.019,53,64
76.693,20.676,"D",84,"Class4",34.377,"H",52.573,48.396,84.387,16,54
55.805,53.082,"H",59,"Class1",71.295,"O",61.022,55.907,81.356,40,77
46.322,14.468,"X",89,"Class4",34.209,"H",52.353,NA,51.879,53,40
23.522,62.197,"C",64,"Class2",82.99,"A",46.203,9.617,20.839,38,80
29.153,20.456,"L",55,"Class3",65.205,"D",56.629,82.516,75.092,45,83
79.078,62.128,"N",67,"Class2",62.404,"C",47.441,14.225,19.643,46,91
67.042,8.849,"B",20,"Class4",34.925,"M",49.086,NA,70.137,61,NA
67.888,54.106,"B",19,"Class4",34.611,"M",51.974,44.382,85.712,2,61
82.962,34.432,"X",95,"Class4",35.738,"W",52.128,28.536,60.171,79,89
57.522,52.008,"A",81,"Class1",63.774,"J",66.802,65.57,67.91,42,76
73.928,59.027,"L",85,"Class3",42.58,"D",53.257,74.847,56.841,46,93
43.914,42.041,"D",19,"Class4",35.716,"A",53.152,NA,58.477,45,39
82.687,1.66,"X",67,"Class4",33.975,"A",49.898,42.958,76.216,85,20
27.268,38.762,"D",61,"Class4",34.844,"M",51.255,27.964,50.282,68,57
41.605,-5.12,"X",18,"Class4",36.784,"L",51.344,40.323,63.814,37,18
65.741,69.705,"R",29,"Class3",86.103,"E",43.344,87.849,68.223,46,96
50.677,30.08,"D",90,"Class4",34.68,"M",51.138,44.86,75.716,21,40
24.927,51.168,"H",93,"Class1",72.04,"C",67.561,60.103,57.895,41,72
35.11,52.126,"D",61,"Class1",66.152,"J",69.599,58.759,45.565,40,75
18.842,51.978,"T",79,"Class1",68.317,"C",63.881,59.957,62.374,40,81
57.512,52.177,"H",83,"Class1",67.363,"O",64.392,51.037,58.274,40,85
52.529,65.981,"N",58,"Class2",66.224,"X",77.892,13.741,29.334,40,100
52.771,57.821,"L",65,"Class3",43.881,"P",64.843,86.742,69.492,48,86
29.205,51.623,"T",74,"Class1",64.551,"J",82.479,56.566,43.566,40,84
48.883,69.267,"I",58,"Class2",71.72,"C",65.477,11.662,36.792,38,75
81.893,65.301,"J",61,"Class2",53.115,"A",37.639,11.49,35.252,38,68
44.855,32.37,"Y",64,"Class4",34.385,"H",49.588,33.949,85.919,54,36
54.665,52.612,"A",79,"Class1",65.385,"T",79.222,55.016,88.307,40,86
29.503,37.007,"L",91,"Class3",33.767,"P",74.676,89.64,78.206,49,90
14.83,63.656,"I",58,"Class2",77.619,"X",17.114,6.494,36.358,40,76
32.716,8.859,"X",40,"Class4",35.983,"W",52.283,21.799,60.444,47,55
54.039,52.988,"T",90,"Class1",68.011,"Q",74.71,62.697,86.709,42,81
25.087,53.46,"T",63,"Class1",63.307,"O",54.067,60.955,51.071,41,69
29.991,78.713,"R",42,"Class3",60.139,"L",52.927,90.17,74.331,49,71
25.717,53.363,"A",91,"Class1",61.775,"C",87.959,58.946,64.855,41,81
65.309,61.27,"N",53,"Class3",57.607,"D",71.082,77.357,76.198,45,80
56.426,65.818,"F",64,"Class2",61.061,"D",94.389,8.745,21.495,41,81
33.57,0.479,"R",92,"Class3",66.11,"Q",37.205,92.056,64.944,49,83
44.034,50.677,"D",88,"Class1",64.673,"J",60.8,56.595,79.539,41,66
36.083,22.849,"R",70,"Class3",10.543,"D",75.709,75.729,57.589,45,97
29.956,54.909,"H",84,"Class1",65.883,"J",61.463,64.724,65.473,40,73
40.845,69.551,"F",66,"Class2",53.941,"X",53.397,7.894,24.559,41,68
47.017,66.749,"F",57,"Class2",92.763,"A",40.182,7.76,36.59,56,80
72.016,70.87,"J",66,"Class2",74.416,"A",76.484,13.819,26.145,45,94
73.021,69.427,"F",58,"Class2",39.958,"U",47.085,9.86,32.247,44,91
48.814,52.195,"D",64,"Class1",63.716,"T",73.146,58.372,81.765,41,88
62.237,71.889,"F",67,"Class2",67.845,"C",52.884,14.634,29.84,59,87
33.995,52.103,"D",74,"Class1",60.896,"C",85.379,59.824,74.669,40,87
78.922,12.463,"N",85,"Class3",113.394,"E",62.061,73.636,58.48,47,92
70.038,91.992,"R",73,"Class3",39.16,"L",49.038,81.578,74.328,48,95
30.984,31.645,"B",67,"Class4",33.865,"L",49.416,35.124,76.247,33,26
35.315,52.973,"T",91,"Class1",64.095,"C",47.262,59.707,79.669,41,65
61.131,71.556,"L",41,"Class4",34.038,"H",51.951,32.288,54.669,58,80
42.253,14.045,"B",61,"Class4",35.346,"W",49.715,42.706,84.946,22,19
34.232,64.557,"J",64,"Class2",70.032,"C",57.454,NA,19.572,56,NA
29.446,52.317,"A",92,"Class1",63.738,"J",74.874,64.845,86.822,40,71
49.502,30.513,"X",85,"Class4",34.64,"H",52.671,30.211,63.691,90,10
60.537,53.158,"T",93,"Class3",22.244,"P",67.282,83.841,82.943,48,87
49.516,66.452,"N",56,"Class2",63.571,"A",98.368,15.484,12.551,64,69
56.377,51.439,"H",64,"Class1",67.613,"Q",74.075,53.597,57.497,42,91
66.241,10.187,"B",38,"Class4",34.07,"L",47.303,19.142,67.207,60,39
48.481,68.536,"N",62,"Class2",41.164,"U",45.967,17.937,34.18,41,92
74.725,36.783,"Y",45,"Class4",33.094,"L",52.618,49.931,62.943,32,16
72.211,41.017,"T",67,"Class3",68.68,"L",58.003,93.237,69.173,47,70
54.63,46.541,"B",18,"Class4",32.526,"M",51.814,20.737,56.476,39,9
60.223,51.429,"L",50,"Class3",33.488,"L",65.789,83.098,84.203,47,82
84.752,67.488,"N",61,"Class2",83.495,"X",48.053,15.782,27.746,63,86
45.589,51.287,"A",75,"Class1",66.461,"T",81.888,60.264,57.501,42,84
62.552,16.549,"Y",40,"Class4",34.208,"H",52.617,35.374,72.848,63,62
39.402,52.281,"T",79,"Class1",62.966,"C",81.859,57.013,52.194,42,65
18.207,52.99,"H",81,"Class1",68.156,"T",62.604,58.735,41.416,40,83
14.111,68.454,"N",65,"Class2",68.807,"A",39.448,8.157,36.097,64,62
20.984,64.997,"J",62,"Class2",53.333,"U",49.202,13.324,26.094,56,71
77.393,9.364,"L",36,"Class4",33.132,"W",50.118,31.22,58.687,87,18
52.535,54.177,"H",82,"Class1",63.823,"C",53.685,61.961,79.445,41,85
53.824,51.842,"A",65,"Class1",63.169,"Q",63.628,55.591,72.261,41,74
41.495,67.212,"F",60,"Class2",37.856,"D",90.929,NA,13.246,44,85
80.922,18.639,"M",29,"Class3",54.425,"L",48.897,83.449,56.165,49,98
61.983,68.985,"I",64,"Class2",32.515,"D",56.039,6.186,13.367,65,100
36.379,53.076,"R",82,"Class1",66.866,"T",78.891,61.216,70.562,42,71
72.729,65.425,"N",85,"Class3",63.649,"E",66.306,75.179,75.616,48,81
57.011,52.352,"R",68,"Class1",67.179,"J",73.884,57.301,73.858,41,74
21.299,6.047,"L",41,"Class3",8.148,"L",49.341,90.874,63.884,47,84
43.578,79.72,"R",87,"Class3",45.956,"Q",47.603,79.109,62.34,47,93
69.469,66.069,"C",59,"Class2",87.27,"U",63.462,7.572,22.205,46,73
28.245,44.763,"L",17,"Class4",35.048,"L",50.48,37.45,84.709,6,48
45.982,49.96,"D",90,"Class1",65.091,"T",80.858,59.421,50.085,41,85
37.813,54.67,"D",54,"Class4",36.827,"A",51.239,18.136,77.681,63,12
20.769,26.452,"R",86,"Class3",74.732,"Q",55.822,89.293,56.5,46,77
26.438,53.739,"T",81,"Class1",65.357,"J",76.162,65.331,60.326,41,83
67.713,52.851,"Y",48,"Class4",33.994,"H",50.18,38.287,69.483,77,57
78.901,95.15,"N",59,"Class3",86.011,"D",64.403,84.777,60.681,47,89
48.697,53.68,"R",80,"Class1",70.021,"C",84.344,65.413,74.252,42,83
53.841,52.118,"T",65,"Class1",67.223,"T",79.975,54.157,86.025,41,67
20.741,43.66,"M",58,"Class3",38.345,"E",65.103,72.231,64.885,49,80
57.373,51.561,"H",64,"Class1",63.974,"J",60.778,57.867,68.419,42,64
31.192,64.101,"D",88,"Class4",32.177,"L",50.187,51.718,70.992,46,77
30.478,51.16,"A",81,"Class1",66.242,"O",75.559,57.491,79.642,40,89
38.192,102.012,"L",84,"Class3",22.919,"E",62.355,87.838,72.358,49,85
35.864,68.553,"N",60,"Class2",52.327,"A",84.75,8.091,12.067,64,93
33.559,52.434,"T",59,"Class1",70.226,"J",81.984,53.432,78.129,40,76
63.623,50.485,"Y",44,"Class4",32.949,"L",50.644,25.044,73.853,89,57
32.481,52.568,"A",57,"Class1",64.832,"O",81.584,58.854,80.15,42,87
43.151,21.252,"L",43,"Class4",34.891,"L",50.591,NA,52.252,28,7
39.909,64.407,"N",67,"Class2",7.998,"C",73.624,11.465,13.944,42,73
35.734,26.082,"X",71,"Class4",34.478,"M",50.74,23.091,57.445,73,67
38.564,52.884,"H",69,"Class1",65.457,"Q",71.344,58.858,67.931,41,NA
33.57,52.414,"R",81,"Class1",61.343,"T",74.067,59.969,68.367,41,67
22.586,64.959,"N",59,"Class2",31.939,"A",57.942,NA,28.032,49,66
35.453,66.035,"N",59,"Class2",82.865,"X",71.039,10.804,33.414,47,78
16.804,63.842,"C",60,"Class2",59.406,"D",59.667,NA,31.651,49,86
47.269,63.798,"C",64,"Class2",60.223,"A",57.237,16.876,36.741,55,94
68.335,9.13,"L",60,"Class4",35.486,"L",51.26,20.01,70.65,85,62
61.07,61.663,"C",58,"Class2",42.979,"A",59.531,11.184,24.507,58,86
47.693,52.789,"H",65,"Class1",70.407,"Q",62.972,62.828,82.45,42,85
22.74,30.015,"R",41,"Class3",19.839,"L",66.998,91.596,62.882,48,86
70.208,18.932,"T",59,"Class3",47.958,"Q",58.352,91.296,80.558,49,96
27.527,53.802,"D",33,"Class4",34.694,"H",52.481,30.402,78.054,23,9
20.361,52.542,"A",60,"Class1",57.74,"J",62.699,53.362,56.419,42,87
46.537,71.576,"N",33,"Class3",31.977,"Q",69.925,92.461,56.754,47,72
45.202,66.033,"L",70,"Class4",35.176,"A",50.266,36.574,83.582,91,14
55.797,69.884,"J",67,"Class2",92.663,"X",80.177,13.253,29.647,47,93
81.045,19.483,"L",69,"Class4",36.656,"A",52.607,37.717,64.182,60,76
50.759,57.126,"R",45,"Class3",131.888,"L",75.6,77.932,74.409,47,88
58.602,66.665,"C",66,"Class2",117.626,"A",55.699,12.987,16.551,65,96
22.844,60.039,"N",89,"Class3",49.763,"Q",79.867,79.968,82.254,45,99
76.141,65.437,"N",66,"Class2",63.781,"A",61.07,14.629,29.13,62,75
83.986,82.661,"T",35,"Class3",31.876,"P",64.407,90.792,83.788,48,82
31.982,65.232,"C",60,"Class2",94.756,"U",81.575,17.341,23.969,44,81
35.444,33.53,"X",95,"Class4",33.459,"L",51.334,25.421,61.283,40,56
25.635,24.954,"M",31,"Class3",70.831,"L",37.354,76.262,72.968,48,NA
80.828,20.604,"L",41,"Class3",25.935,"E",67.137,80.832,74.387,47,80
34.581,52.087,"R",82,"Class1",64.691,"Q",52.425,52.303,53.511,42,80
62.155,64.287,"F",65,"Class2",70.843,"A",92.749,11.02,32.419,54,92
36.23,65.017,"J",57,"Class2",85.368,"X",16.802,8.168,28.34,43,76
27.044,69.56,"C",57,"Class2",91.802,"X",31.507,15.131,32.203,56,100
37.325,6.968,"B",26,"Class4",32.293,"A",52.389,52.853,57.212,35,69
80.004,69.492,"N",56,"Class2",68.219,"A",49.742,6.143,24.32,61,93
26.093,68.786,"F",65,"Class2",97.765,"A",88.402,16.119,19.903,52,93
27.041,61.928,"F",59,"Class2",67.222,"A",6.715,14.251,34.62,60,65
15.033,62.531,"R",73,"Class3",41.329,"Q",56.224,79.536,75.576,47,92
30.216,46.003,"Y",74,"Class4",35.734,"H",49.076,41.754,68.146,25,80
53.186,61.408,"M",92,"Class3",24.634,"P",59.845,76.612,57.959,46,NA
52.091,39.443,"B",85,"Class4",33.302,"H",48.158,34.37,66.337,79,8
18.994,69.486,"J",63,"Class2",77.407,"X",91.765,9.717,30.35,38,89
26.179,53.712,"H",94,"Class1",66.819,"C",68.536,51.873,57.333,41,70
57.7,53.177,"H",59,"Class1",62.563,"Q",52.833,55.668,75.167,41,73
24.452,53.993,"A",81,"Class1",68.953,"Q",53.267,60.753,75.999,40,77
83.126,68.522,"T",60,"Class3",54.465,"L",51.739,76.394,66.164,49,86
66.207,66.889,"I",66,"Class2",16.041,"X",63.937,10.782,27.68,54,97
41.621,52.319,"A",60,"Class1",62.638,"Q",69.187,59.05,53.683,42,84
58.704,53.131,"A",65,"Class1",67.541,"T",72.318,54.95,51.168,42,84
77.11,68.895,"C",66,"Class2",86.454,"D",49.926,15.768,29.518,57,82
58.341,58.81,"D",43,"Class4",35.842,"M",51.155,28.641,80.36,30,32
16.687,21.429,"R",67,"Class3",6.757,"L",55.833,82.051,59.619,45,83
18.868,52.5,"R",85,"Class1",70.036,"C",71.77,59.527,69.092,41,81
25.194,63.917,"N",63,"Class2",70.565,"D",87.713,12.131,28.53,54,80
60.295,73.981,"L",84,"Class3",29.558,"L",41.038,84.233,77.569,47,85
44.149,21.218,"B",35,"Class4",34.94,"L",48.922,46.301,83.847,91,42
36.336,28.751,"M",95,"Class3",56.627,"D",28.045,88.491,81.115,48,87
12.936,10.89,"L",30,"Class3",43.66,"Q",40.04,81.95,55.283,48,77
27.399,41.965,"L",21,"Class4",33.274,"M",52.884,36.726,63.269,58,85
35.239,49.718,"D",92,"Class1",71.049,"O",71.513,52.711,46.303,42,88
28.694,51.658,"D",81,"Class1",68.158,"T",88.521,51.759,42.879,41,64
55.139,56.734,"T",41,"Class3",-5.879,"P",55.888,94.705,57.568,49,97
82.246,61.084,"B",17,"Class4",34.114,"M",52.879,51.088,82.348,28,42
51.148,51.602,"T",86,"Class1",66.106,"O",89.845,57.079,57.067,42,69
76.548,40.838,"X",82,"Class4",35.897,"L",49.343,NA,76.209,42,45
22.706,54.939,"T",71,"Class3",21.418,"D",72.643,83.714,66.174,49,80
35.005,66.743,"J",61,"Class2",91.099,"C",74.925,14.941,20.417,45,86
82.232,30.18,"B",41,"Class4",34.903,"H",48.977,49.364,68.473,6,49
91.121,72.905,"N",56,"Class2",46.604,"U",36.278,17.387,34.878,48,93
19.805,52.869,"R",93,"Class1",65.295,"O",68.579,53.801,83.431,40,82
26.603,63.751,"I",58,"Class2",35.829,"X",66.713,17.172,17.814,52,71
61.636,32.368,"L",43,"Class4",34.406,"A",52.398,54.42,62.048,21,65
13.951,67.286,"C",64,"Class2",101.847,"U",62.996,NA,31.035,58,92
48.325,22.969,"B",90,"Class4",34.43,"L",50.397,46.518,60.597,66,43
70.74,66.543,"I",59,"Class2",52.769,"D",38.126,NA,28.291,59,85
72.322,51.452,"L",35,"Class4",35.08,"H",49.056,17.561,54.479,5,67
65.395,68.653,"N",65,"Class2",0.092,"C",52.385,8.073,24.122,47,86
62.879,71.026,"T",71,"Class3",55.718,"E",41.867,82.652,63.23,48,86
44.952,9.605,"X",23,"Class4",34.927,"A",49.615,54.392,72.112,31,33
84.844,54.942,"M",94,"Class3",63.568,"E",68.936,94.265,71.368,49,72
43.717,65.231,"J",58,"Class2",72.359,"A",53.355,11.47,34.094,48,64
59.531,17.275,"Y",44,"Class4",34.137,"L",52.164,40.863,69.155,91,26
61.319,54.219,"D",44,"Class4",32.666,"M",52.06,44.891,83.228,15,35
49.33,52.526,"H",64,"Class1",67.516,"O",83.165,57.206,44.582,40,NA
59.74,7.084,"Y",39,"Class4",33.429,"L",49.045,34.302,77.819,84,60
81.319,64.369,"N",48,"Class3",-0.643,"L",44.791,89.644,62.28,49,76
56.663,51.558,"A",84,"Class1",69.326,"T",58.504,64.975,56.014,42,89
63.716,70.869,"N",59,"Class2",72.282,"A",75.366,9.849,27.066,62,98
77.457,77.853,"M",26,"Class3",10.387,"Q",30.471,85.171,77.844,48,75
60.526,54.005,"D",96,"Class4",33.959,"H",50.202,21.728,80.744,44,91
30.529,51.045,"A",80,"Class1",72.21,"Q",64.886,62.951,66.533,42,77
64.148,47.302,"X",94,"Class4",34.264,"W",50.635,17.189,83.944,57,24
47.375,51.616,"T",62,"Class1",66.925,"Q",72.597,63.456,63.712,40,NA
23.517,51.493,"H",61,"Class1",64.561,"O",47.198,61.751,83.921,41,71
27.979,63.516,"B",49,"Class4",35.59,"W",53.017,38.297,63.482,93,13
68.006,48.389,"X",37,"Class4",33.225,"H",51.16,22.293,58.858,22,24
52.562,74.513,"F",57,"Class2",55.09,"A",61.882,11.824,19.175,66,70
72.455,81.856,"T",66,"Class3",42.03,"D",38.785,94.82,55.233,46,91
29.235,54.174,"D",83,"Class4",34.869,"A",52.169,53.889,56.697,93,81
44.872,38.969,"B",35,"Class4",35.667,"W",51.221,26.902,63.577,74,NA
68.082,41.543,"L",76,"Class4",37.155,"M",53.598,47.525,79.265,53,65
50.655,66.315,"F",63,"Class2",69.892,"D",23.18,16.414,21.333,55,94
18.755,66.401,"C",63,"Class2",31.487,"U",65.457,14.981,33.719,62,79
