"S1","S2","S3","S4","S5","Output18","S6","S7","S8","S9","S10","S11"
"J",89.168,16,30.412,51.062,"Class1",73.888,60,"C",37,31.823,77.669
"Z",53.14,86,34.591,11.937,"Class5",23.859,65,"N",67,9.804,65.817
"D",56.568,64,42.166,28.708,"Class3",64.914,69,"A",45,61.47,41.998
"B",30.147,54,37.161,37.444,"Class3",28.697,63,"A",47,71.81,39.3
"D",23.637,46,47.27,34.287,"Class3",51.25,71,"Q",46,68.819,46.611
"C",60.801,60,24.748,64.762,"Class2",15.412,38,NA,64,40.179,8.619
"N",46.426,60,48.25,25.355,"Class3",44.3,67,"O",47,64.235,48.02
"J",80.756,15,36.754,54.821,"Class1",83.766,52,"I",38,29.977,85.374
"S",65.965,38,63.97,62.683,"Class4",7.067,20,"I",87,37.442,88.844
"M",44.891,87,31.413,13.374,"Class5",73.811,35,"A",31,68.325,57.077
"D",39.615,40,38.275,34.59,"Class3",45.847,68,"A",46,60.101,45.77
"N",47.726,54,45.057,35.415,"Class3",52.852,69,"A",45,63.227,39.572
"Z",58.647,34,21.913,85.999,"Class2",35.903,37,"Q",58,49.61,7.722
"X",23.472,90,39.767,16.988,"Class5",41.431,71,"N",73,13.168,73.032
"D",36.539,56,48.252,45.062,"Class3",52.935,68,"Q",47,62.818,44.692
"X",48.844,38,20.072,84.997,"Class2",6.766,37,"A",61,41.76,93.121
"D",59.73,43,24.968,80.526,"Class2",32.517,36,"F",54,45.524,71.113
"X",35.595,89,39.726,15.453,"Class5",26.435,77,"L",18,40.035,57.697
"R",59.477,26,32.571,81.916,"Class2",34.849,39,"O",68,47.81,77.987
"Z",62.066,55,30.726,94.872,"Class2",10.67,39,"F",60,38.079,35.415
"Z",38.152,94,30.178,13.67,"Class5",80.477,20,"H",16,4.899,58.666
"M",77.632,53,34.763,55.548,"Class1",87.874,48,"G",31,46.987,78.604
"H",80.554,29,34.637,57.278,"Class1",73.51,58,"E",31,44.097,69.892
"M",44.679,88,24.425,17.649,"Class5",27.157,35,"L",32,43.329,67.42
"Q",37.956,53,40.458,37.226,"Class3",65.908,69,"Z",46,70.476,43.519
"R",61.362,33,21.791,86.048,"Class2",21.885,36,"F",49,50.489,-7.665
"M",36.233,26,76.082,57.234,"Class4",27.804,33,"W",75,38.088,60.033
"M",79.657,3,33.287,48.543,"Class1",76.402,36,"C",30,32.134,76.1
"K",76.881,38,67.747,69.389,"Class4",44.308,24,"V",89,38.539,76.872
"K",28.602,49,72.679,73.026,"Class4",38.556,26,"V",85,40.062,85.278
"R",64.991,32,27.939,67.884,"Class2",11.284,39,"C",70,51.574,46.749
"Y",52.894,92,26.117,22.13,"Class5",51.735,72,"L",59,17.382,61.517
"Z",65.155,24,33.56,86.686,"Class2",10.724,37,"Q",58,43.657,38.122
"M",44.783,88,45.359,16.98,"Class5",37.928,30,"B",56,61.791,64.757
"X",75.581,93,42.034,10.66,"Class5",58.87,38,"N",69,61.896,68.55
"D",20.131,51,42.571,39.589,"Class3",29.031,70,"O",47,71.953,41.727
"R",58.361,22,29.304,84.196,"Class2",40.8,40,"Q",54,38.323,67.493
"M",60.557,56,65.241,64.843,"Class4",39.927,26,"S",78,43.426,77.607
"X",64.161,45,25.346,61.803,"Class2",40.806,37,"O",72,52.768,74.217
"C",54.612,25,23.256,82.639,"Class2",14.341,40,"O",53,38.28,50.253
"J",95.924,18,38.146,49.228,"Class1",90.838,39,"I",35,34.842,80.037
"M",83.937,7,32.515,46.785,"Class1",78.857,61,"E",40,37.631,75.733
"K",62.119,34,70.519,65.298,"Class4",40.249,33,"W",82,36.862,88.636
"X",24.122,61,66.663,59.215,"Class4",6.351,24,"S",70,43.314,87.409
"J",47.341,51,76.853,73.493,"Class4",28.963,38,"V",76,39.624,68.242
"Z",25.265,90,32.526,15.25,"Class5",53.165,29,"A",69,41.77,66.488
"D",NA,41,39.359,44.791,"Class3",38.321,71,"W",46,66.792,43.481
"Z",58.149,48,19.161,86.149,"Class2",12.23,38,"C",70,44.331,70.688
"M",33.069,80,26.706,19.152,"Class5",68.387,59,"N",34,49.953,77.172
"Q",20.907,52,44.759,40.059,"Class3",34.508,62,"O",47,65.635,40.865
"Q",NA,44,34.384,57.862,"Class1",96.286,51,"I",41,48.535,73.897
"N",43.665,63,42.084,49.839,"Class3",50.091,71,"W",45,61.803,39.298
"Q",13.343,59,47.868,33.823,"Class3",48.156,75,"Z",45,59.553,42.697
"Y",20.326,92,26.215,13.193,"Class5",46.758,59,"N",72,28.951,64.565
"S",47.895,75,73.206,66.905,"Class4",22.42,30,"W",85,34.182,76.917
"Q",20.897,51,44.915,27.598,"Class3",41.411,63,"Q",45,64.71,42.32
"J",79.907,9,34.348,56.834,"Class1",74.762,55,"C",39,33.856,77.247
"M",2.722,87,27.785,8.947,"Class5",28.701,34,"A",49,33.537,63.398
"Z",58.043,80,35.97,13.445,"Class5",61.161,72,"A",64,16.13,69.101
"Q",89.517,27,36.876,60.806,"Class1",91.395,39,"E",33,47.189,69.486
"Q",93.38,18,31.851,57.892,"Class1",93.152,48,NA,30,42.797,73.54
"Q",22.403,55,48.426,41.044,"Class3",41.967,65,"A",46,72.962,44.687
"X",23.914,82,25.712,21.957,"Class5",73.601,42,"N",39,40.986,67.938
"Q",88.535,32,29.147,57.988,"Class1",77.87,39,"S",41,32.096,69.387
"C",56.769,41,32.521,70.062,"Class2",23.07,36,"F",52,43.716,50.332
"I",14.774,89,34.181,11.237,"Class5",32.315,27,"B",15,45.191,64.086
"M",81.854,16,32.233,52.134,"Class1",92.099,61,"S",31,42.611,81.92
"C",58.89,37,28.798,72.555,"Class2",4.657,40,"A",67,46.774,81.583
"C",60.649,44,31.781,48.23,"Class2",23.946,38,"C",51,44.763,38.747
"H",89.295,46,40.709,57.229,"Class1",92.488,55,"G",39,46.242,81.236
"Z",25.682,94,33.275,12.602,"Class5",76.152,32,"B",24,12.418,61.92
"C",60.974,47,38.282,40.665,"Class3",31.237,69,"O",46,63.718,44.84
"X",59.33,32,19.061,75.85,"Class2",25.441,38,"F",51,37.328,18.835
"M",89.77,43,28.221,57.89,"Class1",92.532,59,"E",35,48.056,77.744
"M",84.754,40,33.519,49.442,"Class1",91.93,48,"E",36,48.904,84.345
"Z",55.2,38,21.547,89.473,"Class2",41.625,36,"F",63,37.586,34.123
"C",52.194,26,34.186,108.649,"Class2",33.559,39,"C",55,50.334,50.132
"M",NA,67,63.906,70.738,"Class4",40.26,25,"O",85,42.13,77.049
"C",65.342,57,31.4,64.738,"Class2",27.564,40,"C",50,38.356,56.206
"S",49.803,44,66.253,58.516,"Class4",30.659,23,"W",72,38.387,86.565
"J",86.49,19,42.769,45.332,"Class1",90.117,46,"E",41,47.424,71.557
"R",48.59,58,32.777,65.888,"Class2",18.241,38,"O",72,51.98,86.168
"D",19.693,64,45.83,37.236,"Class3",63.987,76,"Z",45,71.394,40.292
"Z",69.96,89,25.655,10.988,"Class5",67.23,56,"N",52,62.916,69.93
"X",52.719,33,30.574,78.275,"Class2",21.302,39,"Q",54,40.419,93.247
"B",28.048,55,48.863,37.246,"Class3",59.332,65,"O",47,67.607,46.082
"H",83.965,3,29.482,55.36,"Class1",87.969,57,"G",41,35.94,74.804
"K",59.785,41,66.924,70.87,"Class4",37.895,18,"V",86,42.062,90.046
"H",75.591,49,29.24,49.574,"Class1",86.611,31,"G",31,33.12,75.834
"B",36.901,47,44.503,31.863,"Class3",29.684,71,"A",47,70.425,42.89
"K",56.859,41,74.812,70.86,"Class4",37.785,35,"O",67,38.967,72.152
"B",63.014,48,40.809,39.656,"Class3",53.544,63,"O",45,60.5,41.689
"D",53.972,43,46.759,38.582,"Class3",52.783,75,"O",45,61.789,42.928
"I",26.793,86,29.865,16.857,"Class5",32.043,34,"B",65,11.488,62.249
"X",53.679,88,25.714,11.007,"Class5",70.914,41,"B",70,72.273,69.162
"D",63.035,55,23.221,57.959,"Class2",24.186,37,NA,48,50.289,35.356
"R",58.914,41,24.037,99.502,"Class2",38.164,37,NA,67,41.179,82.528
"M",17.272,89,24.024,17.289,"Class5",74.667,60,"H",58,38.12,65.858
"M",37.412,36,74.876,75.153,"Class4",6.514,35,"I",76,35.398,76.107
"D",NA,59,34.166,82.646,"Class2",17.347,37,"A",52,50.865,58.872
"C",55.006,22,18.015,64.491,"Class2",28.177,36,"Q",48,40.995,44.989
"B",NA,41,48.612,37.04,"Class3",50.347,72,"A",45,73.383,41.14
"N",49.367,57,47.419,41.316,"Class3",62.938,67,"O",47,65.429,48.557
"C",53.945,43,40.165,32.104,"Class3",62.019,64,"Z",46,65.892,41.631
"Z",0.022,87,24.627,16.206,"Class5",57.984,26,"A",72,74.607,60.655
"J",60.024,30,63.263,58.562,"Class4",31.298,26,NA,89,37.194,74.488
"X",90.256,66,71.639,77.255,"Class4",35.461,25,"O",68,41.02,89.337
"D",59.795,45,22.033,68.571,"Class2",32,40,"C",65,46.531,46.213
"M",29.043,88,38.228,9.185,"Class5",41.262,51,"A",49,47.876,68.255
"C",37.856,53,41.336,47.623,"Class3",47.973,71,"Q",45,68.71,43.713
"J",76.781,27,43.817,52.738,"Class1",85.786,47,"G",39,36.214,79.674
"Z",NA,84,28.448,15.807,"Class5",43.177,79,"A",24,8.914,67.89
"D",34.773,55,40.627,29.398,"Class3",29.494,74,"W",45,62.991,40.415
"G",87.441,19,34.325,50.504,"Class1",76.43,31,"C",33,30.593,72.832
"X",52.538,25,32.154,76.732,"Class2",36.636,36,"F",71,44.132,-0.311
"X",16.02,95,31.936,15.161,"Class5",64.099,58,"B",42,73.921,74.471
"C",21.04,52,37.066,30.275,"Class3",33.364,75,"Q",45,62.747,38.813
"N",36.082,41,40.874,43.563,"Class3",29.97,73,"Z",46,70.097,46.239
"X",54.849,73,76.268,59.85,"Class4",45.328,33,"O",75,43.903,90.865
"G",85.048,39,26.384,44.444,"Class1",95.633,56,"S",39,31.932,76.956
"J",91.512,50,38.664,58.382,"Class1",72.748,31,"S",34,33.24,65.904
"K",21.909,56,61.229,66.431,"Class4",11.749,25,"S",67,37.919,95.758
"G",83.271,28,37.623,61.62,"Class1",66.737,57,"G",33,39.167,90.203
"M",NA,81,43.704,19.017,"Class5",58.545,44,"L",51,33.456,72.328
"H",98.114,42,34.055,57.274,"Class1",75.365,62,"E",34,36.242,74.303
"D",44.305,45,38.958,47.88,"Class3",61.995,63,"A",47,73.521,40.139
"Z",54.779,40,32.88,73.698,"Class2",33.16,39,"C",66,49.001,39.318
"C",32.434,42,43.683,46.881,"Class3",50.477,68,"A",46,70.208,42.808
"M",17.318,86,30.325,26.597,"Class5",31.293,49,"L",35,67.333,64.986
"D",19.481,46,40.981,34.326,"Class3",42.986,73,"W",45,69.706,39.69
"I",37.743,86,44.163,12.912,"Class5",28.732,43,"B",63,71.441,67.58
"M",54.942,59,72.188,58.23,"Class4",30.978,29,"S",78,40.114,61.481
"Q",94.278,50,30.274,56.64,"Class1",69.042,60,NA,32,48.593,86.363
"Q",30.953,55,44.317,39.747,"Class3",54.092,63,"W",45,70.784,47.53
"M",82.51,22,38.41,54.408,"Class1",81.252,46,"G",35,48.835,78.229
"C",64.808,43,31.204,72.221,"Class2",20.439,40,"A",72,46.513,46.135
"S",65.763,63,72.654,65.801,"Class4",4.897,21,"S",69,41.373,92.98
"Z",54.329,32,17.003,58.638,"Class2",20.554,36,"C",58,43.503,22.148
"D",32.577,44,41.663,36.324,"Class3",62.574,64,"Z",46,72.076,47.918
"Z",57.618,51,34.414,90.747,"Class2",40.951,37,"Q",59,34.737,23.41
"S",79.223,44,73.857,60.824,"Class4",17.165,34,"W",67,36.746,87.81
"X",43.123,94,37.251,23.402,"Class5",66.092,73,"H",43,34.815,64.981
"X",45.458,55,74.943,66.645,"Class4",38.626,37,"W",86,38.491,81.378
"D",53.195,37,20.719,62.593,"Class2",27.321,38,"O",70,45.725,9.629
"Z",52.685,41,29.254,73.361,"Class2",16.282,38,"C",61,39.492,41.64
"D",52.343,53,24.994,70.797,"Class2",23.779,39,"C",58,45.495,25.888
"C",45.586,45,47.036,38.224,"Class3",36.357,62,"O",46,62.928,47.338
"B",36.469,44,48.587,49.195,"Class3",47.856,66,"Q",45,68.541,41.494
"X",50.428,80,35.447,17.928,"Class5",76.425,61,"H",28,13.894,52.183
"D",NA,48,44.042,32.936,"Class3",64.343,64,"Q",46,60.989,49.241
"M",85.753,48,41.472,55.973,"Class1",93.246,40,"E",32,45.079,77.573
"C",54.87,21,33.437,79.032,"Class2",6.561,38,"A",68,35.908,15.537
"N",39.652,46,39.88,50.708,"Class3",50.305,62,"Q",46,66.996,36.634
"R",48.694,21,22.12,90.487,"Class2",35.774,40,"C",65,48.958,22.633
"S",60.227,70,75.683,67.265,"Class4",10.928,23,NA,90,39.418,82.461
"Z",10.191,92,24.133,16.098,"Class5",38.453,32,"B",56,72.059,63.742
"J",85.656,10,32.996,49.195,"Class1",79.407,38,"S",33,42.751,81.98
"R",NA,36,20.782,83.112,"Class2",7.179,38,"C",55,40.733,8.267
"J",72.515,31,41.273,46.695,"Class1",89.853,60,"I",36,37.359,81.261
"C",55.932,39,23.969,75.135,"Class2",41.306,36,"Q",53,34.014,37.386
"J",80.655,35,34.359,53.558,"Class1",74.236,30,"C",38,41.79,74.598
"R",65.348,36,27.073,72.856,"Class2",31.15,38,"F",65,40.571,22.602
"G",83.312,45,44.844,63.69,"Class1",85.637,45,"G",34,48.682,72.123
"M",7.907,95,40.27,14.429,"Class5",48.329,34,"L",57,70.269,58.895
"D",65.529,57,32.376,80.721,"Class2",40.882,37,"C",69,49.983,13.793
"M",94.059,38,38.768,57.925,"Class1",76.072,48,"I",39,44.29,84.214
"M",94.417,47,44.548,65.088,"Class1",66.765,50,"S",33,35.92,74.112
"N",41.744,48,40.238,39.318,"Class3",53.07,65,"A",46,71.847,42.52
"S",65.182,65,71.336,73.327,"Class4",10.518,32,"V",82,40.455,78.552
"Y",21.315,88,46.761,16.136,"Class5",39.068,46,"N",42,6.153,65.087
"D",60.856,48,18.496,49.109,"Class2",15.047,36,"O",56,38.194,68.541
"H",95.23,46,28.657,57.838,"Class1",86.333,46,"G",41,33.624,76.997
"J",93.773,29,33.359,50.465,"Class1",80.616,47,"I",34,48.952,77.791
"J",81.87,25,38.586,56.155,"Class1",81.237,56,"C",40,35.462,78.794
"M",57.204,56,62.092,66.456,"Class4",36.344,22,"I",89,41.708,90.48
"D",33.676,49,40.866,45.997,"Class3",60.328,66,"A",47,59.203,40.56
"X",55.189,27,23.119,86.137,"Class2",41.665,39,"C",50,48.825,32.862
"D",56.668,42,27.313,87.674,"Class2",17.587,36,"F",48,49.273,4.45
"M",9.065,83,30.149,15.863,"Class5",35.455,54,"B",68,4.94,77.642
"Z",64.303,23,31.641,78.471,"Class2",31.49,39,"F",56,48.565,14.615
"Y",45.275,89,29.129,17.346,"Class5",32.691,76,NA,64,39.309,71.596
"J",46.418,25,64.381,58.105,"Class4",14.124,20,"O",73,42.667,79.013
"G",79.984,15,36.555,48.278,"Class1",81.531,51,"I",41,30.538,76.568
"X",16.151,85,34.087,14,"Class5",40.599,29,NA,25,3.733,53.628
"D",44.368,66,37.18,34.759,"Class3",60.029,76,"Q",47,63.332,38.099
"H",85.967,47,31.217,46.132,"Class1",70.07,31,"G",30,38.093,73.421
"D",28.582,56,48.35,27.578,"Class3",65.011,63,"Q",45,69.179,46.948
"C",53.646,58,20.686,89.085,"Class2",5.079,38,"O",57,38.65,64.003
"S",45,52,70.547,67.384,"Class4",40.274,28,"W",65,37.29,80.227
"X",62.443,39,33.59,88.444,"Class2",8.604,37,"O",48,35.814,28.494
"D",43.635,43,38.391,51.325,"Class3",56.914,61,"W",45,71.695,40.312
"M",94.482,39,36.413,56.51,"Class1",70.171,43,"C",41,44.261,79.573
"Q",86.857,6,40.609,54.413,"Class1",67.625,35,"E",38,35.431,85.571
"X",46.049,40,75.861,64.279,"Class4",29.587,33,"I",81,41.123,80.738
"X",47.694,52,67.723,70.966,"Class4",27.591,31,"O",89,42.195,72.251
"R",70.199,61,30.929,83.483,"Class2",30.848,36,"Q",64,35.291,42.38
"D",53.217,32,19.532,69.821,"Class2",0.629,38,"O",57,34.767,42.145
"K",78.203,54,75.042,68.941,"Class4",29.802,38,"O",77,36.55,72.784
"N",43.081,46,43.46,41.75,"Class3",31.601,67,"O",46,68.684,43.058
"G",83.545,26,33.72,54.325,"Class1",68.206,32,"G",30,43.211,80.464
"Y",-9.372,94,26.179,12.076,"Class5",34.428,71,"H",60,8.814,55.863
"M",56.144,78,63.266,67.596,"Class4",8.58,25,"S",82,40.345,65.942
"Q",39.592,59,44.043,35.507,"Class3",43.725,65,"Q",47,73.427,38.359
"M",48.373,83,29.167,15.996,"Class5",82.636,37,"B",23,48.374,72.654
"K",61.759,85,62.942,75.766,"Class4",6.165,19,"W",74,39.055,83.421
"I",8.439,81,33.806,13.625,"Class5",27.075,73,"A",75,25.886,60.267
"X",52.042,48,34.686,78.963,"Class2",7.618,37,NA,69,39.752,29.437
"G",80.684,20,40.607,61.294,"Class1",83.396,45,"E",39,47.196,81.061
"J",85.797,32,73.42,67.864,"Class4",34.09,31,"W",82,36.645,70.632
"Y",26.615,92,29.017,13.604,"Class5",31.639,44,"B",34,72.506,65.87
"S",43.926,28,76.885,63.943,"Class4",8.304,18,"O",77,36.455,50.612
"S",55.572,60,65.403,75.099,"Class4",41.7,24,"S",70,35.142,79.034
"Q",90.748,24,34.029,64.171,"Class1",92.818,38,"E",36,30.154,72.687
"Z",70.132,81,29.058,11.495,"Class5",45.549,63,"N",68,38.614,63.426
"Q",66.641,63,47.065,35.441,"Class3",51.17,63,"A",45,65.716,38.75
"C",53.17,39,33.089,82.515,"Class2",33.755,36,"Q",68,43.295,43.998
"D",35.386,62,42,35.453,"Class3",68.092,65,"Z",47,73.42,43.818
"Q",87.948,42,43.232,51.222,"Class1",86.449,50,"E",34,46.519,70.59
"N",37.148,57,42.663,40.956,"Class3",44.23,66,"Q",46,71.153,43.147
"Q",28.054,54,45.133,45.117,"Class3",70.298,71,"A",47,65.931,45.773
"K",NA,57,61.166,63.945,"Class4",8.881,24,NA,78,34.358,79.756
"Q",27.683,54,40.435,32.071,"Class3",36.754,61,"A",47,62.38,39.308
"C",35.709,47,41.914,29.388,"Class3",49.569,68,"O",45,70.033,45.896
"D",60.568,33,29.438,78.638,"Class2",28.773,40,"A",68,49.14,48.196
"Y",19.972,94,40.467,17.532,"Class5",79.059,62,"A",76,13.54,73.729
"N",46.206,55,41.865,30.561,"Class3",30.96,63,"Q",46,61.754,39.235
"Q",35.732,55,48.313,39.077,"Class3",61.283,72,"O",47,71.425,41.391
"M",60.746,86,39.903,19.032,"Class5",21.846,40,"L",20,9.18,75.186
"J",87.31,31,43.019,52.49,"Class1",85.979,46,"I",34,35.186,82.837
"I",28.772,90,44.115,18.715,"Class5",25.405,51,"A",57,48.866,62.85
"J",94.903,44,35.364,47.61,"Class1",94.371,30,"I",40,29.688,68.975
"M",91.466,13,26.985,51.828,"Class1",87.109,61,"G",36,42.587,69.245
"I",40.83,85,29.368,11.957,"Class5",27.963,48,"N",68,22.966,74.277
"C",52.983,49,45.219,40.185,"Class3",54.081,63,"O",46,60.695,42.975
"D",49.506,45,40.002,30.485,"Class3",37.61,73,"W",46,69.399,38.139
"X",44.668,82,24.533,24.81,"Class5",61.436,37,"A",47,42.623,65.726
"M",36.81,43,72.136,67.04,"Class4",35.022,25,"O",65,41.107,92.966
"G",85.189,3,26.151,64.691,"Class1",89.023,31,"E",42,43.426,78.143
"H",87.268,39,29.553,51.941,"Class1",69.711,56,"I",33,30.907,75.936
"D",NA,24,29.019,94.306,"Class2",41.51,36,"O",58,44.041,49.318
"J",80.715,12,42.259,49.9,"Class1",83.534,61,"G",33,35.733,77.393
"D",59.446,61,31.27,83.648,"Class2",17.623,37,"C",65,48.35,73.703
"B",36.703,41,43.342,26.898,"Class3",65.08,73,"Z",45,59.444,44.508
"X",46.863,43,68.325,69.015,"Class4",45.142,23,"S",79,38.862,69.364
"M",55.107,90,45.659,26.335,"Class5",49.22,70,"N",49,56.327,68.705
"S",57.593,45,75.851,60.47,"Class4",35.857,37,"W",83,38.659,97.83
"X",68.364,89,24.578,18.414,"Class5",68.709,29,"B",17,29.588,63.368
"D",40.028,55,46.031,34.623,"Class3",55.4,68,"A",47,73.989,35.935
"M",64.273,33,67.18,68.876,"Class4",36.162,27,"W",84,42.334,69.473
"X",NA,27,71.077,70.462,"Class4",45.717,28,"V",86,41.156,90.356
"Z",52.369,20,29.811,77.578,"Class2",31.816,36,"A",71,37.787,40.016
"K",56.044,83,67.707,67.321,"Class4",46.599,21,"O",88,39.244,65.93
"M",51.709,86,39.858,12.583,"Class5",55.559,58,"B",30,47.486,69.321
"C",25.422,42,40.548,27.255,"Class3",64.99,72,"Z",47,63.752,48.211
"D",63.472,25,33.369,59.53,"Class2",21.732,40,"C",67,46.452,24.653
"Q",85.254,42,31.225,46.479,"Class1",83.798,34,"C",34,47.615,74.499
"G",87.283,48,35.54,53.968,"Class1",73.481,55,"G",35,30.142,78.929
"B",48.198,54,38.623,47.699,"Class3",59.553,72,"Q",45,64.325,46.465
"Z",77.972,82,41.562,15.421,"Class5",76.79,27,"N",28,11.715,60.303
"H",78.408,6,32.336,61.543,"Class1",94.818,36,"S",32,41.702,80.923
"C",59.238,38,17.476,82.291,"Class2",41.87,37,"F",55,39.271,99.79
"G",92.76,41,31.854,55.676,"Class1",66.535,39,"I",42,46.302,79.504
"B",31.765,40,40.193,32.761,"Class3",37.691,66,"A",46,70.233,42.901
"S",54.468,44,66.056,75.183,"Class4",45.946,30,"W",73,42.118,79.45
"M",56.304,46,74.176,67.325,"Class4",44.972,18,"O",81,40.277,90.068
"X",44.704,41,75.438,62.644,"Class4",18.174,22,"V",73,35.509,69.841
"M",21.501,81,27.777,12.433,"Class5",66.446,69,"L",73,10.446,57.068
"Y",22.653,80,30.096,13.633,"Class5",47.369,46,"H",42,34.233,69.132
"D",64.735,55,24.606,65.78,"Class2",39.224,37,"Q",65,38.768,51.593
"J",65.244,61,66.475,64.204,"Class4",25.134,23,NA,88,40.863,70.314
"C",51.198,57,45.121,34.492,"Class3",47.373,71,"Z",46,70.908,37.852
"Q",89.472,17,32.906,51.486,"Class1",83.621,60,"I",35,37.53,79.013
"K",56.274,59,67.015,66.996,"Class4",18.229,38,"V",68,43.691,63.946
"D",45.841,60,25.35,66.399,"Class2",9.971,37,"Q",55,48.064,57.839
"C",44.067,47,46.116,48.312,"Class3",56.117,64,"A",47,72.673,46.28
"G",94.859,19,37.278,42.464,"Class1",81.992,39,"S",40,37.658,75.312
"J",92.576,10,27.955,52.67,"Class1",72.045,57,"C",30,35.359,70.097
"M",21.032,84,30.298,12.325,"Class5",53.066,20,"A",70,29.49,57.724
"C",43.422,61,43.362,34.398,"Class3",60.051,73,"A",46,72.849,44.381
"X",62.347,80,31.911,9.801,"Class5",30.846,50,"N",53,65.971,62.275
"X",46.562,83,46.844,12.414,"Class5",46.625,51,"N",28,58.704,61.015
"C",59.43,42,17.297,85.518,"Class2",24.498,36,"O",50,37.168,70.669
"K",68.59,45,76.445,62.015,"Class4",34.339,27,"W",70,40.123,77.501
"J",88.18,45,32.517,39.142,"Class1",76.476,41,"E",32,45.028,77.955
"K",51.951,39,65.278,72.823,"Class4",23.236,37,"I",66,37.277,96.49
"S",78.661,78,70.788,57.441,"Class4",22.684,37,"I",71,38.031,79.222
"Q",45.159,50,37.505,23.581,"Class3",56.401,63,NA,45,64.802,40.177
"D",64.994,32,25.154,83.761,"Class2",11.782,37,"O",60,42.573,45.926
"Q",80.937,45,38.3,60.825,"Class1",95.16,37,"G",39,45.791,80.179
"N",34.287,51,48.262,34.927,"Class3",68.605,69,"Q",45,65.319,43.533
"C",37.243,58,48.507,34.32,"Class3",71.053,72,"W",47,62.206,45.971
"K",62.905,67,74.229,76.134,"Class4",8.099,35,"I",89,42.655,83.15
"M",NA,7,40.535,51.333,"Class1",95.282,58,"I",37,37.314,76.528
"Z",31.739,81,36.617,16.028,"Class5",29.29,23,"N",41,67.124,66.6
"M",63.022,55,74.435,53.501,"Class4",45.984,35,"S",66,37.816,54.33
"X",53.536,55,33.898,74.345,"Class2",14.094,39,"F",68,36.577,78.175
"Z",54.191,39,34.817,76.391,"Class2",21.303,36,"O",52,38.641,58.451
"X",62.988,93,32.682,11.486,"Class5",63.876,57,"N",27,14.228,74.538
"I",32.61,80,38.544,12.823,"Class5",39.767,62,"H",32,76.175,66.33
"X",49.988,62,73.03,63.302,"Class4",17.2,32,"I",78,38.234,68.13
"N",32.393,52,42.303,40.268,"Class3",57.769,66,"A",45,61.955,42.236
"X",38.437,91,41.17,15.661,"Class5",57.831,29,"L",29,9.869,78.71
"M",77.845,38,65.39,69.104,"Class4",38.223,37,"O",84,39.281,91.365
"S",30.038,66,63.345,72.322,"Class4",30.326,36,"O",65,38.137,71.054
"Q",81.815,8,35.866,56.587,"Class1",72.606,45,"I",40,48.153,77.373
"Y",12.314,93,26.309,14.676,"Class5",44.249,58,"B",28,61.655,63.082
"M",60.974,26,68.517,69.461,"Class4",13.806,20,"V",89,38.501,68.502
"N",27.503,66,41.086,46.739,"Class3",71.536,66,"Z",47,61.651,41.282
"R",65.974,22,22.182,71.456,"Class2",39.471,36,"O",72,45.292,78.717
"D",59.61,21,21.743,77.078,"Class2",22.855,40,"Q",62,50.974,47.471
"Q",32,54,45.064,37.958,"Class3",57.695,69,"A",46,63.626,41.557
"M",54.93,92,35.137,22.983,"Class5",24.024,45,"A",28,5.296,59.689
"S",59.119,82,71.783,71.146,"Class4",33.633,36,"W",88,39.104,57.203
"N",28.203,54,44.269,35.733,"Class3",42.095,76,"Z",46,64.432,37.524
"Z",56.177,92,42.376,14.107,"Class5",75.032,69,"N",71,5.514,68.724
"X",46.81,89,43.187,13.844,"Class5",70.166,46,"B",46,62.074,63.357
"B",35.313,57,40.646,33.246,"Class3",36.255,72,"O",47,71.279,45.175
"J",91.113,4,27.732,60.792,"Class1",92.015,61,"E",40,36.263,74.034
"S",80.574,50,75.571,66.045,"Class4",10.404,23,"I",72,34.451,94.646
"H",93.391,39,40.694,58.212,"Class1",80.485,32,"I",35,43.434,63.218
"D",28.865,62,46.992,23.416,"Class3",33.22,69,"O",45,73.069,44.579
"X",48.41,47,24.423,72.538,"Class2",36.221,40,"A",48,38.514,19.317
"Q",36.953,61,40.529,33.873,"Class3",29.523,64,"W",47,72.349,48.947
"J",67.128,50,64.04,64.499,"Class4",36.738,32,"O",71,34.931,86.78
"H",84.002,30,28.176,54.049,"Class1",81.408,61,NA,41,32.963,79.367
