"B1","B2","B3","B4","B5","B6","B7","B8","Output1","B9","B10","B11"
"R",NA,25.021,79,56.408,81.03,35.023,97,"Class1",31.968,42,60.525
"P","Z",26.961,64,56.244,75.264,20.575,99,"Class1",40.303,53,55.192
"P","D",23.528,81,56.602,81.367,26.206,83,"Class1",36.13,86,64.004
"J","Z",27.247,68,56.128,73.261,16.498,86,"Class1",30.676,44,25.665
"U","Q",10.852,12,46.57,78.891,30.773,66,"Class2",87.668,48,47.687
"U","G",11.561,13,63.898,59.257,41.225,70,"Class2",74.034,43,47.315
"R","A",21.852,68,56.462,84.737,21.615,78,"Class1",22.386,19,62.227
"T","Q",12.661,13,62.668,63.527,38.476,60,"Class2",82.209,49,48.105
"T","Q",12.8,13,80.283,79.126,29.462,47,"Class2",64.482,48,48.391
"V","G",16.8,12,28.971,77.087,23.125,58,"Class2",80.526,41,48.998
"P",NA,26.853,81,56.573,78.813,41.29,68,"Class1",25.993,56,78.572
"U","G",16.781,13,53.41,61.127,37.359,63,"Class2",74.982,49,48.072
"P","P",13.845,12,62.908,17.108,33.555,72,"Class2",58.837,49,47.542
"P",NA,13.393,61,56.293,81.293,42.994,96,"Class1",44.649,74,40.794
"T","Z",24.924,65,56.716,81.699,20.899,83,"Class1",25.569,7,46.792
"V","Q",13.645,12,27.183,67.575,24.838,66,"Class2",55.608,48,48.248
"R","D",13.173,83,56.96,79.821,36.629,87,"Class1",30.073,27,21.759
"T","G",17.026,12,70.669,43.736,42.158,58,"Class2",90.57,41,46.774
"C","W",13.545,13,61.497,48.809,41.912,74,"Class2",66.438,42,48.156
"T","G",7.472,13,76.89,49.039,39.295,65,"Class2",66.559,43,48.116
"T","A",29.433,74,56.328,80.589,15.876,74,"Class1",23.478,57,37.336
"P","G",7.922,13,53.917,67.893,44.438,44,"Class2",63.438,32,47.515
"P",NA,26.416,78,56.231,77.674,17.816,44,"Class1",28.987,48,86.086
"C","P",15.663,13,59.136,64.752,41.141,68,"Class2",87.668,51,48.731
"U","L",4.709,12,89.903,74.037,36.977,75,"Class2",70.642,35,49.318
"T","Q",6.462,12,56.001,71.571,21.11,59,"Class2",81.281,29,50.113
"T","Q",6.866,12,39.77,62.139,21.596,67,"Class2",81.869,41,48.501
"C","W",12.703,12,NA,83.012,41.838,47,"Class2",60.812,33,48.881
"C","P",12.71,12,33.509,81.479,33.557,72,"Class2",90.852,45,48.537
"V","L",7.631,12,88.496,63.758,28.975,46,"Class2",79.379,42,49.217
"T","P",10.323,12,38.784,65.03,39.21,77,"Class2",65.721,35,48.26
"P","L",10.496,12,40.513,68.757,35.184,70,"Class2",65.839,29,47.657
"V","P",7.544,12,64.555,78.169,29.355,61,"Class2",68.17,51,47.926
"P","Q",6.85,13,42.666,41.013,24.914,44,"Class2",96.236,41,47.889
"P","G",4.035,12,68.93,92.971,26.126,50,"Class2",90.289,30,47.52
"P","H",29.527,79,56.792,83.189,28.43,42,"Class1",24.098,24,70.926
"T","A",33.738,73,56.847,80.679,22.902,53,"Class1",32.857,3,36.842
"T","Q",7.67,13,71.139,60.56,44.87,51,"Class2",77.676,43,49.499
"V","G",12.893,13,NA,50.006,23.3,55,"Class2",70.537,31,48.737
"T","H",11.265,67,56.824,79.195,28.526,72,"Class1",31.258,29,66.729
"T","W",10.554,12,28.885,60.944,30.396,57,"Class2",73.268,44,48.655
"P","D",22.441,81,56.737,85.449,26.668,84,"Class1",41.517,82,73.101
"V","Q",6.5,12,89.585,96.645,21.38,50,"Class2",86.276,45,48.074
"P","G",11.726,64,56.516,79.851,30.665,51,"Class1",39.164,74,60.082
"P","D",24.546,72,56.963,85.081,42.086,76,"Class1",31.822,15,42.613
"J","H",27.846,62,56.928,88.478,17.061,85,"Class1",10.649,23,66.826
"T","W",14.205,12,41.164,80.623,39.866,71,"Class2",74.234,46,49.505
"U","Q",8.599,13,69.532,55.142,35.276,62,"Class2",81.949,43,49.168
"P","H",25.599,79,56.64,79.932,41.985,45,"Class1",38.558,23,72.349
"V","W",12.958,13,44.342,71.179,28.708,53,"Class2",96.075,37,46.877
"T","G",5.899,12,27.972,69.984,39.4,63,"Class2",73.372,30,49.366
"T","G",35.221,68,56.352,80.525,38.536,50,"Class1",36.534,22,70.836
"V","L",9.151,13,NA,45.044,28.904,44,"Class2",100.812,32,49.207
"T","G",19.038,64,NA,80.338,35.47,77,"Class1",24.159,25,41.533
"R","D",29.947,64,56.181,89.967,33.59,94,"Class1",44.132,40,68.072
"V","P",10.139,13,73.767,47.148,38.394,63,"Class2",68.376,42,48.23
"U","G",10.829,13,59.488,116.781,21.154,57,"Class2",56.798,31,49.202
"J","Z",12.856,74,56.512,78.837,33.509,95,"Class1",37.023,42,83.491
"C","P",8.243,12,49.371,42.63,37.104,57,"Class2",92.201,45,48.311
"P","G",10.504,12,62.095,43.254,42.222,53,"Class2",67.134,51,49.373
"C","L",8.684,13,48.024,105.437,40.158,50,"Class2",98.343,29,48.134
"T","D",13.76,61,56.957,83.229,29.619,81,"Class1",28.588,18,54.572
"V","Q",12.162,12,58.894,80.51,32.648,57,"Class2",90.823,35,49.914
"R","A",22.787,83,56.812,80.2,30.411,94,"Class1",34.908,13,38.2
"J","D",29.783,66,56.958,87.731,19.854,67,"Class1",33.034,83,47.38
"P","H",26.04,78,56.387,71.304,29.284,48,"Class1",31.994,86,46.936
"V","L",10.544,13,40.171,25.52,22.588,49,"Class2",69.619,32,48.625
"J","H",10.701,71,NA,74.063,41.216,88,"Class1",36.99,90,71.108
"J","G",24.903,70,56.123,81.308,37.508,47,"Class1",35.433,4,74.985
"U","L",8.385,12,38.682,62.215,23.177,66,"Class2",74.124,32,48.39
"T","H",10.365,70,56.201,75.826,36.306,63,"Class1",31.199,47,32.565
"P","P",11.206,13,50.949,57.086,39.413,61,"Class2",66.985,38,48.849
"W","D",11.612,65,56.804,73.904,41.622,82,"Class1",29.985,27,88.218
"R","A",23.497,79,56.768,76.975,35.763,64,"Class1",27.383,34,39.952
"T","G",35.58,61,56.911,81.822,36.376,63,"Class1",22.414,6,42.679
"C","G",7.847,12,42.903,66.748,42.017,66,"Class2",70.124,47,48.983
"T","P",8.229,13,27.372,94.686,39.105,55,"Class2",83.89,36,48.327
"J","H",12.974,82,56.578,70.165,32.315,59,"Class1",28.993,73,42.665
"P","A",27.686,77,56.333,77.36,37.459,93,"Class1",34.751,74,59.574
"W","D",21.929,85,56.885,76.986,42.766,45,"Class1",24.493,43,77.162
"V","P",5.759,12,68.814,95.493,38.456,62,"Class2",71.159,46,49.895
"T","D",27.884,75,56.227,75.573,34.09,63,"Class1",26.333,69,44.624
"P","L",8.982,13,74.414,86.379,25.403,74,"Class2",79.884,30,48.436
"R","Z",23.458,76,56.778,79.673,36.126,81,"Class1",29.836,39,46.613
"P","W",5.236,13,79.538,99.136,36.624,49,"Class2",67.32,36,49.385
"T",NA,6.328,12,89.697,71.872,25.56,62,"Class2",76.476,47,48.684
"P","H",22.567,63,56.024,83.624,23.423,65,"Class1",25.252,15,73.632
"P","P",10.033,12,26.999,78.959,43.948,63,"Class2",80.121,32,49.662
"P","L",17.651,13,63.271,64.956,33.57,55,"Class2",53.581,44,48.757
"U","G",8.264,12,48.849,64.776,43.789,54,"Class2",48.301,39,47.03
"P","G",29.726,80,56.463,72.625,41.054,61,"Class1",18.752,70,46.77
"U","Q",9.768,13,NA,66.801,36.737,48,"Class2",89.344,37,49.485
"P","A",11.887,61,56.197,80.191,41.236,58,"Class1",27.395,85,51.973
"T","D",18.518,81,56.904,76.54,42.042,50,"Class1",22.528,2,55.564
"T","G",31.772,62,56.052,74.182,21.603,81,"Class1",29.5,24,36.512
"C","P",17.769,13,31.806,90.72,43.466,50,"Class2",95.74,45,48.626
"R","H",25.102,70,56.392,82.611,34.012,88,"Class1",26.507,66,33.361
"R","D",26.881,69,NA,76.551,41.504,85,"Class1",34.193,31,62.843
"R","G",25.996,66,56.729,79.485,16.267,44,"Class1",27.379,61,52.562
"T","G",11.103,72,56.084,81.634,28.407,53,"Class1",18.456,76,46.593
"W","G",23.361,65,56.736,87.692,28.573,59,"Class1",23.542,64,65.766
"V","L",16.979,13,44.998,73.549,42.407,74,"Class2",98.826,36,47.337
"C","G",12.189,12,27.522,48.881,37.153,44,"Class2",56.632,31,47.849
"R","A",20.051,59,56.163,81.772,30.399,93,"Class1",39.534,48,59.803
"P","G",10.842,59,56.827,87.393,33.948,52,"Class1",27.688,45,56.457
"T","G",12.18,12,NA,74.203,41.26,66,"Class2",68.562,42,49.104
"V","Q",7.941,13,58.045,82.644,45.773,67,"Class2",84.992,35,48.61
"V","W",15.884,13,54.58,44.365,22.455,44,"Class2",79.902,46,48.674
"R","Z",14.875,77,56.282,83.965,33.253,99,"Class1",21.048,33,83.125
"R","Z",31.58,64,56.16,85.252,37.217,47,"Class1",34.482,48,51.785
"U","Q",9.556,12,32.251,70.949,38.787,65,"Class2",86.296,43,49.861
"T",NA,17.882,64,56.649,72.118,33.148,81,"Class1",24.392,16,65.258
"P","D",22.874,61,56.652,81.774,21.824,88,"Class1",27.457,27,57.272
"J","G",32.704,76,56.094,83.84,38.585,86,"Class1",27.299,89,50.947
"C","P",13.647,13,87.967,57.074,36.183,50,"Class2",70.889,31,49.205
"R","Z",12.094,84,56.342,75.47,25.037,66,"Class1",29.736,35,41.635
"V","Q",15.885,13,40.191,50.94,36.668,51,"Class2",87.066,35,48.005
"R","D",23.589,84,NA,86.83,22.015,66,"Class1",17.858,84,61.844
"P","W",6.037,13,NA,36.188,44.932,44,"Class2",97.603,32,49.489
"C","P",14.352,13,26.725,101.455,31.231,58,"Class2",60.902,34,48.366
"W",NA,21.049,83,56.267,70.739,23.221,67,"Class1",24.278,53,76.202
"P","G",29.521,80,56.825,77.967,18.174,73,"Class1",31.625,73,64.936
"R","Z",20.308,69,56.265,80.826,15.209,91,"Class1",19.423,35,64.842
"U","Q",14.223,13,76.219,54.379,44.751,65,"Class2",71.094,48,47.803
"V","P",6.602,13,39.071,58.997,36.672,69,"Class2",53.839,42,47.521
"U","W",8.65,13,78.725,98.483,43.608,60,"Class2",83.634,41,47.386
"C","W",15.455,12,56.3,65.913,37.451,55,"Class2",63.39,42,48.369
"T","G",12.169,12,63.24,27.816,44.694,45,"Class2",70.886,38,48.601
"W","Z",33.401,85,56.713,76.891,19.58,55,"Class1",31.795,80,64.765
"U","L",9.094,13,75.492,92.941,42.773,51,"Class2",80.237,38,49.688
"T","H",27.88,68,56.299,74.806,38.23,77,"Class1",28.859,35,52.18
"P","D",16.312,72,56.322,83.406,41.181,89,"Class1",25.774,20,78.463
"W","H",12.485,64,56.186,85.056,16.566,58,"Class1",30.063,80,50.957
"T","H",25.992,67,56.064,76.898,22.366,94,"Class1",30.826,27,42.554
"V","W",9.64,13,37.087,89.012,40.401,75,"Class2",86.9,49,47.368
"T","L",8.784,13,29.897,50.956,44.634,61,"Class2",78.621,30,48.525
"P","Q",13.166,13,56.81,65.248,35.915,45,"Class2",83.937,45,47.986
"V","W",14.693,12,82.565,60.539,34.73,54,"Class2",68.24,39,47.478
"P","A",33.55,64,56.49,83.078,25.609,96,"Class1",25.927,26,59.412
"U","L",9.928,13,59.12,70.45,28.882,74,"Class2",53.57,42,48.384
"P","W",10.339,12,71.22,72.713,33.868,48,"Class2",67.048,40,49.924
"T","Q",16.177,13,34.586,103.274,28.266,50,"Class2",109.834,49,47.403
"P","D",31.782,62,56.421,78.52,35.191,66,"Class1",27.114,69,38.352
"T","P",16.838,13,29.271,74.455,27.315,68,"Class2",63.209,45,47.867
"V","Q",17.632,12,67.496,72.032,27.013,76,"Class2",89.032,30,49.274
"W","Z",19.106,69,56.112,80.58,27.604,42,"Class1",25.498,22,67.445
"T","H",28.253,82,56.148,81.649,19.499,52,"Class1",30.294,85,76.202
"V","Q",6.054,12,NA,64.031,33.289,71,"Class2",83.799,36,47.422
"U","P",7.941,12,33.245,54.815,43.494,51,"Class2",59.124,38,49.268
"P","H",29.498,74,56.153,85.624,36.808,43,"Class1",29.893,18,52.196
"W","G",29.973,64,56.089,81.922,25.935,78,"Class1",31.24,75,55.834
"P","G",28.071,59,56.495,81.112,34.692,58,"Class1",25.144,54,47.13
"T","D",14.219,80,56.286,82.198,36.714,71,"Class1",29.26,69,58.212
"P","H",27.396,78,56.771,79.888,16.005,57,"Class1",39.715,58,34.399
"P","W",4.316,13,29.758,52.298,23.544,61,"Class2",78.05,40,47.702
"R","Z",19.021,66,56.237,89.714,32.544,80,"Class1",37.076,24,39.621
"J",NA,33.239,79,56.495,74.708,25.046,81,"Class1",17.856,44,63.572
"R","D",28.517,76,56.448,74.29,39.68,72,"Class1",29.698,15,46.97
"R","Z",33.1,84,56.54,79.16,27.021,57,"Class1",26.291,64,64.353
"T","W",16.258,13,83.648,92.379,40.389,61,"Class2",90.975,43,48.745
"U","L",4.611,13,32.388,70.139,30.222,61,"Class2",75.702,36,48.157
"T","G",11.949,12,63.924,93.039,38.898,60,"Class2",76.564,35,48.432
"P","A",26.674,84,56.899,79.756,15.974,62,"Class1",30.032,19,67.011
"V","G",7.01,13,54.94,95.466,44.468,76,"Class2",81.578,51,48.556
"W","Z",18.284,71,56.512,86.092,32.738,61,"Class1",20.549,2,97.636
"J","G",13.135,63,56.93,76.15,42.691,47,"Class1",24.977,79,49.13
"T","D",22.864,66,56.01,86.385,26.302,75,"Class1",23.297,50,83.203
"V",NA,6.271,13,57.485,69.984,27.134,54,"Class2",56.206,35,48.914
"J","H",33.291,65,56.502,77.83,35.014,91,"Class1",27.968,33,61.199
"C","Q",17.227,12,39.944,28.07,45.929,62,"Class2",69.971,39,50.672
"U","P",11.844,12,NA,82.168,33.486,47,"Class2",68.313,49,49.611
"P","A",26.781,65,56.022,75.808,36.67,46,"Class1",21.393,20,82.02
"U","L",8.65,13,72.206,91.398,32.876,45,"Class2",55.777,42,47.715
"P","Z",18.082,67,56.289,75.898,18.989,94,"Class1",24.529,6,62.347
"C","L",9.652,12,87.71,115.191,21.109,53,"Class2",92.871,32,47.647
"P","H",22.585,73,56.783,80.362,38.003,44,"Class1",19.927,14,38.576
"R","G",20.876,79,56.956,84.795,28.504,53,"Class1",37.284,35,34.916
"V","P",14.777,12,78.225,90.195,33.75,54,"Class2",80.255,40,47.705
"J","A",13.919,66,56.844,89.006,18.372,91,"Class1",33.574,63,83.174
"P","L",17.965,13,81.081,77.393,28.874,73,"Class2",92.389,49,50.236
"C","G",17.88,13,33.706,64.353,39.629,63,"Class2",48.172,49,48.399
"T","P",16.855,12,54.682,76.25,31.033,58,"Class2",74.636,34,48.303
"P","G",10.963,12,67.725,71.393,26.287,49,"Class2",73.787,34,47.727
"R","H",22.779,59,56.74,79.583,25.077,57,"Class1",19.115,78,39.585
"J","Z",16.937,78,56.586,74.977,30.782,49,"Class1",36.894,31,26.419
"P","D",14.605,62,56.597,81.019,36.662,51,"Class1",29.21,68,43.874
"P","P",4.162,13,86.307,65.974,35.781,63,"Class2",77.34,41,46.573
"U","Q",13.141,12,60.584,59.369,27.96,46,"Class2",87.905,38,49.38
"T","P",14.469,12,88.074,53.377,28.184,63,"Class2",95.607,35,48.562
"U","P",4.147,12,77.429,45.279,28.216,73,"Class2",79.476,48,48.664
"P","W",14.805,13,61.165,51.025,25.109,54,"Class2",89.775,38,47.74
"J","Z",19.562,61,56.139,84.245,21.375,48,"Class1",33.155,37,72.217
"P","H",24.025,63,56.055,75.139,29.364,85,"Class1",26.908,26,70.492
"J","Z",15.405,82,56.505,77.112,35.027,68,"Class1",29.657,12,52.753
"R","D",17.042,68,56.263,76.912,19.139,89,"Class1",22.108,64,62.054
"R","H",18.586,61,56.778,78.899,20.542,59,"Class1",38.154,63,49.117
"T","G",26.133,75,56.868,86.91,34.261,91,"Class1",22.899,49,42.192
"R","Z",34,77,56.726,62.516,41.716,82,"Class1",32.988,69,37.673
"V","W",6.626,13,74.189,75.136,41.736,77,"Class2",52.663,42,47.329
"C","P",9.18,12,34.153,52.419,28.164,75,"Class2",75.866,36,48.542
"W","A",19.747,76,56.406,66.509,37.774,64,"Class1",22.223,50,65.457
"W","G",19.84,66,56.992,81.564,39.592,78,"Class1",28.145,54,63.08
"J","Z",32.634,78,56.989,74.01,28.056,81,"Class1",22.478,54,42.23
"J","H",11.171,70,56.007,77.487,42.176,81,"Class1",35.511,83,72.52
"V","Q",7.745,12,48.897,66.696,34.9,64,"Class2",74.981,35,49.682
"J","H",29.985,77,56.095,86.204,30.046,46,"Class1",21.64,79,43.806
"P","G",22.367,85,56.64,81.272,27.229,80,"Class1",29.592,54,71.796
"P","P",7.763,12,44.291,74.367,31.128,49,"Class2",94.056,48,46.77
"P","W",10.225,12,51.814,78.599,42.089,73,"Class2",69.758,50,47.903
"U","P",16.844,13,31.299,110.157,45.805,54,"Class2",82.302,32,48.034
"T","W",10.884,13,55.382,85.503,35.113,68,"Class2",65.302,31,45.611
"T","W",6.04,12,52.981,72.842,28.235,45,"Class2",74.648,39,48.558
"T","A",20.539,76,56.114,76.176,30.343,83,"Class1",20.311,8,58.804
"W","A",12.041,72,56.226,76.013,21.034,77,"Class1",26.723,22,49.876
"V","G",17.317,13,NA,103.433,25.836,44,"Class2",106.143,47,47.623
"R","H",20.138,61,56.506,76.802,34.293,54,"Class1",26.556,73,44.982
"P","H",24.754,81,56.214,80.403,26.71,96,"Class1",35.277,55,76.17
"J","Z",15.166,63,56.372,75.829,16.695,99,"Class1",36.224,3,55.738
"P","D",16.742,69,56.166,75.706,23.396,75,"Class1",20.903,35,52.739
"W","G",33.602,79,56.718,85.724,42.411,72,"Class1",29.145,40,70.16
"R","Z",34.6,70,56.509,85.05,34.973,67,"Class1",24.131,47,66.443
"P","D",30.262,81,56.779,77.794,37.689,93,"Class1",24.555,54,61.275
"P","G",31.39,61,56.375,82.733,15.271,52,"Class1",30.895,14,42.927
"T","G",12.838,13,85.537,113.416,23.305,68,"Class2",82.972,43,48.674
"V","W",9.943,12,76.107,79.823,42.44,77,"Class2",79.819,36,47.989
"T","A",34.307,67,56.469,78.557,17.313,43,"Class1",22.656,16,53.54
"C","W",14.067,13,NA,72.04,27.918,60,"Class2",88.973,34,48.382
"P","G",35.371,71,56.468,82.235,35.339,95,"Class1",35.008,83,52.899
"P","H",24.602,69,56.55,88.985,26.468,51,"Class1",35.386,8,42.56
"W","G",32.851,73,56.777,78.888,16.93,48,"Class1",27.922,5,51.567
"V","P",13.741,12,72.079,58.36,21.448,60,"Class2",72.846,33,47.92
"P","H",17.699,63,56.765,81.036,37.931,55,"Class1",14.44,10,56.192
"U","Q",15.852,12,83.11,62.49,36.459,73,"Class2",81.734,30,48.061
"T","Z",11.707,59,56.597,81.99,25.185,83,"Class1",27.041,78,74.533
"P",NA,9.13,13,34.604,72.791,42.753,77,"Class2",57.83,37,45.278
"U","Q",7.733,13,89.662,73.748,40.582,69,"Class2",93.071,29,48.367
"T","G",8.603,12,47.669,73.684,38.445,70,"Class2",65.713,39,48.631
"W","Z",11.788,67,56.326,71.824,34.951,92,"Class1",27.117,29,54.764
"P","G",12.435,13,55.962,76.618,36.284,62,"Class2",37.701,30,48.241
"C","P",5.998,13,58.465,56.96,26.975,76,"Class2",84.023,38,49.304
"R","A",32.244,72,56.367,82.879,33.271,86,"Class1",30.934,68,45.202
"W","A",18.177,65,56.521,86.03,37.339,42,"Class1",23.905,5,48.064
"W","H",11.594,84,56.629,80.303,37.414,54,"Class1",28.343,16,53.84
"P","P",17.781,13,76.014,59.926,35.649,74,"Class2",91.407,42,48.816
"P","P",8.029,13,51.713,75.907,39.691,45,"Class2",81.367,47,48.048
"W","Z",14.005,79,56.397,74.434,34.78,77,"Class1",31.664,46,78.002
"R","H",35.446,63,56.842,80.394,33.987,85,"Class1",31.696,29,27.503
"W","Z",20.411,61,56.788,86.75,22.134,91,"Class1",32.651,81,97.021
"P","H",19.089,78,56.762,87.262,27.457,51,"Class1",15.9,17,72.017
"R","Z",18.401,84,56.535,87.209,41.013,77,"Class1",26.881,58,49.422
"P","L",13.08,12,50.573,53.341,39.532,49,"Class2",77.786,42,50.716
"T","D",12.472,61,56.851,69.293,31.714,83,"Class1",25.285,83,61.525
"P","Q",10.486,12,41.451,74.145,22.023,45,"Class2",83.976,31,46.282
"R","Z",24.359,67,56.36,86.271,27.842,80,"Class1",20.5,26,68.723
"W","G",12.768,83,56.701,90.493,26.435,54,"Class1",36.033,60,40.299
"T","W",11.595,13,43.381,64.652,37.146,58,"Class2",56.487,40,48.433
"T","A",17.407,62,56.242,77.728,31.824,62,"Class1",33.371,73,49.303
"P","G",33.586,80,56.473,78.262,32.177,70,"Class1",36.285,4,64.797
"T","Z",24.454,77,56.393,78.309,24.641,48,"Class1",19.779,14,78.695
"J","H",28.766,82,56.816,76.046,33.439,69,"Class1",26.99,80,64.304
"P","L",13.097,12,40.865,70.971,41.838,75,"Class2",71.808,41,47.377
"P","H",33.209,68,56.138,80.435,20.867,95,"Class1",21.074,15,52.634
"V","W",7.83,13,51.007,90.957,43.005,64,"Class2",82.153,37,49.242
"C","W",16.78,12,82.129,70.396,21.45,44,"Class2",65.825,32,47.707
"U","P",8.602,13,84.464,31.69,22.849,44,"Class2",68.928,32,46.726
"J","A",26.509,82,56.161,80.924,42.365,57,"Class1",28.164,87,61.987
"P","H",17.908,65,56.987,83.647,26.166,85,"Class1",27.381,20,64.618
"C","G",5.022,12,71.773,92.695,43.165,67,"Class2",80.665,35,48.365
"P","Q",16.217,12,38.132,68.943,34.805,63,"Class2",74.383,51,49.811
"R",NA,12.793,60,56.728,83.833,25.133,93,"Class1",29.874,29,65.587
"P","D",11.694,84,56.337,87.956,27.19,57,"Class1",21.678,73,63.869
"W","D",13.56,71,56.012,72.121,39.295,97,"Class1",30.138,89,39.178
"J","H",30.156,84,56.952,76.667,23.114,45,"Class1",38.721,76,74.385
"T","D",34.351,79,56.145,72.603,26.593,43,"Class1",39.342,18,46.912
"T","L",4.986,12,55.598,66.066,25.772,71,"Class2",77.619,49,50.341
"C","Q",16.124,13,34.89,59.698,42.191,60,"Class2",104.864,38,48.231
"U","P",8.513,12,59.082,56.574,22.218,72,"Class2",85.075,41,47.531
"W","G",21.073,78,56.492,85.01,16.125,71,"Class1",23.829,40,39.616
"T","Q",10.181,12,NA,64.053,45.562,55,"Class2",61.683,50,48.637
"R","Z",28.279,74,56.291,84.154,29.321,52,"Class1",36.072,50,60.47
"P",NA,4.701,12,NA,98.851,32.491,72,"Class2",69.958,36,49.046
"P","L",12.853,13,84.46,96.468,32.744,74,"Class2",64.381,46,48.321
"P","Q",7.948,13,45.787,75.477,23.699,75,"Class2",90.872,46,48.907
"T","Z",31.69,68,56.83,84.973,25.086,73,"Class1",21.059,25,64.81
"V","Q",8.841,13,89.759,83.805,21.204,51,"Class2",69.517,50,49.368
"U","P",7.697,12,NA,94.527,38.299,74,"Class2",82.476,35,49.663
"W","Z",28.085,61,56.294,86.169,32.659,95,"Class1",27.967,34,65.973
"P","G",18.357,70,56.977,81.588,36.137,46,"Class1",27.786,87,55.006
"U","L",17.002,12,35.604,87.624,35.935,47,"Class2",79.927,45,46.889
"V","L",8.467,12,67.792,19.873,26.213,75,"Class2",79.944,35,49.062
"W","D",15.011,78,56.138,86.561,35.752,87,"Class1",27.53,82,58.027
"P","W",14.403,13,45.211,53.516,40.462,74,"Class2",68.693,41,46.81
"R",NA,31.869,82,56.484,92.103,39.646,69,"Class1",21.836,47,61.028
"P","W",9.341,12,33.805,71.114,27.688,56,"Class2",90.118,48,49.498
"W","A",20.99,83,56.746,76.855,34.945,77,"Class1",28.179,30,51.141
"U","P",15.703,13,52.197,50.402,36.418,66,"Class2",61.566,29,50.415
"W","D",21.141,66,56.424,88.569,20.61,97,"Class1",37.177,14,58.103
"V","G",6.221,12,89.856,69.909,21.924,57,"Class2",85.156,34,48.704
"C","L",17.406,12,35.252,83.269,28.006,52,"Class2",90.939,35,50.991
"C","G",7.942,12,36.395,86.056,37.807,44,"Class2",73.465,29,48.637
"W","H",35.211,68,56.826,80.313,35.838,75,"Class1",22.75,15,67.514
"W","H",33.579,76,56.538,81.534,35.058,75,"Class1",26.082,78,46.237
"U","Q",15.881,12,74.716,66.846,41.26,71,"Class2",88.198,37,47.361
"T","W",13.359,13,26.878,76.957,43.28,62,"Class2",99.965,46,48.098
"W","A",27.918,76,56.122,77.096,22.599,92,"Class1",27.774,66,49.515
"P","G",10.425,12,58.597,90.613,24.314,56,"Class2",64.464,36,50.804
"T","A",17.257,69,NA,75.866,31.926,54,"Class1",34.338,16,72.971
